구분,ISIN,종목코드,종목명,반영일,날짜,상대영업일,수정주가,지수종가
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-04-26,-30,44900,350.67
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-04-27,-29,44700,346.21
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-04-28,-28,44950,350.16
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-04-29,-27,44350,355.08
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-02,-26,44350,354.02
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-03,-25,43950,353.32
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-04,-24,44250,353.85
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-06,-23,44500,349.0
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-09,-22,42500,345.41
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-10,-21,41100,343.67
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-11,-20,36800,343.44
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-12,-19,37050,337.94
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-13,-18,36700,345.5
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-16,-17,37350,343.94
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-17,-16,38250,347.53
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-18,-15,39750,348.34
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-19,-14,39000,343.24
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-20,-13,39100,349.29
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-23,-12,39750,350.34
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-24,-11,39700,344.08
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-25,-10,40800,345.6
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-26,-9,39800,344.26
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-27,-8,39800,348.04
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-30,-7,39300,352.49
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-05-31,-6,38650,354.54
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-02,-5,38200,350.51
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-03,-4,38200,352.01
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-07,-3,37600,345.67
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-08,-2,37100,346.22
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-09,-1,36550,346.62
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-10,0,36700,341.89
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-13,1,35900,329.88
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-14,2,35200,328.23
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-15,3,35400,322.21
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-16,4,35800,322.25
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-17,5,34500,320.09
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-20,6,34650,314.44
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-21,7,35100,316.38
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-22,8,33350,308.08
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-23,9,33800,305.45
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-24,10,34500,312.07
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-27,11,34350,316.2
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-28,12,35150,319.11
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-29,13,34750,312.86
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-06-30,14,33150,307.2
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-01,15,33700,304.02
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-04,16,34050,304.01
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-05,17,34750,309.03
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-06,18,32550,302.28
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-07,19,32500,308.31
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-08,20,32550,310.15
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-11,21,32550,308.29
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-12,22,32550,305.03
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-13,23,32100,306.59
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-14,24,31650,305.35
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-15,25,30800,307.91
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-18,26,31200,314.87
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-19,27,33300,313.9
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-20,28,33750,316.02
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-21,29,33200,319.68
편입,KR7000060004,000060,메리츠화재,2022-06-10,2022-07-22,30,32850,317.33
편입,KR7000670000,000670,영풍,2025-06-13,2025-04-25,-30,35995,336.87
편입,KR7000670000,000670,영풍,2025-06-13,2025-04-28,-29,36190,337.08
편입,KR7000670000,000670,영풍,2025-06-13,2025-04-29,-28,37017,339.06
편입,KR7000670000,000670,영풍,2025-06-13,2025-04-30,-27,36044,338.74
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-02,-26,35120,338.79
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-07,-25,35850,341.31
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-08,-24,35898,341.47
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-09,-23,35801,341.49
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-12,-22,36774,347.08
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-13,-21,35898,347.17
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-14,-20,35606,351.79
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-15,-19,35655,349.16
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-16,-18,34877,350.45
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-19,-17,33369,346.57
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-20,-16,33904,347.02
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-21,-15,33904,349.38
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-22,-14,33661,344.8
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-23,-13,34633,345.28
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-26,-12,35412,352.11
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-27,-11,35169,351.28
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-28,-10,35995,356.36
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-29,-9,37406,363.08
편입,KR7000670000,000670,영풍,2025-06-13,2025-05-30,-8,38865,359.62
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-02,-7,38184,359.69
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-04,-6,41492,369.9
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-05,-5,42125,376.54
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-09,-4,41638,382.99
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-10,-3,41298,384.79
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-11,-2,41346,389.79
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-12,-1,41589,390.62
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-13,0,40617,387.3
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-16,1,41395,394.16
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-17,2,41492,395.18
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-18,3,40957,398.86
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-19,4,41346,399.29
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-20,5,40665,405.32
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-23,6,41103,404.32
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-24,7,42270,417.76
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-25,8,41444,419.51
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-26,9,40568,415.66
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-27,10,42027,412.72
편입,KR7000670000,000670,영풍,2025-06-13,2025-06-30,11,41784,414.6
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-01,12,43292,416.26
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-02,13,42368,414.43
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-03,14,43487,420.94
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-04,15,42125,412.74
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-07,16,43146,413.02
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-08,17,44897,421.22
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-09,18,44703,422.02
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-10,19,44897,428.42
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-11,20,44994,428.07
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-14,21,44605,432.49
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-15,22,43924,434.78
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-16,23,43049,431.16
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-17,24,42660,431.64
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-18,25,43584,431.1
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-21,26,43438,434.56
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-22,27,43049,428.05
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-23,28,42660,430.04
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-24,29,42027,430.03
편입,KR7000670000,000670,영풍,2025-06-13,2025-07-25,30,42806,430.78
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-03,-30,21300,318.24
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-06,-29,21450,334.16
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-07,-28,22150,327.29
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-08,-27,22300,324.0
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-09,-26,22650,325.29
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-10,-25,22100,323.75
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-13,-24,22650,323.31
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-14,-23,23750,326.57
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-15,-22,24750,333.96
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-16,-21,24500,334.31
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-17,-20,23950,332.06
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-20,-19,23600,334.23
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-21,-18,25550,336.57
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-22,-17,25250,336.81
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-23,-16,25800,336.91
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-24,-15,27100,334.0
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-27,-14,26500,333.67
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-28,-13,25650,337.52
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-29,-12,25150,336.62
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-11-30,-11,24600,338.43
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-01,-10,25400,334.8
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-04,-9,25250,336.14
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-05,-8,24850,332.85
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-06,-7,24900,333.45
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-07,-6,24550,332.67
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-08,-5,25550,336.6
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-11,-4,26300,337.93
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-12,-3,25950,339.77
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-13,-2,26600,336.68
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-14,-1,26800,341.33
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-15,0,26400,343.99
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-18,1,27250,343.5
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-19,2,25300,343.95
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-20,3,26100,350.11
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-21,4,25950,348.78
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-22,5,25750,349.15
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-26,6,25800,350.43
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-27,7,24200,352.46
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2023-12-28,8,24850,357.99
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-02,9,24300,360.55
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-03,10,22900,351.2
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-04,11,22950,348.07
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-05,12,23700,347.22
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-08,13,23350,345.58
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-09,14,23450,343.81
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-10,15,23350,340.66
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-11,16,22400,340.28
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-12,17,22150,338.22
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-15,18,21650,339.24
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-16,19,21400,334.73
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-17,20,20800,326.11
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-18,21,20250,327.13
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-19,22,20400,332.99
편입,KR7001430008,001430,세아베스틸지주,2023-12-15,2024-01-22,23,20200,332.63
