Strategy,Universe,Benchmark,Period,Months,Ann_Return(%),Ann_Vol(%),Sharpe,Cum_Return(%),MDD(%),Ann_Excess(%),Win_Rate(%),Cum_Excess(%)
GDP (Prop),All 47,MSCI ACWI,2000-04 ~ 2026-03,312,5.53,16.05,0.344,188.42,-57.15,0.03,52.9,0.16
GDP (Prop),All ex USA,MSCI ACWI ex USA,2000-04 ~ 2026-03,312,4.66,17.49,0.266,118.27,-59.65,0.77,55.1,20.59
GDP (Prop),DM Only,MSCI World,2000-04 ~ 2026-03,312,5.43,15.76,0.344,185.02,-56.27,-0.21,51.3,-5.35
GDP (Prop),DM ex USA,MSCI World ex USA,2000-04 ~ 2026-03,312,3.95,17.23,0.229,85.28,-58.99,0.31,56.1,7.8
GDP (Prop),EM Only,MSCI EM,2000-04 ~ 2026-03,312,7.74,21.13,0.366,287.14,-62.06,1.16,51.6,30.35
EY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.73,18.97,0.302,111.41,-63.03,-1.44,48.1,-27.18
EY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.58,19.16,0.291,104.04,-63.3,1.3,55.6,26.24
EY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.87,18.4,0.265,83.86,-63.51,-2.63,47.3,-41.54
EY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.59,18.69,0.246,72.26,-63.97,0.39,54.4,6.79
EY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.6,20.92,0.315,129.78,-62.36,1.13,47.3,16.95
DY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.37,18.67,0.287,99.73,-61.71,-1.8,47.3,-31.92
DY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.24,18.81,0.279,94.01,-61.93,0.96,52.7,18.54
DY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.67,18.57,0.252,75.77,-63.51,-2.83,46.1,-44.02
DY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.46,18.79,0.237,67.34,-63.91,0.26,53.1,4.02
DY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.01,20.04,0.3,113.57,-59.01,0.55,47.7,4.49
MC (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,7.21,15.64,0.461,216.14,-56.05,0.05,53.1,0.85
MC (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,4.35,16.89,0.258,75.96,-58.81,0.07,51.0,1.41
MC (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,7.53,15.51,0.485,236.67,-55.23,0.02,53.1,0.43
MC (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.24,16.74,0.253,73.0,-57.89,0.04,53.1,0.77
MC (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,5.71,20.11,0.284,102.0,-62.72,0.24,49.0,4.55
ROE (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.68,18.34,0.309,114.39,-61.8,-1.49,48.1,-27.28
ROE (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.43,18.58,0.292,102.55,-62.09,1.14,53.5,22.91
ROE (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,5.07,17.85,0.284,95.06,-62.21,-2.43,47.3,-38.75
ROE (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.62,18.21,0.253,76.24,-62.77,0.42,55.2,7.43
ROE (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.31,20.23,0.312,123.63,-61.42,0.84,49.4,11.45
ROA (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,236,6.03,18.68,0.323,122.59,-61.04,-1.4,48.3,-25.81
ROA (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,236,5.7,18.97,0.3,106.89,-61.31,1.36,54.7,26.87
ROA (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,236,5.02,17.86,0.281,90.31,-62.95,-2.77,45.8,-41.94
ROA (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,236,4.33,18.35,0.236,64.25,-63.66,0.05,54.2,-0.48
ROA (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,236,6.67,20.65,0.323,131.37,-59.77,1.19,49.2,18.15
1/PBR (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.24,19.1,0.274,91.88,-62.29,-1.93,48.1,-33.72
1/PBR (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.13,19.27,0.266,86.57,-62.59,0.85,54.4,15.86
1/PBR (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.86,18.47,0.263,83.12,-62.81,-2.64,47.7,-41.8
1/PBR (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.66,18.7,0.249,74.59,-63.3,0.47,56.0,8.34
1/PBR (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,5.53,21.17,0.261,86.19,-61.54,0.07,46.5,-4.84
Mom (Prop),All 47,MSCI ACWI,2001-02 ~ 2026-03,286,8.67,17.26,0.502,405.62,-52.19,3.14,52.4,82.65
Mom (Prop),All ex USA,MSCI ACWI ex USA,2001-02 ~ 2026-03,286,8.56,17.38,0.493,391.04,-52.51,4.73,59.1,167.76
Mom (Prop),DM Only,MSCI World,2001-02 ~ 2026-03,251,7.74,15.1,0.513,274.67,-37.09,0.25,49.8,0.81
Mom (Prop),DM ex USA,MSCI World ex USA,2001-02 ~ 2026-03,247,8.74,15.11,0.578,343.43,-37.49,2.96,56.7,71.94
Mom (Prop),EM Only,MSCI EM,2001-07 ~ 2026-03,270,10.71,19.07,0.561,550.0,-59.07,4.5,55.2,126.06
EPSg (Prop),All 47,MSCI ACWI,2007-03 ~ 2026-03,218,6.68,19.64,0.34,126.23,-61.04,-0.46,48.6,-13.34
EPSg (Prop),All ex USA,MSCI ACWI ex USA,2007-03 ~ 2026-03,218,6.6,19.72,0.335,122.67,-61.03,3.06,57.8,62.95
EPSg (Prop),DM Only,MSCI World,2007-03 ~ 2026-03,204,2.42,18.79,0.129,10.62,-65.18,-2.9,48.0,-41.27
