Strategy,Universe,Benchmark,Period,Months,Ann_Return(%),Ann_Vol(%),Sharpe,Cum_Return(%),MDD(%),Ann_Excess(%),Win_Rate(%),Cum_Excess(%)
GDP (Prop),All 47,MSCI ACWI,2000-04 ~ 2026-03,312,5.37,16.53,0.325,172.03,-58.34,-0.13,51.3,-4.92
GDP (Prop),All ex USA,MSCI ACWI ex USA,2000-04 ~ 2026-03,312,4.97,17.85,0.279,132.04,-60.43,1.08,54.5,29.06
GDP (Prop),DM Only,MSCI World,2000-04 ~ 2026-03,312,5.24,15.97,0.328,169.63,-56.84,-0.4,50.6,-9.95
GDP (Prop),DM ex USA,MSCI World ex USA,2000-04 ~ 2026-03,312,4.02,17.35,0.232,87.37,-59.25,0.38,55.8,9.57
GDP (Prop),EM Only,MSCI EM,2000-04 ~ 2026-03,312,7.89,21.19,0.372,299.79,-62.93,1.31,52.9,33.78
EY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.92,19.04,0.311,118.7,-62.93,-1.25,50.2,-25.18
EY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.85,19.15,0.306,114.9,-63.08,1.57,53.5,32.18
EY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.94,18.64,0.265,84.58,-63.53,-2.56,48.5,-41.16
EY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.77,18.84,0.253,77.04,-63.85,0.57,56.4,10.17
EY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.71,20.29,0.33,140.74,-62.4,1.24,48.5,19.04
DY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.48,18.64,0.294,104.01,-61.82,-1.69,48.5,-31.03
DY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.42,18.73,0.289,101.02,-61.95,1.13,53.1,21.92
DY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.68,18.67,0.25,75.18,-63.49,-2.83,46.5,-44.27
DY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.54,18.82,0.241,69.74,-63.76,0.35,56.0,5.48
DY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.21,19.53,0.318,126.2,-59.91,0.75,47.7,8.05
MC (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,7.21,15.64,0.461,216.14,-56.05,0.05,53.1,0.85
MC (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,4.35,16.89,0.258,75.96,-58.81,0.07,51.0,1.41
MC (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,7.53,15.51,0.485,236.67,-55.23,0.02,53.1,0.43
MC (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.24,16.74,0.253,73.0,-57.89,0.04,53.1,0.77
MC (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,5.71,20.11,0.284,102.0,-62.72,0.24,49.0,4.55
ROE (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.79,18.41,0.315,118.43,-62.0,-1.38,49.4,-26.52
ROE (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.67,18.54,0.306,112.11,-62.18,1.38,54.4,27.75
ROE (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.98,18.03,0.276,90.06,-62.29,-2.53,46.5,-40.19
ROE (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.67,18.3,0.255,77.31,-62.67,0.47,56.4,8.37
ROE (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.44,19.66,0.327,134.38,-61.83,0.97,52.3,13.51
ROA (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,236,6.11,18.67,0.328,126.01,-61.19,-1.31,50.4,-25.42
ROA (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,236,5.96,18.82,0.316,118.15,-61.32,1.62,54.2,32.35
ROA (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,236,4.95,17.86,0.277,87.79,-62.44,-2.84,45.3,-43.0
