Strategy,Universe,Benchmark,Date,Port_Return(%),BM_Return(%),Excess(%),Cum_Excess(%)
GDP (Prop),All 47,MSCI ACWI,2000-04-28,-5.1717,-4.5904,-0.5812,-0.5812
GDP (Prop),All 47,MSCI ACWI,2000-05-31,-2.8871,-2.7102,-0.1769,-0.7571
GDP (Prop),All 47,MSCI ACWI,2000-06-30,4.3519,3.2626,1.0893,0.324
GDP (Prop),All 47,MSCI ACWI,2000-07-31,-3.8254,-3.0432,-0.7822,-0.4607
GDP (Prop),All 47,MSCI ACWI,2000-08-31,2.3574,2.9988,-0.6414,-1.0992
GDP (Prop),All 47,MSCI ACWI,2000-09-29,-6.0625,-5.5956,-0.4669,-1.561
GDP (Prop),All 47,MSCI ACWI,2000-10-31,-2.9577,-2.0603,-0.8974,-2.4444
GDP (Prop),All 47,MSCI ACWI,2000-11-30,-6.3083,-6.3015,-0.0068,-2.451
GDP (Prop),All 47,MSCI ACWI,2000-12-29,1.3912,1.551,-0.1599,-2.607
GDP (Prop),All 47,MSCI ACWI,2001-01-31,4.3537,2.4673,1.8863,-0.7698
GDP (Prop),All 47,MSCI ACWI,2001-02-28,-8.1386,-8.5118,0.3732,-0.3995
GDP (Prop),All 47,MSCI ACWI,2001-03-30,-7.6215,-6.9313,-0.6902,-1.0869
GDP (Prop),All 47,MSCI ACWI,2001-04-30,7.0646,7.1003,-0.0357,-1.1222
GDP (Prop),All 47,MSCI ACWI,2001-05-31,-1.244,-1.3704,0.1264,-0.9972
GDP (Prop),All 47,MSCI ACWI,2001-06-29,-3.0399,-3.1903,0.1504,-0.8483
GDP (Prop),All 47,MSCI ACWI,2001-07-31,-2.5916,-1.662,-0.9296,-1.77
GDP (Prop),All 47,MSCI ACWI,2001-08-31,-4.7626,-4.7646,0.002,-1.7679
GDP (Prop),All 47,MSCI ACWI,2001-09-28,-10.3307,-9.2623,-1.0685,-2.8175
GDP (Prop),All 47,MSCI ACWI,2001-10-31,2.6416,2.0554,0.5863,-2.2478
GDP (Prop),All 47,MSCI ACWI,2001-11-30,6.2834,6.0219,0.2615,-1.9921
GDP (Prop),All 47,MSCI ACWI,2001-12-31,1.0464,0.8542,0.1922,-1.8037
GDP (Prop),All 47,MSCI ACWI,2002-01-31,-2.817,-2.8225,0.0056,-1.7983
GDP (Prop),All 47,MSCI ACWI,2002-02-28,-0.0138,-0.8789,0.8651,-0.9487
GDP (Prop),All 47,MSCI ACWI,2002-03-28,5.0341,4.5003,0.5338,-0.42
GDP (Prop),All 47,MSCI ACWI,2002-04-30,-2.0945,-3.5106,1.4161,0.9902
GDP (Prop),All 47,MSCI ACWI,2002-05-31,-0.0985,-0.1317,0.0332,1.0237
GDP (Prop),All 47,MSCI ACWI,2002-06-28,-5.9109,-6.2588,0.348,1.3752
GDP (Prop),All 47,MSCI ACWI,2002-07-31,-8.8535,-8.487,-0.3665,1.0036
GDP (Prop),All 47,MSCI ACWI,2002-08-30,0.5101,0.0586,0.4515,1.4597
GDP (Prop),All 47,MSCI ACWI,2002-09-30,-11.5298,-11.1191,-0.4107,1.043
GDP (Prop),All 47,MSCI ACWI,2002-10-31,6.497,7.2422,-0.7452,0.29
GDP (Prop),All 47,MSCI ACWI,2002-11-29,5.7073,5.31,0.3973,0.6884
GDP (Prop),All 47,MSCI ACWI,2002-12-31,-4.1269,-4.8887,0.7619,1.4556
GDP (Prop),All 47,MSCI ACWI,2003-01-31,-2.3231,-3.021,0.6979,2.1636
GDP (Prop),All 47,MSCI ACWI,2003-02-28,-1.9609,-1.9548,-0.0061,2.1573
GDP (Prop),All 47,MSCI ACWI,2003-03-31,-1.8084,-0.6697,-1.1387,0.9941
GDP (Prop),All 47,MSCI ACWI,2003-04-30,9.1223,8.6303,0.4921,1.4911
