Strategy,Date,Country,Weight(%)
GDP (Prop),2000-03-31,USA,32.1013
GDP (Prop),2000-03-31,Japan,16.2787
GDP (Prop),2000-03-31,UK,5.6364
GDP (Prop),2000-03-31,France,4.5756
GDP (Prop),2000-03-31,Canada,2.3628
GDP (Prop),2000-03-31,Switzerland,0.9238
GDP (Prop),2000-03-31,Germany,6.7
GDP (Prop),2000-03-31,Australia,1.3634
GDP (Prop),2000-03-31,Netherlands,1.3888
GDP (Prop),2000-03-31,Sweden,0.8451
GDP (Prop),2000-03-31,Denmark,0.5497
GDP (Prop),2000-03-31,Spain,1.9903
GDP (Prop),2000-03-31,Italy,3.6617
GDP (Prop),2000-03-31,Hong Kong,0.5296
GDP (Prop),2000-03-31,Singapore,0.2959
GDP (Prop),2000-03-31,Belgium,0.7968
GDP (Prop),2000-03-31,Finland,0.4182
GDP (Prop),2000-03-31,Israel,0.4002
GDP (Prop),2000-03-31,Norway,0.5598
GDP (Prop),2000-03-31,Ireland,0.3259
GDP (Prop),2000-03-31,New Zealand,0.1859
GDP (Prop),2000-03-31,Austria,0.6636
GDP (Prop),2000-03-31,Portugal,0.3982
GDP (Prop),2000-03-31,China,3.3076
GDP (Prop),2000-03-31,India,1.5895
GDP (Prop),2000-03-31,Taiwan,1.0564
GDP (Prop),2000-03-31,Korea,1.8812
GDP (Prop),2000-03-31,Brazil,2.0059
GDP (Prop),2000-03-31,South Africa,0.5036
GDP (Prop),2000-03-31,Mexico,2.2909
GDP (Prop),2000-03-31,Indonesia,0.5663
GDP (Prop),2000-03-31,Malaysia,0.2906
GDP (Prop),2000-03-31,Thailand,0.4223
GDP (Prop),2000-03-31,Poland,0.521
GDP (Prop),2000-03-31,Chile,0.2553
GDP (Prop),2000-03-31,Turkey,0.869
GDP (Prop),2000-03-31,Greece,0.3991
GDP (Prop),2000-03-31,Philippines,0.2682
GDP (Prop),2000-03-31,Hungary,0.1449
GDP (Prop),2000-03-31,Czech Republic,0.2063
GDP (Prop),2000-03-31,Colombia,0.3105
GDP (Prop),2000-03-31,Peru,0.1595
GDP (Prop),2000-06-30,USA,32.7957
GDP (Prop),2000-06-30,Japan,16.318
GDP (Prop),2000-06-30,UK,5.3906
GDP (Prop),2000-06-30,France,4.3777
GDP (Prop),2000-06-30,Canada,2.3767
GDP (Prop),2000-06-30,Switzerland,0.9033
GDP (Prop),2000-06-30,Germany,6.3651
GDP (Prop),2000-06-30,Australia,1.2891
GDP (Prop),2000-06-30,Netherlands,1.3364
GDP (Prop),2000-06-30,Sweden,0.8834
GDP (Prop),2000-06-30,Denmark,0.5269
GDP (Prop),2000-06-30,Spain,1.9128
GDP (Prop),2000-06-30,Italy,3.6907
GDP (Prop),2000-06-30,Hong Kong,0.5352
GDP (Prop),2000-06-30,Singapore,0.3012
GDP (Prop),2000-06-30,Belgium,0.7611
GDP (Prop),2000-06-30,Finland,0.4019
GDP (Prop),2000-06-30,Israel,0.4186
GDP (Prop),2000-06-30,Norway,0.5347
GDP (Prop),2000-06-30,Ireland,0.3193
GDP (Prop),2000-06-30,New Zealand,0.1784
GDP (Prop),2000-06-30,Austria,0.6291
GDP (Prop),2000-06-30,Portugal,0.3782
GDP (Prop),2000-06-30,China,3.718
GDP (Prop),2000-06-30,India,1.4321
GDP (Prop),2000-06-30,Taiwan,1.0761
GDP (Prop),2000-06-30,Korea,1.9059
GDP (Prop),2000-06-30,Brazil,2.0789
GDP (Prop),2000-06-30,South Africa,0.481
GDP (Prop),2000-06-30,Mexico,2.3159
GDP (Prop),2000-06-30,Indonesia,0.5223
GDP (Prop),2000-06-30,Malaysia,0.3038
GDP (Prop),2000-06-30,Thailand,0.4138
GDP (Prop),2000-06-30,Poland,0.5271
GDP (Prop),2000-06-30,Chile,0.253
GDP (Prop),2000-06-30,Turkey,0.8628
GDP (Prop),2000-06-30,Greece,0.3927
GDP (Prop),2000-06-30,Philippines,0.2762
GDP (Prop),2000-06-30,Hungary,0.1506
GDP (Prop),2000-06-30,Czech Republic,0.196
GDP (Prop),2000-06-30,Colombia,0.3005
GDP (Prop),2000-06-30,Peru,0.1695
