Strategy,Universe,Benchmark,Period,Months,Ann_Return(%),Ann_Vol(%),Sharpe,Cum_Return(%),MDD(%),Ann_Excess(%),Win_Rate(%),Cum_Excess(%)
GDP (Prop),All 47,MSCI ACWI,2000-04 ~ 2026-03,312,5.53,16.05,0.344,188.42,-57.15,0.03,52.9,0.16
GDP (Prop),All ex USA,MSCI ACWI ex USA,2000-04 ~ 2026-03,312,4.66,17.49,0.266,118.27,-59.65,0.77,55.1,20.59
GDP (Prop),DM Only,MSCI World,2000-04 ~ 2026-03,312,5.43,15.76,0.344,185.02,-56.27,-0.21,51.3,-5.35
GDP (Prop),DM ex USA,MSCI World ex USA,2000-04 ~ 2026-03,312,3.95,17.23,0.229,85.28,-58.99,0.31,56.1,7.8
GDP (Prop),EM Only,MSCI EM,2000-04 ~ 2026-03,312,7.74,21.13,0.366,287.14,-62.06,1.16,51.6,30.35
EY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.73,18.97,0.302,111.41,-63.03,-1.44,48.1,-27.18
EY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.58,19.16,0.291,104.04,-63.3,1.3,55.6,26.24
EY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.87,18.4,0.265,83.86,-63.51,-2.63,47.3,-41.54
EY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.59,18.69,0.246,72.26,-63.97,0.39,54.4,6.79
EY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.6,20.92,0.315,129.78,-62.36,1.13,47.3,16.95
DY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.37,18.67,0.287,99.73,-61.71,-1.8,47.3,-31.92
DY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.24,18.81,0.279,94.01,-61.93,0.96,52.7,18.54
DY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.67,18.57,0.252,75.77,-63.51,-2.83,46.1,-44.02
DY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.46,18.79,0.237,67.34,-63.91,0.26,53.1,4.02
DY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.01,20.04,0.3,113.57,-59.01,0.55,47.7,4.49
MC (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,7.21,15.64,0.461,216.14,-56.05,0.05,53.1,0.85
MC (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,4.35,16.89,0.258,75.96,-58.81,0.07,51.0,1.41
MC (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,7.53,15.51,0.485,236.67,-55.23,0.02,53.1,0.43
MC (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.24,16.74,0.253,73.0,-57.89,0.04,53.1,0.77
MC (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,5.71,20.11,0.284,102.0,-62.72,0.24,49.0,4.55
GDP (ZS),All 47,MSCI ACWI,2000-04 ~ 2026-03,312,5.68,16.38,0.346,195.01,-57.8,0.18,53.8,3.6
GDP (ZS),All ex USA,MSCI ACWI ex USA,2000-04 ~ 2026-03,312,4.96,17.65,0.281,133.37,-59.96,1.07,56.1,29.94
GDP (ZS),DM Only,MSCI World,2000-04 ~ 2026-03,312,5.4,16.0,0.337,180.09,-56.9,-0.24,50.6,-6.29
GDP (ZS),DM ex USA,MSCI World ex USA,2000-04 ~ 2026-03,312,4.15,17.34,0.239,93.69,-59.35,0.51,54.2,13.27
GDP (ZS),EM Only,MSCI EM,2000-04 ~ 2026-03,312,7.82,20.9,0.374,298.83,-61.96,1.24,50.0,33.31
PER (ZS),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,3.39,18.28,0.185,39.54,-55.74,-3.78,45.6,-55.05
PER (ZS),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,3.16,18.47,0.171,32.47,-56.09,-1.12,52.7,-24.77
PER (ZS),DM Only,MSCI World,2006-03 ~ 2026-03,241,5.69,17.56,0.324,122.96,-54.57,-1.82,46.1,-33.18
PER (ZS),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,5.39,17.81,0.303,108.74,-55.46,1.19,51.0,19.87
PER (ZS),EM Only,MSCI EM,2006-03 ~ 2026-03,241,1.62,20.07,0.081,-8.82,-60.92,-3.84,44.4,-56.71
DY (ZS),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,6.53,20.29,0.322,133.46,-62.82,-0.64,46.1,-20.48
DY (ZS),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,6.48,20.36,0.318,130.93,-62.9,2.2,53.1,40.82
DY (ZS),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.32,19.89,0.217,56.07,-66.42,-3.18,47.7,-49.16
DY (ZS),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.23,20.01,0.211,52.61,-66.56,0.03,51.0,-2.44
DY (ZS),EM Only,MSCI EM,2006-03 ~ 2026-03,241,7.87,21.56,0.365,185.02,-55.73,2.41,51.9,31.96
Composite (ZS),All 47,MSCI ACWI,2000-04 ~ 2026-03,312,4.91,17.39,0.283,133.36,-59.78,-0.59,51.9,-16.12
Composite (ZS),All ex USA,MSCI ACWI ex USA,2000-04 ~ 2026-03,312,5.11,17.92,0.285,139.22,-60.51,1.22,53.8,34.01
Composite (ZS),DM Only,MSCI World,2000-04 ~ 2026-03,312,4.42,17.09,0.259,109.69,-60.2,-1.22,50.0,-28.07
Composite (ZS),DM ex USA,MSCI World ex USA,2000-04 ~ 2026-03,312,4.37,17.7,0.247,101.18,-61.34,0.73,52.2,19.08
Composite (ZS),EM Only,MSCI EM,2000-04 ~ 2026-03,312,7.02,20.34,0.345,237.7,-59.67,0.44,49.4,5.23
Equal Weight,All 47,MSCI ACWI,2000-03 ~ 2026-03,313,6.02,17.95,0.335,199.51,-61.05,0.28,51.4,2.38
Equal Weight,All ex USA,MSCI ACWI ex USA,2000-03 ~ 2026-03,313,5.95,18.15,0.328,191.22,-61.38,1.92,55.3,58.83
Equal Weight,DM Only,MSCI World,2000-03 ~ 2026-03,313,5.08,17.48,0.291,143.0,-61.45,-0.82,51.4,-21.3
