Strategy,Universe,Benchmark,Period,Months,Ann_Return(%),Ann_Vol(%),Sharpe,Cum_Return(%),MDD(%),Ann_Excess(%),Win_Rate(%),Cum_Excess(%)
GDP (Prop),All 47,MSCI ACWI,2000-04 ~ 2026-03,312,5.37,16.53,0.325,172.03,-58.34,-0.13,51.3,-4.92
GDP (Prop),All ex USA,MSCI ACWI ex USA,2000-04 ~ 2026-03,312,4.97,17.85,0.279,132.04,-60.43,1.08,54.5,29.06
GDP (Prop),DM Only,MSCI World,2000-04 ~ 2026-03,312,5.24,15.97,0.328,169.63,-56.84,-0.4,50.6,-9.95
GDP (Prop),DM ex USA,MSCI World ex USA,2000-04 ~ 2026-03,312,4.02,17.35,0.232,87.37,-59.25,0.38,55.8,9.57
GDP (Prop),EM Only,MSCI EM,2000-04 ~ 2026-03,312,7.89,21.19,0.372,299.79,-62.93,1.31,52.9,33.78
EY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.92,19.04,0.311,118.7,-62.93,-1.25,50.2,-25.18
EY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.85,19.15,0.306,114.9,-63.08,1.57,53.5,32.18
EY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.94,18.64,0.265,84.58,-63.53,-2.56,48.5,-41.16
EY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.77,18.84,0.253,77.04,-63.85,0.57,56.4,10.17
EY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.71,20.29,0.33,140.74,-62.4,1.24,48.5,19.04
DY (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,5.48,18.64,0.294,104.01,-61.82,-1.69,48.5,-31.03
DY (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,5.42,18.73,0.289,101.02,-61.95,1.13,53.1,21.92
DY (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,4.68,18.67,0.25,75.18,-63.49,-2.83,46.5,-44.27
DY (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.54,18.82,0.241,69.74,-63.76,0.35,56.0,5.48
DY (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,6.21,19.53,0.318,126.2,-59.91,0.75,47.7,8.05
MC (Prop),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,7.21,15.64,0.461,216.14,-56.05,0.05,53.1,0.85
MC (Prop),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,4.35,16.89,0.258,75.96,-58.81,0.07,51.0,1.41
MC (Prop),DM Only,MSCI World,2006-03 ~ 2026-03,241,7.53,15.51,0.485,236.67,-55.23,0.02,53.1,0.43
MC (Prop),DM ex USA,MSCI World ex USA,2006-03 ~ 2026-03,241,4.24,16.74,0.253,73.0,-57.89,0.04,53.1,0.77
MC (Prop),EM Only,MSCI EM,2006-03 ~ 2026-03,241,5.71,20.11,0.284,102.0,-62.72,0.24,49.0,4.55
GDP (ZS),All 47,MSCI ACWI,2000-04 ~ 2026-03,312,5.65,16.86,0.335,186.85,-58.94,0.15,51.6,1.39
GDP (ZS),All ex USA,MSCI ACWI ex USA,2000-04 ~ 2026-03,312,5.32,17.94,0.296,151.44,-60.66,1.42,52.9,40.81
GDP (ZS),DM Only,MSCI World,2000-04 ~ 2026-03,312,5.24,16.24,0.323,166.69,-57.51,-0.4,50.6,-10.23
GDP (ZS),DM ex USA,MSCI World ex USA,2000-04 ~ 2026-03,312,4.24,17.47,0.243,96.95,-59.63,0.6,56.1,15.77
GDP (ZS),EM Only,MSCI EM,2000-04 ~ 2026-03,312,7.98,20.85,0.383,316.08,-62.69,1.4,52.6,37.78
PER (ZS),All 47,MSCI ACWI,2006-03 ~ 2026-03,241,3.01,18.51,0.163,28.46,-57.19,-4.16,46.9,-58.65
PER (ZS),All ex USA,MSCI ACWI ex USA,2006-03 ~ 2026-03,241,2.88,18.62,0.155,24.66,-57.38,-1.4,50.6,-29.24
PER (ZS),DM Only,MSCI World,2006-03 ~ 2026-03,241,5.44,17.84,0.305,110.74,-55.76,-2.06,49.4,-36.85
