THEME_NAME,THEME_ID,n_stocks,n_up,agreement_rate,holding_rtn_mean,rebal_date,holding_date,ga_weight,agreement_bin,agreement_rate_pct,holding_rtn_pct
2020 상반기 신규상장,432,14,8,0.5714285714285714,-0.020490753430994633,20231108,20231109,0.0526,50~70%,57.14285714285714,-2.0490753430994633
게임,42,41,34,0.8292682926829268,0.01331451235801923,20231108,20231109,0.0526,70~100%,82.92682926829268,1.331451235801923
"구충제(펜벤다졸, 이버멕틴 등)",427,10,6,0.6,-0.017753857275523456,20231108,20231109,0.0526,50~70%,60.0,-1.7753857275523457
마리화나(대마),408,13,7,0.5384615384615384,-0.020360277900091078,20231108,20231109,0.0526,50~70%,53.84615384615385,-2.0360277900091077
메르스 코로나 바이러스,346,25,12,0.48,-0.01300371663876633,20231108,20231109,0.0526,30~50%,48.0,-1.300371663876633
메타버스(Metaverse),480,58,41,0.7068965517241379,0.003792763594117877,20231108,20231109,0.0526,70~100%,70.6896551724138,0.3792763594117877
미디어(방송/신문),232,14,9,0.6428571428571429,-0.0005638177827177856,20231108,20231109,0.0526,50~70%,64.28571428571429,-0.056381778271778565
비료,204,12,2,0.16666666666666666,-0.0153901406160221,20231108,20231109,0.0526,0~30%,16.666666666666664,-1.5390140616022099
슈퍼박테리아,294,10,7,0.7,-0.01079803637994351,20231108,20231109,0.0526,70~100%,70.0,-1.079803637994351
여행,147,9,7,0.7777777777777778,-0.00929724144683809,20231108,20231109,0.0526,70~100%,77.77777777777779,-0.929724144683809
영화,48,16,13,0.8125,-0.0034586565491417226,20231108,20231109,0.0526,70~100%,81.25,-0.34586565491417226
일자리(취업),324,10,6,0.6,0.01855354399846062,20231108,20231109,0.0526,50~70%,60.0,1.8553543998460618
차량용블랙박스,282,10,3,0.3,-0.01572950962365256,20231108,20231109,0.0526,30~50%,30.0,-1.572950962365256
코로나19(진단키트),447,48,25,0.5208333333333334,-0.017290467658964557,20231108,20231109,0.0526,50~70%,52.083333333333336,-1.7290467658964557
코로나19(카모스타트),453,4,3,0.75,-0.010021052636627004,20231108,20231109,0.0526,70~100%,75.0,-1.0021052636627004
콜드체인(저온 유통),464,17,10,0.5882352941176471,-0.03342913581169326,20231108,20231109,0.0526,50~70%,58.82352941176471,-3.342913581169326
태풍 및 장마,82,11,2,0.18181818181818182,0.0026087049322896265,20231108,20231109,0.0526,0~30%,18.181818181818183,0.26087049322896266
편의점,384,5,3,0.6,0.0032843786152889853,20231108,20231109,0.0526,50~70%,60.0,0.32843786152889853
화장품,110,92,48,0.5217391304347826,-0.009023698927510114,20231108,20231109,0.0526,50~70%,52.17391304347826,-0.9023698927510114
가상화폐(비트코인 등),331,30,15,0.5,0.0013134253102197993,20231109,20231110,0.0588,50~70%,50.0,0.13134253102197993
건설 대표주,154,7,4,0.5714285714285714,-0.0030402688719150133,20231109,20231110,0.0588,50~70%,57.14285714285714,-0.30402688719150134
게임,42,41,22,0.5365853658536586,-0.013762231601370939,20231109,20231110,0.0588,50~70%,53.65853658536586,-1.3762231601370938
마이크로 LED,390,12,5,0.4166666666666667,-0.008983679088810584,20231109,20231110,0.0588,30~50%,41.66666666666667,-0.8983679088810583
메타버스(Metaverse),480,58,20,0.3448275862068966,-0.018029711030998374,20231109,20231110,0.0588,30~50%,34.48275862068966,-1.8029711030998374
모더나(MODERNA),467,10,3,0.3,-0.013928847336327387,20231109,20231110,0.0588,30~50%,30.0,-1.3928847336327388
미용기기,513,15,6,0.4,-0.01929110266029433,20231109,20231110,0.0588,30~50%,40.0,-1.929110266029433
