BaseDate,SellDate,leader,status,basket_return,year,win
2005-09-02,2005-09-09,CP_V,traded,0.02684587570592485,2005,1
2005-09-09,2005-09-16,CP_V,traded,-0.007839670134941978,2005,0
2005-09-16,2005-09-23,CP_MOM,traded,0.017192080022863966,2005,1
2005-09-23,2005-09-30,CP_S,traded,0.08662029223592346,2005,1
2005-09-30,2005-10-07,CP_S,traded,-0.0010467178250187707,2005,0
2005-10-07,2005-10-14,CP_S,traded,0.024788688954292447,2005,1
2005-10-14,2005-10-21,CP_G,skip,0.0,2005,0
2005-10-21,2005-10-28,CP_V,traded,-0.02312305263219868,2005,0
2005-10-28,2005-11-04,CP_Q,skip,0.0,2005,0
2005-11-04,2005-11-11,CP_MOM,traded,0.05245707528816498,2005,1
2005-11-11,2005-11-18,CP_MOM,traded,0.018183573797146226,2005,1
2005-11-18,2005-11-25,CP_MOM,traded,0.07383082245540341,2005,1
2005-11-25,2005-12-02,CP_G,skip,0.0,2005,0
2005-12-02,2005-12-09,CP_LV,traded,-0.00903943837385248,2005,0
2005-12-09,2005-12-16,CP_MOM,traded,0.009614583493819974,2005,1
2005-12-16,2005-12-23,CP_LV,traded,0.016362451948613202,2005,1
2005-12-23,2005-12-29,CP_MOM,traded,0.028903305512027577,2005,1
2005-12-29,2006-01-06,CP_S,traded,0.07598751536951995,2005,1
2006-01-06,2006-01-13,CP_V,traded,0.01382505564026896,2006,1
2006-01-13,2006-01-20,CP_LV,traded,-0.029674780674993496,2006,0
2006-01-20,2006-01-27,CP_G,skip,0.0,2006,0
2006-01-27,2006-02-03,CP_LV,traded,-0.0063912372878813,2006,0
2006-02-03,2006-02-10,CP_S,traded,0.04514221703446005,2006,1
2006-02-10,2006-02-17,CP_MOM,traded,0.01224654895426486,2006,1
2006-02-17,2006-02-24,CP_G,skip,0.0,2006,0
2006-02-24,2006-03-03,CP_LV,traded,-0.007924151393997467,2006,0
2006-03-03,2006-03-10,CP_V,traded,-0.009278046644396042,2006,0
2006-03-10,2006-03-17,CP_LV,traded,-0.009590615562302639,2006,0
2006-03-17,2006-03-24,CP_LV,traded,0.016496303685511672,2006,1
2006-03-24,2006-03-31,CP_G,skip,0.0,2006,0
2006-03-31,2006-04-07,CP_G,skip,0.0,2006,0
2006-04-07,2006-04-14,CP_V,traded,0.046133917592867946,2006,1
2006-04-14,2006-04-21,CP_MOM,traded,-0.001973384606407845,2006,0
2006-04-21,2006-04-28,CP_LV,traded,0.006608461936471223,2006,1
2006-04-28,2006-05-04,CP_LV,traded,0.024542675751373998,2006,1
2006-05-04,2006-05-12,CP_S,traded,0.026888555642238278,2006,1
2006-05-12,2006-05-19,CP_LV,traded,-0.043555194758085336,2006,0
2006-05-19,2006-05-26,CP_MOM,traded,-0.035792746589383695,2006,0
2006-05-26,2006-06-02,CP_LV,traded,-0.020792046240081748,2006,0
2006-06-02,2006-06-09,CP_S,traded,-0.04800034089220802,2006,0
2006-06-09,2006-06-16,CP_MOM,traded,0.0728642918751903,2006,1
2006-06-16,2006-06-23,CP_LV,traded,-0.0283348517024362,2006,0
2006-06-23,2006-06-30,CP_MOM,traded,0.057528643176637216,2006,1
2006-06-30,2006-07-07,CP_MOM,traded,-0.03192271528416276,2006,0
2006-07-07,2006-07-14,CP_LV,traded,-0.03411380481001693,2006,0
2006-07-14,2006-07-21,CP_MOM,traded,-0.024334159944918318,2006,0
2006-07-21,2006-07-28,CP_LV,traded,-0.001732033709001966,2006,0
2006-07-28,2006-08-04,CP_G,skip,0.0,2006,0
2006-08-04,2006-08-11,CP_V,traded,0.00826858603505255,2006,1
2006-08-11,2006-08-18,CP_G,skip,0.0,2006,0
2006-08-18,2006-08-25,CP_S,traded,0.004157395420254652,2006,1
2006-08-25,2006-09-01,CP_G,skip,0.0,2006,0
2006-09-01,2006-09-08,CP_S,traded,0.039675727491064974,2006,1
2006-09-08,2006-09-15,CP_S,traded,0.009250686685031453,2006,1
2006-09-15,2006-09-22,CP_LV,traded,0.001519904009462782,2006,1
2006-09-22,2006-09-29,CP_MOM,traded,0.028223602899420573,2006,1
2006-09-29,2006-10-04,CP_LV,traded,-0.006867720329156977,2006,0
2006-10-04,2006-10-13,CP_S,traded,-0.017032021071665203,2006,0
2006-10-13,2006-10-20,CP_MOM,traded,0.008995224721477358,2006,1
2006-10-20,2006-10-27,CP_LV,traded,-0.02130440959093028,2006,0
2006-10-27,2006-11-03,CP_S,traded,-0.0018420172747306324,2006,0
2006-11-03,2006-11-10,CP_Q,skip,0.0,2006,0
2006-11-10,2006-11-17,CP_LV,traded,0.0009180704494269683,2006,1
2006-11-17,2006-11-24,CP_V,traded,0.045682212039704094,2006,1
2006-11-24,2006-12-01,CP_Q,skip,0.0,2006,0
2006-12-01,2006-12-08,CP_Q,skip,0.0,2006,0
2006-12-08,2006-12-15,CP_LV,traded,0.0426883737343674,2006,1
2006-12-15,2006-12-22,CP_LV,traded,0.016514043470057208,2006,1
2006-12-22,2006-12-28,CP_G,skip,0.0,2006,0
2006-12-28,2007-01-05,CP_V,traded,-0.0243886707829407,2006,0
2007-01-05,2007-01-12,CP_LV,traded,0.000610292435868211,2007,1
2007-01-12,2007-01-19,CP_LV,traded,0.003139154295359061,2007,1
2007-01-19,2007-01-26,CP_LV,traded,0.009269115552222852,2007,1
2007-01-26,2007-02-02,CP_V,traded,0.01737099562122102,2007,1
2007-02-02,2007-02-09,CP_G,skip,0.0,2007,0
2007-02-09,2007-02-16,CP_V,traded,0.001948897649805638,2007,1
2007-02-16,2007-02-23,CP_MOM,traded,0.00398220887968629,2007,1
2007-02-23,2007-03-02,CP_S,traded,-0.03273249993142031,2007,0
2007-03-02,2007-03-09,CP_G,skip,0.0,2007,0
2007-03-09,2007-03-16,CP_S,traded,0.02681844692949619,2007,1
2007-03-16,2007-03-23,CP_MOM,traded,0.048571991687392756,2007,1
2007-03-23,2007-03-30,CP_G,skip,0.0,2007,0
2007-03-30,2007-04-06,CP_MOM,traded,0.04418593041068629,2007,1
2007-04-06,2007-04-13,CP_V,traded,0.04984757572160452,2007,1
2007-04-13,2007-04-20,CP_MOM,traded,0.08399539011454149,2007,1
2007-04-20,2007-04-27,CP_Q,skip,0.0,2007,0
2007-04-27,2007-05-04,CP_MOM,traded,0.03370406122008851,2007,1
2007-05-04,2007-05-11,CP_MOM,traded,0.0525305938238345,2007,1
2007-05-11,2007-05-18,CP_V,traded,0.017234445111931,2007,1
2007-05-18,2007-05-25,CP_G,skip,0.0,2007,0
2007-05-25,2007-06-01,CP_MOM,traded,0.08386037488701727,2007,1
2007-06-01,2007-06-08,CP_S,traded,0.024097131280628903,2007,1
2007-06-08,2007-06-15,CP_MOM,traded,0.04575205742831443,2007,1
2007-06-15,2007-06-22,CP_LV,traded,0.015818582330991815,2007,1
2007-06-22,2007-06-29,CP_G,skip,0.0,2007,0
2007-06-29,2007-07-06,CP_MOM,traded,0.08183188795523644,2007,1
