BaseDate,SellDate,leader,n_selected,n_priced,basket_return,win,top_codes,year
2005-01-07,2005-01-14,CP_G,10,10,0.0017097631922312728,1,"A054780,A001740,A049960,A036630,A019550,A038290,A035890,A064260,A029480,A024720",2005
2005-01-14,2005-01-21,CP_S,10,10,0.08544409250880153,1,"A001390,A052260,A003230,A036420,A032500,A007110,A026890,A054450,A031820,A007310",2005
2005-01-21,2005-01-28,CP_MOM,10,10,0.26743563833004036,1,"A008040,A035810,A032820,A029480,A005870,A028300,A016100,A038390,A030210,A019550",2005
2005-01-28,2005-02-04,CP_V,10,10,-0.10462018486782965,0,"A008040,A032820,A052220,A007610,A067290,A054780,A041190,A009440,A025750,A029480",2005
2005-02-04,2005-02-11,CP_V,10,10,0.06710442159777738,1,"A003030,A040300,A053030,A014990,A069460,A032500,A033530,A045390,A049180,A003070",2005
2005-02-11,2005-02-18,CP_V,10,10,0.22176356232043534,1,"A013360,A010820,A031820,A024720,A053030,A040300,A000250,A016100,A016250,A032820",2005
2005-02-18,2005-02-25,CP_MOM,10,10,-0.04168495699308532,0,"A009310,A002630,A034940,A003520,A046440,A031820,A003060,A032820,A018290,A078000",2005
2005-02-25,2005-03-04,CP_V,10,10,0.14791645436517475,1,"A054780,A028300,A039490,A008260,A002630,A000990,A005960,A001390,A001430,A005440",2005
2005-03-04,2005-03-11,CP_MOM,10,10,0.03726297788058477,1,"A001510,A028300,A003830,A074610,A036530,A003530,A000670,A003280,A033920,A067290",2005
2005-03-11,2005-03-18,CP_LV,10,10,-0.09202569990541981,0,"A045970,A012690,A041510,A008260,A002600,A001570,A041960,A008970,A006730,A077970",2005
2005-03-18,2005-03-25,CP_S,10,10,-0.06421212171296066,0,"A006490,A016100,A010040,A036630,A003230,A011760,A005870,A013030,A040300,A013120",2005
2005-03-25,2005-04-01,CP_MOM,10,10,-0.02464139966700003,0,"A012690,A066970,A033100,A014160,A053030,A028300,A002450,A067290,A009310,A014620",2005
2005-04-01,2005-04-08,CP_V,10,10,-0.027927120630366564,0,"A036580,A041510,A033310,A045390,A001570,A003280,A009440,A036630,A010580,A078600",2005
2005-04-08,2005-04-15,CP_LV,10,10,-0.0522563324165064,0,"A009160,A006910,A023810,A027740,A007860,A036580,A004910,A001820,A002840,A002700",2005
2005-04-15,2005-04-22,CP_G,10,10,-0.021104349272338153,0,"A024720,A035810,A000890,A002700,A052260,A036420,A023960,A054050,A002630,A005420",2005
