BaseDate,SellDate,leader,n_selected,n_priced,basket_return,win,top_codes,year
2005-01-07,2005-01-14,CP_G,10,9,0.06034047382761901,1,"A012460,A033780,A025530,A005940,A000210,A001230,A005290,A012330,A008930,A008060",2005
2005-01-14,2005-01-21,CP_S,10,9,0.0023110653083262666,1,"A013580,A009970,A006570,A068420,A002390,A004960,A034830,A000990,A002350,A003000",2005
2005-01-21,2005-01-28,CP_MOM,10,10,-0.006900106761704239,0,"A064960,A011790,A000240,A010140,A046890,A005850,A009540,A001450,A009830,A035080",2005
2005-01-28,2005-02-04,CP_V,10,7,0.0018017996442946105,1,"A037950,A068420,A003690,A049070,A065130,A066110,A036030,A005280,A006200,A030200",2005
2005-02-04,2005-02-11,CP_V,10,10,0.039042217468035004,1,"A025750,A004560,A069260,A001060,A018880,A053450,A002990,A010950,A017670,A013570",2005
2005-02-11,2005-02-18,CP_V,10,10,0.04638792410785377,1,"A006800,A001940,A018880,A034120,A031440,A005180,A017670,A005490,A002380,A011790",2005
2005-02-18,2005-02-25,CP_MOM,10,10,0.012986067837599192,1,"A069260,A001440,A004020,A031440,A053800,A028050,A011200,A002790,A000660,A020000",2005
2005-02-25,2005-03-04,CP_V,10,9,0.0801479982445408,1,"A006650,A010820,A001130,A066110,A053450,A006200,A007810,A054800,A007660,A005290",2005
2005-03-04,2005-03-11,CP_MOM,10,9,-0.02106058040262472,0,"A004370,A001120,A012450,A000100,A001680,A003620,A002020,A003410,A046890,A010060",2005
2005-03-11,2005-03-18,CP_LV,10,9,-0.0615598984582772,0,"A009240,A029460,A016800,A064960,A012650,A017800,A011930,A030520,A003620,A005880",2005
2005-03-18,2005-03-25,CP_S,10,7,-0.018282309415286937,0,"A049000,A014900,A008560,A030610,A015860,A003530,A003470,A036530,A004560,A010820",2005
2005-03-25,2005-04-01,CP_MOM,10,10,-0.0029354319639413816,0,"A009830,A001450,A069620,A010060,A035080,A051900,A003550,A005930,A024110,A005830",2005
2005-04-01,2005-04-08,CP_V,10,7,0.019972312126015707,1,"A025530,A072710,A004800,A005880,A006350,A003660,A001800,A003640,A010770,A000320",2005
2005-04-08,2005-04-15,CP_LV,10,7,-0.04305442462449297,0,"A001830,A033240,A010130,A002390,A067250,A001450,A003160,A017800,A003640,A026960",2005
2005-04-15,2005-04-22,CP_G,10,9,0.006729170037529449,1,"A006350,A035000,A009200,A069080,A025530,A042420,A018880,A054800,A036570,A034020",2005
2005-04-22,2005-04-29,CP_LV,10,8,-0.03256757195761993,0,"A004990,A002390,A047040,A004960,A047050,A013580,A011780,A003410,A008930,A012650",2005
2005-04-29,2005-05-06,CP_MOM,10,10,0.019513009121848703,1,"A034220,A003690,A010780,A005300,A006280,A035080,A009240,A003550,A001430,A034120",2005
