BaseDate,SellDate,leader,status,basket_return,n_picked,top_codes,year,win
2005-01-07,2005-01-14,CP_S,traded,0.02283633355355182,9,"A000430,A015360,A010770,A003200,A004560,A003030,A069260,A061460,A036530,A006840",2005,1
2005-01-14,2005-01-21,CP_MOM,traded,-0.005821767320396076,10,"A007310,A022100,A006650,A021240,A011780,A006120,A000210,A003550,A055550,A015760",2005,0
2005-01-21,2005-01-28,CP_V,traded,0.014477782598308881,7,"A003490,A000990,A015760,A000060,A004020,A010060,A049770,A001120,A002300,A004150",2005,1
2005-01-28,2005-02-04,CP_V,traded,0.04800259454331993,9,"A001450,A011020,A003200,A015760,A069260,A000430,A000070,A000390,A004150,A004020",2005,1
2005-02-04,2005-02-11,CP_V,traded,0.07868962161347433,9,"A004560,A069260,A000150,A000070,A003530,A034830,A005250,A003460,A004980,A004550",2005,1
2005-02-11,2005-02-18,CP_MOM,traded,0.023653453299292283,10,"A034830,A003470,A056190,A006650,A000990,A002240,A009540,A035760,A036930,A022100",2005,1
2005-02-18,2005-02-25,CP_V,traded,0.024178176163138776,9,"A033530,A009410,A001450,A015760,A017390,A000430,A006390,A004150,A003030,A004980",2005,1
2005-02-25,2005-03-04,CP_MOM,traded,0.08631872987198601,10,"A000990,A005440,A006650,A011780,A003030,A000270,A000070,A003240,A039130,A005180",2005,1
2005-03-04,2005-03-11,CP_LV,traded,0.007045157073207043,10,"A069620,A017390,A015760,A029530,A005930,A030200,A017670,A034230,A031440,A000640",2005,1
2005-03-11,2005-03-18,CP_S,traded,-0.048493770417617,8,"A005950,A033530,A033030,A004960,A007810,A009080,A005850,A037950,A054800,A013570",2005,0
2005-03-18,2005-03-25,CP_MOM,traded,-0.06307775941032678,10,"A002380,A056190,A026960,A042660,A041960,A021240,A003920,A046890,A005180,A007310",2005,0
2005-03-25,2005-04-01,CP_V,traded,0.048585918519660466,9,"A000990,A001120,A006260,A001130,A000700,A069260,A067250,A030610,A005250,A003200",2005,1
2005-04-01,2005-04-08,CP_LV,traded,-0.00032728698287367577,10,"A001720,A030200,A017670,A035000,A003300,A000100,A051900,A025000,A003200,A001040",2005,0
2005-04-08,2005-04-15,CP_G,traded,-0.0033684457944267664,5,"A068420,A049000,A067250,A028080,A001060,A036490,A008930,A028050,A046890,A036550",2005,0
2005-04-15,2005-04-22,CP_LV,traded,0.0037411122527946762,10,"A000640,A005490,A005680,A069620,A005930,A000100,A029530,A001720,A019680,A008770",2005,1
2005-04-22,2005-04-29,CP_MOM,traded,-0.0017339892986282357,10,"A000670,A071050,A000720,A000640,A056190,A018000,A006360,A002380,A006650,A000880",2005,0
2005-04-29,2005-05-06,CP_S,traded,0.04694960911213845,6,"A014900,A019550,A025930,A000790,A025860,A066110,A013570,A052710,A001470,A025750",2005,1
2005-05-06,2005-05-13,CP_V,traded,-0.011492672535438888,7,"A002300,A002020,A015760,A004200,A013570,A003160,A003660,A000430,A000480,A015360",2005,0
2005-05-13,2005-05-20,CP_G,traded,0.031552153776828816,6,"A069080,A042420,A057880,A006400,A035420,A046140,A011160,A028050,A010520,A036530",2005,1
2005-05-20,2005-05-27,CP_G,traded,0.03299762410280695,8,"A031440,A003550,A057880,A067250,A034120,A028050,A069080,A018000,A003480,A036030",2005,1
2005-05-27,2005-06-03,CP_V,traded,0.027714312061790567,7,"A011020,A000360,A000210,A005490,A000990,A049770,A017940,A004020,A009410,A007660",2005,1
2005-06-03,2005-06-10,CP_MOM,traded,0.0007318029516630853,10,"A003520,A001060,A001450,A016100,A051900,A010140,A028050,A000720,A000640,A012630",2005,1
2005-06-10,2005-06-17,CP_MOM,traded,0.03392890835372257,10,"A005440,A003240,A000720,A028050,A007310,A021240,A001060,A012750,A015760,A003470",2005,1
2005-06-17,2005-06-24,CP_S,traded,0.06264672607670788,8,"A025930,A015890,A005850,A033530,A030520,A007340,A011930,A057030,A066110,A015860",2005,1
2005-06-24,2005-07-01,CP_V,traded,0.028164772647204184,8,"A003300,A009200,A049770,A009720,A006260,A007660,A017900,A000390,A004020,A000320",2005,1
2005-07-01,2005-07-08,CP_MOM,traded,0.055953635782395705,10,"A003520,A001450,A010780,A005830,A003030,A003470,A008930,A001680,A001060,A000640",2005,1
2005-07-08,2005-07-15,CP_LV,traded,0.024761776905294474,10,"A001040,A010060,A032640,A017940,A030200,A035000,A006280,A018670,A017670,A000100",2005,1
2005-07-15,2005-07-22,CP_LV,traded,0.017080039585030193,10,"A033780,A034230,A069260,A015360,A001040,A002030,A004690,A035000,A003200,A006840",2005,1
2005-07-22,2005-07-29,CP_LV,traded,0.021265556998062242,10,"A029530,A017940,A008060,A005680,A006400,A066570,A058430,A018670,A006840,A069260",2005,1
2005-07-29,2005-08-05,CP_MOM,traded,-0.0247914320478147,10,"A047040,A002240,A000660,A012630,A006120,A024110,A071050,A034020,A005380,A000720",2005,0
2005-08-05,2005-08-12,CP_MOM,traded,0.027139275499339477,10,"A003920,A010140,A000720,A051900,A035250,A015760,A012630,A006360,A021240,A007310",2005,1
2005-08-12,2005-08-19,CP_LV,traded,-0.009338379666765628,10,"A004370,A029530,A069260,A017940,A072710,A031440,A058430,A006840,A003200,A002030",2005,0
2005-08-19,2005-08-26,CP_G,traded,0.010049131563201363,6,"A060570,A001210,A036490,A004790,A036710,A003620,A016990,A010140,A009540,A010620",2005,1
2005-08-26,2005-09-02,CP_V,traded,0.021751474732480305,8,"A005850,A036460,A015760,A000060,A005950,A004800,A009410,A005490,A049770,A009200",2005,1
2005-09-02,2005-09-09,CP_V,traded,-0.003453781792594146,5,"A002300,A002350,A000060,A005250,A002530,A002030,A067250,A011020,A000480,A017940",2005,0
2005-09-09,2005-09-16,CP_MOM,traded,0.02555173545016993,10,"A003520,A071050,A032640,A016360,A004000,A001680,A004020,A024110,A005830,A003690",2005,1
2005-09-16,2005-09-23,CP_S,traded,0.04198319447837024,9,"A036030,A019550,A029460,A000800,A009240,A065130,A052790,A031440,A006200,A006840",2005,1
2005-09-23,2005-09-30,CP_S,traded,0.0487939042469292,5,"A007190,A068420,A060570,A060150,A025930,A001370,A050090,A035610,A049770,A005850",2005,1
2005-09-30,2005-10-07,CP_S,traded,0.006392861568596025,9,"A011760,A000320,A033530,A009970,A006840,A017810,A000800,A006200,A069260,A050090",2005,1
2005-10-07,2005-10-14,CP_G,traded,-0.017235681431671077,8,"A063350,A049000,A009150,A060720,A006400,A036930,A044490,A003620,A002350,A003480",2005,0
2005-10-14,2005-10-21,CP_V,traded,0.006769637296168924,9,"A009200,A015760,A000210,A004020,A000070,A004150,A003300,A005490,A006260,A067250",2005,1
2005-10-21,2005-10-28,CP_Q,skip_quality,0.0,0,,2005,0
2005-10-28,2005-11-04,CP_MOM,traded,0.04307806020630568,10,"A005250,A012630,A006280,A017800,A001120,A007310,A058650,A034830,A022100,A008930",2005,1
2005-11-04,2005-11-11,CP_MOM,traded,0.04113987909199823,10,"A004990,A039490,A005830,A001800,A008930,A069960,A035420,A028050,A071050,A016360",2005,1
2005-11-11,2005-11-18,CP_MOM,traded,0.04275392450272556,10,"A034830,A035080,A003690,A000100,A035420,A008770,A006120,A010060,A034120,A004000",2005,1
2005-11-18,2005-11-25,CP_G,traded,0.03297097109631264,8,"A067250,A077970,A003550,A023160,A049520,A036710,A033630,A020560,A003480,A022100",2005,1
2005-11-25,2005-12-02,CP_LV,traded,0.04507580170771641,10,"A005930,A005300,A006400,A058430,A012330,A029530,A069260,A017670,A006840,A005380",2005,1
2005-12-02,2005-12-09,CP_MOM,traded,-0.018157414211080046,10,"A022100,A009410,A001800,A012630,A005380,A069260,A005940,A001120,A028050,A024110",2005,0
