year,n_weeks,n_traded,n_skip_quality,compound_return,win_rate
2005,52.0,51.0,1.0,1.6250604060996947,0.7450980392156863
2006,52.0,49.0,3.0,-0.000399792141991262,0.5510204081632653
2007,52.0,50.0,2.0,-0.0734619645439285,0.58
2008,52.0,47.0,5.0,-0.045562883907287244,0.5106382978723404
2009,53.0,50.0,3.0,0.6872478175487764,0.68
2010,52.0,47.0,5.0,-0.01411948183349998,0.5957446808510638
2011,52.0,50.0,2.0,0.19163588113748586,0.54
2012,52.0,47.0,5.0,0.24478752895155576,0.6170212765957447
2013,52.0,45.0,7.0,0.18771915107067327,0.4444444444444444
2014,52.0,51.0,1.0,0.3412971090337926,0.6470588235294118
2015,53.0,51.0,2.0,0.1322702156448341,0.5686274509803921
2016,52.0,51.0,1.0,0.1703176910409272,0.5294117647058824
2017,51.0,46.0,5.0,0.2295384107754712,0.5869565217391305
2018,52.0,50.0,2.0,-0.23428008132312783,0.48
2019,52.0,43.0,9.0,-0.07717167252374169,0.4418604651162791
2020,53.0,51.0,2.0,0.5541629541028672,0.5882352941176471
2021,52.0,46.0,6.0,0.03798056867242838,0.4782608695652174
2022,52.0,48.0,4.0,-0.3618909270157249,0.4583333333333333
2023,52.0,51.0,1.0,0.3660362136649191,0.5882352941176471
2024,52.0,47.0,5.0,-0.02711380635306515,0.5106382978723404
2025,50.0,47.0,3.0,0.854563805192013,0.6595744680851063
