year,주수,평균일치율_분모50,평균일치율_분모가용
2005,52,0.46807692307692306,0.5690293264653277
2006,52,0.39961538461538465,0.4910294375058335
2007,52,0.42923076923076925,0.5291621379673909
2008,52,0.3403846153846154,0.44062352998350185
2009,53,0.40830188679245283,0.5159554196405944
2010,52,0.42192307692307696,0.4809297681442087
2011,52,0.4253846153846154,0.4830777132395883
2012,52,0.44846153846153847,0.5064850002831337
2013,52,0.46192307692307694,0.5078532754585828
2014,52,0.4553846153846154,0.49618187114913065
2015,53,0.4426415094339623,0.4807534394755845
2016,52,0.44423076923076926,0.48466210281576344
2017,51,0.4392156862745098,0.484390501590555
2018,52,0.41615384615384615,0.4392248044247057
2019,52,0.43192307692307697,0.4544733550812578
2020,53,0.4784905660377358,0.5041845500352585
2021,52,0.45692307692307693,0.48252116809669343
2022,52,0.445,0.4591733287636552
2023,52,0.4930769230769231,0.5080934049596498
2024,52,0.43076923076923074,0.43676355993902577
2025,51,0.5047058823529412,0.5106365453983012
