year,주수,평균일치율_분모30,평균일치율_분모가용
2005,1,0.6,0.6
2006,52,0.4897435897435897,0.4897435897435897
2007,52,0.5499999999999999,0.5499999999999999
2008,52,0.44358974358974357,0.44358974358974357
2009,53,0.5270440251572327,0.5270440251572327
2010,52,0.4846153846153846,0.4846153846153846
2011,52,0.46602564102564104,0.46602564102564104
2012,52,0.4923076923076923,0.4923076923076923
2013,52,0.4948717948717949,0.4948717948717949
2014,52,0.4923076923076923,0.4923076923076923
2015,53,0.4729559748427673,0.4729559748427673
2016,52,0.46089743589743587,0.46089743589743587
2017,51,0.48823529411764705,0.48823529411764705
2018,52,0.458974358974359,0.458974358974359
2019,52,0.46217948717948715,0.46217948717948715
2020,53,0.5044025157232704,0.5044025157232704
2021,52,0.475,0.475
2022,52,0.44487179487179485,0.44487179487179485
2023,52,0.4929487179487179,0.4929487179487179
2024,52,0.442948717948718,0.442948717948718
2025,51,0.5,0.5
