BaseDate,leader,n_up,n_total,n_universe,agreement_total,agreement_universe,year
2005-01-07,CP_G,25,37,50,0.6756756756756757,0.5,2005
2005-01-14,CP_S,30,38,50,0.7894736842105263,0.6,2005
2005-01-21,CP_MOM,21,48,50,0.4375,0.42,2005
2005-01-28,CP_V,28,38,50,0.7368421052631579,0.56,2005
2005-02-04,CP_V,31,38,50,0.8157894736842105,0.62,2005
2005-02-11,CP_V,30,39,50,0.7692307692307693,0.6,2005
2005-02-18,CP_MOM,32,48,50,0.6666666666666666,0.64,2005
2005-02-25,CP_V,31,40,50,0.775,0.62,2005
2005-03-04,CP_MOM,27,46,50,0.5869565217391305,0.54,2005
2005-03-11,CP_LV,25,39,50,0.6410256410256411,0.5,2005
2005-03-18,CP_S,6,37,50,0.16216216216216217,0.12,2005
2005-03-25,CP_MOM,7,45,50,0.15555555555555556,0.14,2005
2005-04-01,CP_V,26,41,50,0.6341463414634146,0.52,2005
2005-04-08,CP_LV,18,39,50,0.46153846153846156,0.36,2005
2005-04-15,CP_G,3,36,50,0.08333333333333333,0.06,2005
2005-04-22,CP_LV,21,38,50,0.5526315789473685,0.42,2005
2005-04-29,CP_MOM,10,46,50,0.21739130434782608,0.2,2005
2005-05-06,CP_S,32,38,50,0.8421052631578947,0.64,2005
2005-05-13,CP_V,8,39,50,0.20512820512820512,0.16,2005
2005-05-20,CP_G,28,36,50,0.7777777777777778,0.56,2005
2005-05-27,CP_G,28,36,50,0.7777777777777778,0.56,2005
2005-06-03,CP_V,21,38,50,0.5526315789473685,0.42,2005
2005-06-10,CP_MOM,33,48,50,0.6875,0.66,2005
2005-06-17,CP_MOM,29,47,50,0.6170212765957447,0.58,2005
2005-06-24,CP_S,19,41,50,0.4634146341463415,0.38,2005
2005-07-01,CP_V,23,37,50,0.6216216216216216,0.46,2005
2005-07-08,CP_MOM,12,47,50,0.2553191489361702,0.24,2005
2005-07-15,CP_LV,24,35,50,0.6857142857142857,0.48,2005
2005-07-22,CP_LV,23,36,50,0.6388888888888888,0.46,2005
2005-07-29,CP_LV,27,36,50,0.75,0.54,2005
2005-08-05,CP_MOM,9,46,50,0.1956521739130435,0.18,2005
2005-08-12,CP_MOM,38,47,50,0.8085106382978723,0.76,2005
2005-08-19,CP_LV,11,37,50,0.2972972972972973,0.22,2005
2005-08-26,CP_G,18,38,50,0.47368421052631576,0.36,2005
2005-09-02,CP_V,28,41,50,0.6829268292682927,0.56,2005
2005-09-09,CP_V,29,40,50,0.725,0.58,2005
2005-09-16,CP_MOM,31,47,50,0.6595744680851063,0.62,2005
2005-09-23,CP_S,30,41,50,0.7317073170731707,0.6,2005
2005-09-30,CP_S,32,38,50,0.8421052631578947,0.64,2005
2005-10-07,CP_S,23,40,50,0.575,0.46,2005
2005-10-14,CP_G,18,37,50,0.4864864864864865,0.36,2005
2005-10-21,CP_V,17,41,50,0.4146341463414634,0.34,2005
2005-10-28,CP_Q,8,42,50,0.19047619047619047,0.16,2005
2005-11-04,CP_MOM,42,47,50,0.8936170212765957,0.84,2005
2005-11-11,CP_MOM,36,48,50,0.75,0.72,2005
2005-11-18,CP_MOM,31,48,50,0.6458333333333334,0.62,2005
2005-11-25,CP_G,27,38,50,0.7105263157894737,0.54,2005
