BaseDate,ret_CP_G,ret_CP_LV,ret_CP_MOM,ret_CP_Q,ret_CP_S,ret_CP_V,rank_of_CP_G,rank_of_CP_LV,rank_of_CP_MOM,rank_of_CP_Q,rank_of_CP_S,rank_of_CP_V,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
2004-12-30,0.06368611798066884,-0.05777375248908356,-0.031254172907210886,-0.007512509301936221,0.045326133444177685,-0.02356677773768656,1.0,6.0,5.0,3.0,2.0,4.0,CP_G,CP_S,CP_Q,CP_V,CP_MOM,CP_LV
2005-01-07,0.006618195000362204,-0.005394114616137813,0.005708392368008693,-0.0019508189861110192,0.0008085319987003459,-0.01512748211083911,1.0,5.0,2.0,4.0,3.0,6.0,CP_G,CP_MOM,CP_S,CP_Q,CP_LV,CP_V
2005-01-14,0.013454398256726563,-0.01301159238209948,0.003434121794998646,-0.01165113655526696,0.04513558965481934,-0.0034810094008916772,2.0,6.0,3.0,5.0,1.0,4.0,CP_S,CP_G,CP_MOM,CP_V,CP_Q,CP_LV
2005-01-21,0.013011568854077876,0.017859164901892655,0.08170948153904949,-0.029946323756475823,0.016801580799437943,0.04703620198908878,5.0,3.0,1.0,6.0,4.0,2.0,CP_MOM,CP_V,CP_LV,CP_S,CP_G,CP_Q
2005-01-28,0.004626750082631286,0.016807407893793425,0.02846793142730691,-0.0021679296406869886,0.03211952736819512,0.05700982643993793,5.0,4.0,3.0,6.0,2.0,1.0,CP_V,CP_S,CP_MOM,CP_LV,CP_G,CP_Q
2005-02-04,0.011822291207974962,-0.009733527778735152,-0.014768295647245983,-0.016680998392245273,0.021514930866032955,0.02298003588250633,3.0,4.0,5.0,6.0,2.0,1.0,CP_V,CP_S,CP_G,CP_LV,CP_MOM,CP_Q
2005-02-11,-0.04014100721200966,-0.005321737568010576,-0.013297398180340324,-0.034279076074877915,0.027611461837295792,0.05343497750522979,6.0,3.0,4.0,5.0,2.0,1.0,CP_V,CP_S,CP_LV,CP_MOM,CP_Q,CP_G
2005-02-18,-0.01270034083887479,0.023579765247632167,0.06958901847247034,-0.02747294849035461,-0.030122006035526283,0.04358816170922907,4.0,3.0,1.0,5.0,6.0,2.0,CP_MOM,CP_V,CP_LV,CP_G,CP_Q,CP_S
2005-02-25,-0.005746925892308354,0.005162708432180807,0.004074873507864053,-0.03212661377068833,0.02217389780889789,0.04481862669305529,5.0,3.0,4.0,6.0,2.0,1.0,CP_V,CP_S,CP_LV,CP_MOM,CP_G,CP_Q
2005-03-04,-0.0017474139917984,0.0054310777195496485,0.023184356381065183,-0.02456177487945721,-0.005898656892895815,-0.006908025444579958,3.0,2.0,1.0,6.0,4.0,5.0,CP_MOM,CP_LV,CP_G,CP_S,CP_V,CP_Q
2005-03-11,-0.02110701984260232,0.05695950362314761,-0.017207935632717226,0.04270110076285457,-0.03207722403567459,0.014030173152558882,5.0,1.0,4.0,2.0,6.0,3.0,CP_LV,CP_Q,CP_V,CP_MOM,CP_G,CP_S
2005-03-18,0.009530207577627152,-0.012150429725807044,-0.03837412876647807,-0.0023651679472650516,0.017220877909494448,-0.0014468252055062835,2.0,5.0,6.0,4.0,1.0,3.0,CP_S,CP_G,CP_V,CP_Q,CP_LV,CP_MOM
2005-03-25,0.006673749117180706,-0.0008018622791294344,0.03973345520094998,0.011708774314055677,-0.0033994371532326258,-0.026855971991731706,3.0,4.0,1.0,2.0,5.0,6.0,CP_MOM,CP_Q,CP_G,CP_LV,CP_S,CP_V
2005-04-01,0.011257975307457587,0.01171414179225394,-0.014631450018515029,0.0037761025684214813,0.0005132656078785658,0.011882904927037528,3.0,2.0,6.0,4.0,5.0,1.0,CP_V,CP_LV,CP_G,CP_Q,CP_S,CP_MOM
2005-04-08,-0.011485453987238464,0.0745284427612205,-0.0032943136043726423,0.01701184791127367,-0.009688076323072892,0.008061843306018869,6.0,1.0,4.0,2.0,5.0,3.0,CP_LV,CP_Q,CP_V,CP_MOM,CP_S,CP_G
2005-04-15,0.013712784809553444,-0.023342427510215202,-0.005518503483354805,-0.016774441904946112,-0.007749293063170626,0.002848414906926836,1.0,6.0,3.0,5.0,4.0,2.0,CP_G,CP_V,CP_MOM,CP_S,CP_Q,CP_LV
2005-04-22,-0.005316391302452483,0.04407061200981843,-0.008772137815192819,0.0026584489992885485,-0.0054410956381616415,0.012484908758277267,4.0,1.0,6.0,3.0,5.0,2.0,CP_LV,CP_V,CP_Q,CP_G,CP_S,CP_MOM
2005-04-29,0.003829115549057476,-0.026957058056723326,0.009774263287263532,-0.010443676199953435,0.0017128135150414892,0.004783540944054979,3.0,6.0,1.0,5.0,4.0,2.0,CP_MOM,CP_V,CP_G,CP_S,CP_Q,CP_LV
2005-05-06,0.008583434682805093,0.010178966320381733,-0.016562068312909572,-0.0057378261610549885,0.024028716108659864,-0.0041103041530105066,3.0,2.0,6.0,5.0,1.0,4.0,CP_S,CP_LV,CP_G,CP_V,CP_Q,CP_MOM
2005-05-13,0.011742841015583212,-0.027106671363071655,-0.0234118101126965,0.002071996862700178,-0.001231395655850065,0.012981523599090244,2.0,6.0,5.0,3.0,4.0,1.0,CP_V,CP_G,CP_Q,CP_S,CP_MOM,CP_LV
2005-05-20,0.03105798098774905,-0.03555867017712444,0.01594772906748638,-0.005035052750796333,0.011067246183301904,-0.01695513813194401,1.0,6.0,2.0,4.0,3.0,5.0,CP_G,CP_MOM,CP_S,CP_Q,CP_V,CP_LV
2005-05-27,0.021497736449908607,-0.013514421765648876,0.015640435736596344,-0.012505732385946785,0.004975322170139407,-0.014399087457949745,1.0,5.0,2.0,4.0,3.0,6.0,CP_G,CP_MOM,CP_S,CP_Q,CP_LV,CP_V
2005-06-03,0.004533959821998782,0.0022068604976084316,-0.010679426997329199,-0.015938679052327397,0.0019486989876895677,0.01988012140721147,2.0,3.0,5.0,6.0,4.0,1.0,CP_V,CP_G,CP_LV,CP_S,CP_MOM,CP_Q
2005-06-10,-0.013690688338996013,-0.0015989285584510071,0.011310930461472562,-0.009521905259797507,-0.008034487114855438,0.010299568516121986,6.0,3.0,1.0,5.0,4.0,2.0,CP_MOM,CP_V,CP_LV,CP_S,CP_Q,CP_G
2005-06-17,0.0014296088685603957,-0.02857918774134305,0.04275956655657219,-0.0174810362829811,0.02106389371692785,0.02612461216588821,4.0,6.0,1.0,5.0,3.0,2.0,CP_MOM,CP_V,CP_S,CP_G,CP_Q,CP_LV
2005-06-24,0.02080338250827761,-0.03231562907603802,0.03902665548957884,-0.03939115312108297,0.039882532466435805,0.007359183400426843,3.0,5.0,2.0,6.0,1.0,4.0,CP_S,CP_MOM,CP_G,CP_V,CP_LV,CP_Q
2005-07-01,0.009159426131815302,0.015680601300118724,-0.06234170507377712,0.022709694702841215,0.018351831433392363,0.0248885649328666,5.0,4.0,6.0,2.0,3.0,1.0,CP_V,CP_Q,CP_S,CP_LV,CP_G,CP_MOM
2005-07-08,-0.0031659784214571117,0.00010306502736057155,0.011347360035870224,-0.015387373195045581,-0.02959605155410827,0.007973760315239616,4.0,3.0,1.0,5.0,6.0,2.0,CP_MOM,CP_V,CP_LV,CP_G,CP_Q,CP_S
2005-07-15,-0.0099541359487921,0.022786466126490268,-0.0009672259948274586,-0.01921769913278078,-0.01284023317930405,0.015976154761628628,4.0,1.0,3.0,6.0,5.0,2.0,CP_LV,CP_V,CP_MOM,CP_G,CP_S,CP_Q
2005-07-22,0.008951596596150423,0.0182185898120224,-0.0062677388050360605,-0.02502370418554519,-0.020888074603135465,0.010313464256952287,3.0,1.0,4.0,6.0,5.0,2.0,CP_LV,CP_V,CP_G,CP_MOM,CP_S,CP_Q
2005-07-29,-0.027781183215647973,0.047594282259524334,-0.006272928018006496,0.03943445470373509,-0.028042524500051513,0.028190415190002916,5.0,1.0,4.0,2.0,6.0,3.0,CP_LV,CP_Q,CP_V,CP_MOM,CP_G,CP_S
2005-08-05,0.01763627065948265,-0.0319302003881603,0.04596987115655793,-0.053099044543391066,-0.002619877122924663,-0.001991609593146832,2.0,5.0,1.0,6.0,4.0,3.0,CP_MOM,CP_G,CP_V,CP_S,CP_LV,CP_Q
2005-08-12,-0.0031836856311808033,0.015527997999015497,0.018946598014736082,-0.0005891293729260822,-0.00040864864786271937,0.005861294706721374,6.0,2.0,1.0,5.0,4.0,3.0,CP_MOM,CP_LV,CP_V,CP_S,CP_Q,CP_G
2005-08-19,-0.01969950909580232,0.058215161076628705,-0.007855492862290703,0.030251380150853574,0.021275503633660264,0.0004360396736140873,6.0,1.0,5.0,2.0,3.0,4.0,CP_LV,CP_Q,CP_S,CP_V,CP_MOM,CP_G
2005-08-26,0.018009721601162765,-0.03540511314243373,0.0020185399371257517,0.007021876340100576,-0.007095251847204054,-0.013329038698960342,1.0,6.0,3.0,2.0,4.0,5.0,CP_G,CP_Q,CP_MOM,CP_S,CP_V,CP_LV
2005-09-02,-0.012150116849179363,0.006406047265847287,0.00029273784457473084,-0.017028162534071304,-0.012533092029535998,0.014268362473150522,4.0,2.0,3.0,6.0,5.0,1.0,CP_V,CP_LV,CP_MOM,CP_G,CP_S,CP_Q
2005-09-09,-0.0022260984177609883,0.004833517597916608,0.008949112689151661,3.1898779790762166e-05,-0.010649263851631143,0.010211844922541156,5.0,3.0,2.0,4.0,6.0,1.0,CP_V,CP_MOM,CP_LV,CP_Q,CP_G,CP_S
2005-09-16,0.017448598975315692,-0.02093742747898572,0.02506413033916033,-0.0037711925475089683,0.02361158792896626,-0.015265166016841504,3.0,6.0,1.0,4.0,2.0,5.0,CP_MOM,CP_S,CP_G,CP_Q,CP_V,CP_LV
2005-09-23,-7.59659006315111e-05,-0.019550264073320882,-0.015204924304271117,-0.002556132292947502,0.02874200174835725,0.012669456418170112,3.0,6.0,5.0,4.0,1.0,2.0,CP_S,CP_V,CP_G,CP_Q,CP_MOM,CP_LV
2005-09-30,0.009260612672340927,-0.00983008325636161,-0.02090029976887198,-0.02065588161730986,0.043472174337537556,0.005933426208151826,2.0,4.0,6.0,5.0,1.0,3.0,CP_S,CP_G,CP_V,CP_LV,CP_Q,CP_MOM
2005-10-07,-0.02451487200988385,0.022542038820993315,-0.03949960055461182,-0.004401777254524411,0.02967134538429001,0.014012133874094918,5.0,2.0,6.0,4.0,1.0,3.0,CP_S,CP_LV,CP_V,CP_Q,CP_G,CP_MOM
2005-10-14,0.008386357436673,0.006789199987118454,0.005245549899090322,-0.00800491786241287,-0.015114148932976955,-0.017651426811086928,1.0,2.0,3.0,4.0,5.0,6.0,CP_G,CP_LV,CP_MOM,CP_Q,CP_S,CP_V
2005-10-21,-0.015205676786090232,0.010637796626617322,0.005139024564414285,0.0066878601839979665,0.008928448149211496,0.02243513769817428,6.0,2.0,5.0,4.0,3.0,1.0,CP_V,CP_LV,CP_S,CP_Q,CP_MOM,CP_G
2005-10-28,0.012141306019461184,-0.03267943454333223,0.004226399680192117,0.020152100943960246,-0.013131241609683236,-0.046155809109115,2.0,5.0,3.0,1.0,4.0,6.0,CP_Q,CP_G,CP_MOM,CP_S,CP_LV,CP_V
2005-11-04,0.011101807987030879,0.0007952430917682191,0.04498274202623795,-0.03341701273486744,-0.011069257245757257,-0.011083615635979479,2.0,3.0,1.0,6.0,4.0,5.0,CP_MOM,CP_G,CP_LV,CP_S,CP_V,CP_Q
2005-11-11,0.01773303274351817,-0.030744769196742433,0.0360350270930212,-0.0036326981234458926,0.011404054099693896,-0.03291651937060879,2.0,5.0,1.0,4.0,3.0,6.0,CP_MOM,CP_G,CP_S,CP_Q,CP_LV,CP_V
2005-11-18,0.0027157020186468067,0.00224309241434989,0.03721440854133107,-0.01592641156324643,0.01813555314348867,-0.01902111278357521,3.0,4.0,1.0,5.0,2.0,6.0,CP_MOM,CP_S,CP_G,CP_LV,CP_Q,CP_V
2005-11-25,0.049369841310320996,-0.022372534573794556,-0.0058628563238016795,-0.0035348714313517167,0.012408149749255526,-0.00814466990167433,1.0,6.0,4.0,3.0,2.0,5.0,CP_G,CP_S,CP_Q,CP_MOM,CP_V,CP_LV
2005-12-02,-0.01697836851235479,0.011359092313796282,0.00984927301396965,-0.0007053061155602336,-0.03917343933672572,-0.004783086675366565,5.0,1.0,2.0,3.0,6.0,4.0,CP_LV,CP_MOM,CP_Q,CP_V,CP_G,CP_S
2005-12-09,0.007047600622193588,0.004187665324514875,0.024478316852764692,-0.014998375973664223,-0.025223920612524337,-0.005091455889771045,2.0,3.0,1.0,5.0,6.0,4.0,CP_MOM,CP_G,CP_LV,CP_V,CP_Q,CP_S
2005-12-16,-0.014759212615899742,0.03557083432634289,0.003995052316895453,0.004157264699460939,-0.0405821387620213,-0.005207914113866871,5.0,1.0,3.0,2.0,6.0,4.0,CP_LV,CP_Q,CP_MOM,CP_V,CP_G,CP_S
2005-12-23,0.030334037312790378,-0.03508576968541512,0.06714594329241663,-0.009966789226746185,-0.0263706901218169,-0.05342197884663435,2.0,5.0,1.0,3.0,4.0,6.0,CP_MOM,CP_G,CP_Q,CP_S,CP_LV,CP_V
2005-12-29,-0.027117950881321757,-0.019580442739877472,-0.051416821814200375,-0.021289935926658666,0.0038226916098430992,-0.005330460852322475,5.0,3.0,6.0,4.0,1.0,2.0,CP_S,CP_V,CP_LV,CP_Q,CP_G,CP_MOM
2006-01-06,-0.014573805091270016,-0.004921010216548257,-0.02559440523327794,-0.006093192033729225,-0.002938562683112017,0.017849479576883216,5.0,3.0,6.0,4.0,2.0,1.0,CP_V,CP_S,CP_LV,CP_Q,CP_G,CP_MOM
2006-01-13,-0.08052099139851361,0.17412312162485374,-0.02821505907922983,0.06759219738130605,-0.049358495186562795,0.0738076350981525,6.0,1.0,4.0,3.0,5.0,2.0,CP_LV,CP_V,CP_Q,CP_MOM,CP_S,CP_G
2006-01-20,0.07280821331054532,-0.14706881485037104,0.02640497632091865,-0.0467578444687161,0.01958364952764842,-0.06370073444365212,1.0,6.0,2.0,4.0,3.0,5.0,CP_G,CP_MOM,CP_S,CP_Q,CP_V,CP_LV
2006-01-27,-0.02206967081786749,0.03839020573760389,-0.059100099198985845,0.023889787038190224,0.0013466672742541777,0.00446049697541942,5.0,1.0,6.0,2.0,4.0,3.0,CP_LV,CP_Q,CP_V,CP_S,CP_G,CP_MOM
2006-02-03,0.02866332590544842,-0.022041737518271397,-0.04228747859087889,-0.00450683626934092,0.04161826490056214,0.005791062229030506,2.0,5.0,6.0,4.0,1.0,3.0,CP_S,CP_G,CP_V,CP_Q,CP_LV,CP_MOM
2006-02-10,-0.01768894646039161,-0.01951653456152385,0.047159830213786336,-0.017434932680831093,-0.01869608711541644,0.004357742582214996,4.0,6.0,1.0,3.0,5.0,2.0,CP_MOM,CP_V,CP_Q,CP_G,CP_S,CP_LV
2006-02-17,0.015445328904136729,-0.034953988866603794,0.007814164244337007,-0.020813742862464707,-0.00948852788893256,-0.012558357619370023,1.0,6.0,2.0,5.0,3.0,4.0,CP_G,CP_MOM,CP_S,CP_V,CP_Q,CP_LV
2006-02-24,-0.0026532240764831627,0.021453524873899874,0.0029216021366958184,0.013487895801816075,0.010575355513632964,0.005286663563068337,6.0,1.0,5.0,2.0,3.0,4.0,CP_LV,CP_Q,CP_S,CP_V,CP_MOM,CP_G
2006-03-03,-0.000712442536558113,-0.017714810783385958,-0.0018396784325886983,-0.024728371071835335,-0.012896815777075157,0.0018708611615390206,2.0,5.0,3.0,6.0,4.0,1.0,CP_V,CP_G,CP_MOM,CP_S,CP_LV,CP_Q
2006-03-10,-0.017887452618885493,0.033951096505747604,-0.01515105174797954,-0.008991288431523154,-0.010985183402715223,0.028207986984246723,6.0,1.0,5.0,3.0,4.0,2.0,CP_LV,CP_V,CP_Q,CP_S,CP_MOM,CP_G
2006-03-17,-0.014181199979502708,0.040264425514662264,0.011997869863989763,0.0006720586718044815,-0.0051839784632172845,0.012318457758131748,6.0,1.0,3.0,4.0,5.0,2.0,CP_LV,CP_V,CP_MOM,CP_Q,CP_S,CP_G
2006-03-24,0.03177410949720069,-0.041831866424555594,-0.013694342225790024,-0.012825019657611847,-0.01102354742218254,-0.014815380193370704,1.0,6.0,4.0,3.0,2.0,5.0,CP_G,CP_S,CP_Q,CP_MOM,CP_V,CP_LV
2006-03-31,0.014551091834437101,-0.02157780834312973,-0.0065167664470209274,-0.009312949431525757,-0.0036225112923073434,-0.0068399385568530605,1.0,6.0,3.0,5.0,2.0,4.0,CP_G,CP_S,CP_MOM,CP_V,CP_Q,CP_LV
2006-04-07,0.009646136285166959,-0.02115415315179989,0.003421679684834089,-0.010527293127998395,0.0037139766057258244,0.013937907972846362,2.0,6.0,4.0,5.0,3.0,1.0,CP_V,CP_G,CP_S,CP_MOM,CP_Q,CP_LV
2006-04-14,-0.0087657167785801,0.011467833558886593,0.02475948782375781,-0.002886111724005151,-0.026077738648572407,0.0034617790830502263,5.0,2.0,1.0,4.0,6.0,3.0,CP_MOM,CP_LV,CP_V,CP_Q,CP_G,CP_S
2006-04-21,-0.02694692066637799,0.020249875311767966,0.016827499406645074,0.006714798685010542,-0.025591690155382853,0.01286236279201312,6.0,1.0,2.0,4.0,5.0,3.0,CP_LV,CP_MOM,CP_V,CP_Q,CP_S,CP_G
2006-04-28,-0.007044495503912319,0.017063482477555448,0.01510417356621474,-0.009465279151135902,-0.021383182239140187,0.013465623433391253,4.0,1.0,2.0,5.0,6.0,3.0,CP_LV,CP_MOM,CP_V,CP_G,CP_Q,CP_S
2006-05-04,0.017958696943479686,-0.012423233619439557,-0.0013606376887764782,0.0016260446320272622,0.0396708566960032,0.014309606734119976,2.0,6.0,5.0,4.0,1.0,3.0,CP_S,CP_G,CP_V,CP_Q,CP_MOM,CP_LV
2006-05-12,-0.013275697029062672,0.04172783168420816,-0.05537654696672689,0.038784037472023705,0.014983895084834803,0.019496261699047557,5.0,1.0,6.0,2.0,4.0,3.0,CP_LV,CP_Q,CP_V,CP_S,CP_G,CP_MOM
2006-05-19,0.007037006611080497,0.004031605444285574,0.012007140532659832,-0.00017080664993492783,-0.01463967504748849,-0.00038363557735768446,2.0,3.0,1.0,4.0,6.0,5.0,CP_MOM,CP_G,CP_LV,CP_Q,CP_V,CP_S
2006-05-26,-0.020472213184004835,0.05428606903208701,0.018370948106166907,0.022116465486402885,-0.04863401712623962,0.001607006362987981,5.0,1.0,3.0,2.0,6.0,4.0,CP_LV,CP_Q,CP_MOM,CP_V,CP_G,CP_S
2006-06-02,-0.003716306358110162,-0.014915983852256828,-0.02512038915301673,-0.008375400513874011,0.007168922302271449,0.004500892557219041,3.0,5.0,6.0,4.0,1.0,2.0,CP_S,CP_V,CP_G,CP_Q,CP_LV,CP_MOM
2006-06-09,-0.006601893235739244,0.011078837836653664,0.024867933942005038,0.004657378618435275,-0.013931343271119048,0.007237932919600948,5.0,2.0,1.0,4.0,6.0,3.0,CP_MOM,CP_LV,CP_V,CP_Q,CP_G,CP_S
2006-06-16,-0.000605696308597619,0.02918294036010308,-0.02057684250052482,0.013577186712322414,0.00212529452288273,0.008910221206100626,5.0,1.0,6.0,2.0,4.0,3.0,CP_LV,CP_Q,CP_V,CP_S,CP_G,CP_MOM
2006-06-23,0.005195295716654148,-0.06511962074272112,0.026152836043338262,-0.005391806418727246,-0.0021890181033357783,-0.012579355453767004,2.0,6.0,1.0,4.0,3.0,5.0,CP_MOM,CP_G,CP_S,CP_Q,CP_V,CP_LV
2006-06-30,-0.021628151576984306,0.023182025468541364,0.03278284326943597,0.009709887439385056,-0.027098170698578047,-0.0067550815506062165,5.0,2.0,1.0,3.0,6.0,4.0,CP_MOM,CP_LV,CP_Q,CP_V,CP_G,CP_S
2006-07-07,0.005456834301060323,0.018601383837504364,-0.020567358520841503,-0.011594751699003161,0.011602236169644377,-0.004083118449178996,3.0,1.0,6.0,5.0,2.0,4.0,CP_LV,CP_S,CP_G,CP_V,CP_Q,CP_MOM
2006-07-14,-0.011512306817880302,-0.005216831574216485,0.018755450273271308,0.0024501751692293846,-0.026351639150754745,0.002881788181095215,5.0,4.0,1.0,3.0,6.0,2.0,CP_MOM,CP_V,CP_Q,CP_LV,CP_G,CP_S
