date,risk_regime,regime_name,prob_stable,prob_normal,prob_crisis
2020-01-02,1,안정(Risk-On),0.9999996810425327,3.1895755747467035e-07,1.4388531732921841e-15
2020-01-03,1,안정(Risk-On),0.9999889933179491,1.1006682016759333e-05,5.033891591878436e-15
2020-01-06,1,안정(Risk-On),0.9999935922781538,6.407721696733311e-06,5.1875666433671814e-14
2020-01-07,1,안정(Risk-On),0.9999975499375069,2.4500624440100587e-06,4.752361851038111e-15
2020-01-08,1,안정(Risk-On),0.9999994526241741,5.473759145205768e-07,1.4723213378649573e-16
2020-01-09,1,안정(Risk-On),0.9999999374110777,6.258898229771088e-08,1.8390943399882743e-16
2020-01-10,1,안정(Risk-On),0.9999996402014596,3.597984407843155e-07,3.4458033420310105e-18
2020-01-13,1,안정(Risk-On),0.9999999398198742,6.01801595790088e-08,5.0636745924041616e-17
2020-01-14,1,안정(Risk-On),0.9999998494804572,1.5051945743695596e-07,6.056394217008321e-18
2020-01-15,1,안정(Risk-On),0.9999998854848465,1.1451519464190888e-07,3.263199042178937e-18
2020-01-16,1,안정(Risk-On),0.9999999754136301,2.458634588797317e-08,9.216724224442167e-19
2020-01-17,1,안정(Risk-On),0.999999992767016,7.232926320817544e-09,4.35617044765088e-19
2020-01-20,1,안정(Risk-On),0.999999989695425,1.0304663176640683e-08,1.893794236415732e-18
2020-01-21,1,안정(Risk-On),0.9999998216840299,1.7831607690774277e-07,9.95085561700944e-18
2020-01-22,1,안정(Risk-On),0.9999993031090225,6.968909486460892e-07,6.965518943824229e-14
2020-01-23,1,안정(Risk-On),0.99969420557502,0.00030579437422338776,5.0746400757578096e-11
2020-01-28,1,안정(Risk-On),0.9236762621999497,0.07632372731572978,1.0484433709046061e-08
2020-01-29,1,안정(Risk-On),0.6928478652804674,0.30714978094621337,2.3537734094414937e-06
2020-01-30,0,평범(Neutral),0.42172912097627707,0.5782610738944686,9.805129201083197e-06
2020-01-31,0,평범(Neutral),0.1701750759561148,0.8297935347136333,3.1389330307672754e-05
2020-02-03,0,평범(Neutral),0.1825887851282842,0.8173999722948752,1.1242576766907424e-05
2020-02-04,1,안정(Risk-On),0.7691236675077554,0.23087614305345944,1.8943885572610598e-07
2020-02-05,1,안정(Risk-On),0.9945371703175627,0.005462824615520919,5.066888566698006e-09
2020-02-06,1,안정(Risk-On),0.9999329860993278,6.701147094684558e-05,2.42964221799409e-09
2020-02-07,1,안정(Risk-On),0.9997611001597626,0.0002388997239124725,1.1640965922935841e-10
2020-02-10,1,안정(Risk-On),0.9998479390715437,0.00015206091764968828,1.0888348908158661e-11
2020-02-11,1,안정(Risk-On),0.9999940901502223,5.909848369638445e-06,1.3588668174281488e-12
2020-02-12,1,안정(Risk-On),0.9999948799174144,5.12008238664425e-06,2.082345376934159e-13
2020-02-13,1,안정(Risk-On),0.9999806925433763,1.9307456594937837e-05,9.783443596511545e-14
2020-02-14,1,안정(Risk-On),0.9999941171616009,5.882838085109468e-06,3.8616487128834424e-13
2020-02-17,1,안정(Risk-On),0.999990310067114,9.689926300394229e-06,6.605477464235898e-12
2020-02-18,1,안정(Risk-On),0.9994437794596329,0.0005562201351127266,4.0536431168165245e-10
2020-02-19,1,안정(Risk-On),0.987421546471996,0.01257827284127166,1.8068673465855715e-07
2020-02-20,1,안정(Risk-On),0.8069553465863912,0.1930015477379015,4.3105675805341926e-05
2020-02-21,0,평범(Neutral),0.0019400888275532464,0.9873487370137812,0.010711174158706059
2020-02-24,-1,위기(Risk-Off),4.532638018352905e-13,0.02963508513244103,0.9703649148669955
2020-02-25,-1,위기(Risk-Off),3.763554385291115e-21,1.312223944256893e-06,0.9999986877759935
2020-02-26,-1,위기(Risk-Off),9.319983394925565e-29,8.237206034371552e-08,0.9999999176279778
2020-02-27,-1,위기(Risk-Off),7.05487937980716e-39,2.026741374325947e-13,0.9999999999997726
2020-02-28,-1,위기(Risk-Off),3.983695811436234e-50,1.2707063728286461e-17,1.0
2020-03-02,-1,위기(Risk-Off),6.034953208555751e-44,1.5259156672863806e-11,0.999999999984766
2020-03-03,-1,위기(Risk-Off),1.0555410768127892e-32,4.4866265978320195e-10,0.9999999995513917
2020-03-04,-1,위기(Risk-Off),4.032369435184487e-31,3.2392703821628655e-07,0.9999996760730553
2020-03-05,-1,위기(Risk-Off),5.236018320072784e-37,1.4065143739735377e-12,0.9999999999986358
2020-03-06,-1,위기(Risk-Off),5.46208611852068e-56,5.73906713237951e-22,1.0
2020-03-09,-1,위기(Risk-Off),1.2194429157511533e-75,1.845589062702162e-29,1.0
2020-03-10,-1,위기(Risk-Off),7.799500279982113e-80,5.050542070574599e-27,1.0
2020-03-11,-1,위기(Risk-Off),8.79166583650332e-79,4.817963505388257e-28,1.0
2020-03-12,-1,위기(Risk-Off),9.996103643952893e-76,4.704864629718627e-25,1.0
2020-03-13,-1,위기(Risk-Off),1.9753164100286468e-72,7.859343308582693e-25,1.0
2020-03-16,-1,위기(Risk-Off),3.291986187557963e-74,2.718826688291336e-26,1.0
2020-03-17,-1,위기(Risk-Off),2.5185485468098367e-76,8.98960072487836e-27,1.0
2020-03-18,-1,위기(Risk-Off),3.7900342725997817e-84,3.184800988206867e-32,1.0
2020-03-19,-1,위기(Risk-Off),7.991557640911567e-80,5.403638659131614e-25,1.0
2020-03-20,-1,위기(Risk-Off),2.5384638632548147e-72,8.528709491348226e-25,1.0
2020-03-23,-1,위기(Risk-Off),1.7817994165899566e-70,1.336650425652569e-23,1.0
2020-03-24,-1,위기(Risk-Off),7.31469388988171e-61,1.2387043118615547e-17,1.0
2020-03-25,-1,위기(Risk-Off),3.195731158876965e-49,9.069388993866715e-14,1.0
2020-03-26,-1,위기(Risk-Off),1.1898187766968266e-45,5.809842452278698e-14,1.0
2020-03-27,-1,위기(Risk-Off),2.112728799013806e-47,5.073649808406779e-15,1.0
2020-03-30,-1,위기(Risk-Off),2.895276035908497e-45,2.600364934914243e-13,0.9999999999997726
2020-03-31,-1,위기(Risk-Off),3.016101496665563e-41,2.1690842225092385e-11,0.9999999999783995
2020-04-01,-1,위기(Risk-Off),1.660580327074051e-41,3.592365419629689e-13,0.9999999999995453
2020-04-02,-1,위기(Risk-Off),1.8126056024710482e-40,1.678135928073619e-11,0.9999999999831743
2020-04-03,-1,위기(Risk-Off),3.5200794857980755e-35,3.561064010420588e-11,0.9999999999643023
2020-04-06,-1,위기(Risk-Off),1.0085746920591992e-28,5.367439558963017e-08,0.9999999463257169
2020-04-07,-1,위기(Risk-Off),3.878528171490176e-24,5.163910055511728e-07,0.9999994836090506
2020-04-08,-1,위기(Risk-Off),3.1010681453789154e-22,2.6617436759558007e-07,0.9999997338257244
2020-04-09,-1,위기(Risk-Off),7.556163451373949e-20,7.195550752454482e-06,0.9999928044491883
2020-04-10,-1,위기(Risk-Off),5.0725957470889065e-18,9.318698400150112e-06,0.9999906813015879
2020-04-13,-1,위기(Risk-Off),6.561997190580404e-17,1.4909161087676983e-05,0.9999850908388477
2020-04-14,-1,위기(Risk-Off),2.1909166206225122e-16,7.457658075632935e-05,0.9999254234191635
2020-04-16,-1,위기(Risk-Off),9.216896692619653e-17,6.4922551711632594e-06,0.9999935077448044
2020-04-17,-1,위기(Risk-Off),1.633268979360755e-17,7.396899134805784e-05,0.9999260310085799
2020-04-20,-1,위기(Risk-Off),3.9979305692589094e-21,1.0836092905741813e-06,0.999998916390628
2020-04-21,-1,위기(Risk-Off),7.946717847233629e-24,6.630650664498125e-08,0.9999999336935184
2020-04-22,-1,위기(Risk-Off),4.0855498135229324e-23,9.386757733788379e-07,0.9999990613241465
2020-04-23,-1,위기(Risk-Off),4.445339346525998e-21,7.907042467668259e-07,0.9999992092958507
2020-04-24,-1,위기(Risk-Off),3.9772575290366493e-19,8.454987087669701e-06,0.999991545012836
2020-04-27,-1,위기(Risk-Off),3.0975963051560685e-17,1.2389079728364711e-05,0.9999876109203636
2020-04-28,-1,위기(Risk-Off),2.250649380416358e-15,5.107680835395829e-05,0.9999489231916178
2020-04-29,-1,위기(Risk-Off),8.57410556410364e-13,0.0008941988823721706,0.9991058011168009
2020-05-04,-1,위기(Risk-Off),3.2968928408585035e-11,0.002991664849499592,0.9970083351174863
2020-05-06,-1,위기(Risk-Off),5.974072539611258e-11,0.007501753519807892,0.9924982464205493
2020-05-07,-1,위기(Risk-Off),1.1591734432913903e-10,0.030293885595374347,0.9697061142886755
2020-05-08,-1,위기(Risk-Off),5.747393415583396e-09,0.18734222452976268,0.8126577697227518
2020-05-11,-1,위기(Risk-Off),1.2156471821910008e-07,0.319499764329453,0.6805001141058583
2020-05-12,-1,위기(Risk-Off),3.454174714020784e-08,0.36552709800565786,0.634472867452626
2020-05-13,-1,위기(Risk-Off),1.4247165864929852e-08,0.4259293204416215,0.5740706653111862
2020-05-14,-1,위기(Risk-Off),5.2217118998930494e-08,0.6135291083220431,0.3864708394607809
2020-05-15,0,평범(Neutral),1.8081091315074165e-07,0.8353123322462063,0.16468748694282687
2020-05-18,0,평범(Neutral),2.410971790919425e-06,0.9737433055692171,0.026254283458938203
2020-05-19,0,평범(Neutral),3.95346042823458e-06,0.9962780106293971,0.003718035910145722
2020-05-20,0,평범(Neutral),4.8953835991124064e-06,0.9994158286378156,0.0005792759785479765
2020-05-21,0,평범(Neutral),3.0855648005838657e-06,0.9997935577982195,0.00020335663693798266
2020-05-22,0,평범(Neutral),2.4931156339696217e-06,0.9998430604390858,0.00015444644528127087
2020-05-25,0,평범(Neutral),3.113977263667409e-06,0.9998711633367,0.00012572268599925907
2020-05-26,0,평범(Neutral),7.15333995412517e-06,0.9999097256347643,8.31210252729522e-05
2020-05-27,0,평범(Neutral),1.8333658135325845e-05,0.9999252701943883,5.639614742480367e-05
2020-05-28,0,평범(Neutral),3.992376800020682e-05,0.9999156381741494,4.44380577385271e-05
2020-05-29,0,평범(Neutral),1.9930156763299923e-05,0.9999265982818325,5.347156150398969e-05
2020-06-01,0,평범(Neutral),1.2930769781110982e-05,0.9999255791446592,6.149008559932316e-05
2020-06-02,0,평범(Neutral),5.83239707638613e-05,0.9998981337987981,4.354223052432631e-05
2020-06-03,0,평범(Neutral),0.0003444464222215324,0.9996221127387285,3.3440839113452935e-05
2020-06-04,0,평범(Neutral),8.607047001318626e-05,0.9998611335746854,5.279595524063011e-05
2020-06-05,0,평범(Neutral),0.0016265018877554896,0.9983397363140043,3.3761798133864904e-05
2020-06-08,0,평범(Neutral),0.001470854487314176,0.9984943410190928,3.480449349302575e-05
2020-06-09,0,평범(Neutral),2.1145011821805133e-05,0.9998957837029437,8.307128526071454e-05
2020-06-10,0,평범(Neutral),6.945194845328483e-05,0.9998458658397591,8.468221186511534e-05
2020-06-11,0,평범(Neutral),2.1293788060769896e-07,0.9992222823245259,0.0007775047375414014
2020-06-12,0,평범(Neutral),5.501926888138948e-07,0.9994613866409456,0.0005380631663535249
2020-06-15,0,평범(Neutral),2.836306195339554e-06,0.9998044109649438,0.00019275272894968753
2020-06-16,0,평범(Neutral),6.394374334280883e-06,0.9998936217581647,9.998386743629949e-05
2020-06-17,0,평범(Neutral),6.435507177192038e-06,0.9998859066500941,0.00010765784273786519
2020-06-18,0,평범(Neutral),8.500970796326725e-07,0.9997272754838266,0.0002718744190005901
2020-06-19,0,평범(Neutral),1.2593595661773814e-06,0.9997546423273229,0.00024409831311887742
2020-06-22,0,평범(Neutral),1.994226588347193e-06,0.9998144699163388,0.00018353585711519126
2020-06-23,0,평범(Neutral),2.272679241780567e-06,0.9998475182158054,0.00015020910490992864
2020-06-24,0,평범(Neutral),1.0600335531347396e-05,0.9999101375400987,7.926212438100238e-05
2020-06-25,0,평범(Neutral),3.916054715649515e-06,0.9998831769500571,0.00011290699531742053
2020-06-26,0,평범(Neutral),2.5038772299960254e-06,0.999845453063823,0.00015204305902626053
2020-06-29,0,평범(Neutral),1.1409333077518813e-06,0.9997936335648596,0.00020522550177230582
2020-06-30,0,평범(Neutral),1.2893461749323222e-05,0.9999132370166531,7.386952150239581e-05
2020-07-01,0,평범(Neutral),2.0522007996821786e-05,0.9999254064701749,5.407152180621974e-05
2020-07-02,0,평범(Neutral),2.2041824016666378e-05,0.9999264263674539,5.153180858478301e-05
2020-07-03,0,평범(Neutral),2.7826420860591966e-05,0.9999239653274787,4.820825157795007e-05
2020-07-06,0,평범(Neutral),2.8111279343868047e-05,0.9999226537425354,4.923497822888059e-05
2020-07-07,0,평범(Neutral),7.876493007118567e-06,0.9999189883803208,7.313512670150851e-05
2020-07-08,0,평범(Neutral),3.609589348306959e-05,0.9999173772110941,4.652689549012816e-05
2020-07-09,0,평범(Neutral),1.722982262963687e-05,0.9999274507995026,5.531937788655949e-05
2020-07-10,0,평범(Neutral),3.9852477344717245e-05,0.9999160601648682,4.408735770887087e-05
2020-07-13,0,평범(Neutral),3.541714858248554e-05,0.9999190306313402,4.555222000111845e-05
2020-07-14,0,평범(Neutral),7.152419874213167e-05,0.9998832505038987,4.522529743553981e-05
2020-07-15,0,평범(Neutral),0.0008619122383197424,0.999105102290819,3.2985470912864276e-05
2020-07-16,0,평범(Neutral),0.00036115372075750014,0.9996048829183312,3.396336091454082e-05
2020-07-17,0,평범(Neutral),0.00023353019055114363,0.9997249802296545,4.148957972943241e-05
2020-07-20,0,평범(Neutral),0.002070455257918222,0.9978949217478689,3.46229941883554e-05
2020-07-21,0,평범(Neutral),0.0010924306970740494,0.9988750959988526,3.2473304173806394e-05
2020-07-22,0,평범(Neutral),0.0008990831518315168,0.9990683960124023,3.2520835690752303e-05
2020-07-23,0,평범(Neutral),7.010082793331661e-05,0.9998824887787675,4.7410393403001556e-05
2020-07-24,0,평범(Neutral),0.00018445413178235686,0.9997812295950287,3.4316273123340474e-05
2020-07-27,0,평범(Neutral),0.0001709305296531627,0.9997945961934168,3.447327692754584e-05
2020-07-28,0,평범(Neutral),0.00012040945530753816,0.9998402286139975,3.936193071831881e-05
