recv_ts,event_type,code,quote_time,signal,alert,alert_ts,hard_ok,veto_reason,inav,nav_fid_used,ask1,bid1,ask_qty1,bid_qty1,ask2,bid2,ask_qty2,bid_qty2,ask3,bid3,ask_qty3,bid_qty3,ask4,bid4,ask_qty4,bid_qty4,ask5,bid5,ask_qty5,bid_qty5,ask6,bid6,ask_qty6,bid_qty6,ask7,bid7,ask_qty7,bid_qty7,ask8,bid8,ask_qty8,bid_qty8,ask9,bid9,ask_qty9,bid_qty9,ask10,bid10,ask_qty10,bid_qty10,mid,micro,spread,spread_bps,discount_bps,executable_edge_bps,inav_velocity_bps,inav_accel_bps,ofi1,ofi_norm,depth_imbalance,depth_to_inav,ask_retreat,quote_lag_bps,alpha_score,raw_values_json
2026-05-21T11:39:22.038,0D,364690,113921,HOLD,0,,0,spread_veto,44270.06,,44300.0,44145.0,8000,5000,44305.0,44140.0,5000,5000,44310.0,44135.0,11997,5000,44315.0,44130.0,5000,5000,44320.0,44125.0,5000,5000,45895.0,43850.0,98,5000,,43805.0,0,4,,43785.0,0,1,,43735.0,0,7,,43545.0,0,1,44222.5,44204.61538461538,155.0,35.050031092769515,14.783041944062136,-9.763035785359751,0.0,0.0,0.0,0.0,-0.24994374578093356,0,0.0,0.0,-3.8469418498861736,"{""21"":""113921"",""41"":""+44300"",""61"":""8000"",""81"":""0"",""51"":""+44145"",""71"":""5000"",""91"":""0"",""42"":""+44305"",""62"":""5000"",""82"":""0"",""52"":""+44140"",""72"":""5000"",""92"":""0"",""43"":""+44310"",""63"":""11997"",""83"":""0"",""53"":""+44135"",""73"":""5000"",""93"":""0"",""44"":""+44315"",""64"":""5000"",""84"":""0"",""54"":""+44130"",""74"":""5000"",""94"":""0"",""45"":""+44320"",""65"":""5000"",""85"":""0"",""55"":""+44125"",""75"":""5000"",""95"":""0"",""46"":""+45895"",""66"":""98"",""86"":""0"",""56"":""+43850"",""76"":""5000"",""96"":""0"",""47"":""-0"",""67"":""0"",""87"":""0"",""57"":""+43805"",""77"":""4"",""97"":""0"",""48"":""-0"",""68"":""0"",""88"":""0"",""58"":""+43785"",""78"":""1"",""98"":""0"",""49"":""-0"",""69"":""0"",""89"":""0"",""59"":""+43735"",""79"":""7"",""99"":""0"",""50"":""-0"",""70"":""0"",""90"":""0"",""60"":""+43545"",""80"":""1"",""100"":""0"",""121"":""35095"",""122"":""0"",""125"":""30013"",""126"":""0"",""23"":""+42570"",""24"":""30"",""128"":""-5082"",""129"":""85.52"",""138"":""+5082"",""139"":""116.93"",""200"":""+1405"",""201"":""+3.41"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44222"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+3057"",""6111"":""2"",""6112"":""+7.43"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
2026-05-21T11:39:22.239,0D,364690,113921,HOLD,0,,0,spread_veto,44270.06,,44300.0,44165.0,8000,4000,44305.0,44145.0,5000,5000,44310.0,44140.0,11997,5000,44315.0,44135.0,5000,5000,44320.0,44130.0,5000,5000,45895.0,44125.0,98,5000,,43850.0,0,5000,,43805.0,0,4,,43785.0,0,1,,43735.0,0,7,44232.5,44210.0,135.0,30.520544848245066,13.56673110449764,-9.763035785359751,0.0,0.0,4000.0,0.10257199271738851,-0.2819960509782804,0,0.0,0.0,-2.96958182677458,"{""21"":""113921"",""41"":""+44300"",""61"":""8000"",""81"":""0"",""51"":""+44165"",""71"":""4000"",""91"":""0"",""42"":""+44305"",""62"":""5000"",""82"":""0"",""52"":""+44145"",""72"":""5000"",""92"":""0"",""43"":""+44310"",""63"":""11997"",""83"":""0"",""53"":""+44140"",""73"":""5000"",""93"":""0"",""44"":""+44315"",""64"":""5000"",""84"":""0"",""54"":""+44135"",""74"":""5000"",""94"":""0"",""45"":""+44320"",""65"":""5000"",""85"":""0"",""55"":""+44130"",""75"":""5000"",""95"":""0"",""46"":""+45895"",""66"":""98"",""86"":""0"",""56"":""+44125"",""76"":""5000"",""96"":""0"",""47"":""-0"",""67"":""0"",""87"":""0"",""57"":""+43850"",""77"":""5000"",""97"":""0"",""48"":""-0"",""68"":""0"",""88"":""0"",""58"":""+43805"",""78"":""4"",""98"":""0"",""49"":""-0"",""69"":""0"",""89"":""0"",""59"":""+43785"",""79"":""1"",""99"":""0"",""50"":""-0"",""70"":""0"",""90"":""0"",""60"":""+43735"",""80"":""7"",""100"":""0"",""121"":""35095"",""122"":""0"",""125"":""34012"",""126"":""+3999"",""23"":""+42570"",""24"":""30"",""128"":""-1083"",""129"":""96.91"",""138"":""+1083"",""139"":""103.18"",""200"":""+1405"",""201"":""+3.41"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44232"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+3067"",""6111"":""2"",""6112"":""+7.45"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
2026-05-21T11:39:22.529,0D,364690,113921,HOLD,0,,0,spread_veto,44270.06,,44295.0,44165.0,5000,4000,44300.0,44140.0,8000,5000,44305.0,44135.0,5000,5000,44310.0,44130.0,11997,5000,44315.0,44125.0,5000,5000,45895.0,44120.0,98,5000,,43850.0,0,5000,,43805.0,0,4,,43785.0,0,1,,43735.0,0,7,44230.0,44222.77777777778,130.0,29.391815509834952,10.680406175689996,-8.633604291478786,0.0,0.0,-5000.0,-0.15625,-0.125,0,0.0,0.0,-4.85679246112491,"{""21"":""113921"",""41"":""+44295"",""61"":""5000"",""81"":""0"",""51"":""+44165"",""71"":""4000"",""91"":""0"",""42"":""+44300"",""62"":""8000"",""82"":""0"",""52"":""+44140"",""72"":""5000"",""92"":""0"",""43"":""+44305"",""63"":""5000"",""83"":""0"",""53"":""+44135"",""73"":""5000"",""93"":""0"",""44"":""+44310"",""64"":""11997"",""84"":""0"",""54"":""+44130"",""74"":""5000"",""94"":""0"",""45"":""+44315"",""65"":""5000"",""85"":""0"",""55"":""+44125"",""75"":""5000"",""95"":""0"",""46"":""+45895"",""66"":""98"",""86"":""0"",""56"":""+44120"",""76"":""5000"",""96"":""0"",""47"":""-0"",""67"":""0"",""87"":""0"",""57"":""+43850"",""77"":""5000"",""97"":""0"",""48"":""-0"",""68"":""0"",""88"":""0"",""58"":""+43805"",""78"":""4"",""98"":""0"",""49"":""-0"",""69"":""0"",""89"":""0"",""59"":""+43785"",""79"":""1"",""99"":""0"",""50"":""-0"",""70"":""0"",""90"":""0"",""60"":""+43735"",""80"":""7"",""100"":""0"",""121"":""35095"",""122"":""0"",""125"":""34012"",""126"":""0"",""23"":""+42570"",""24"":""30"",""128"":""-1083"",""129"":""96.91"",""138"":""+1083"",""139"":""103.18"",""200"":""+1405"",""201"":""+3.41"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44230"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+3065"",""6111"":""2"",""6112"":""+7.45"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
2026-05-21T11:39:22.529,0D,457990,113921,WATCH,0,,1,,44105.88,,44105.0,44080.0,2,238,44110.0,44075.0,1,20,44115.0,44060.0,2,10,44125.0,44055.0,1996,5,44135.0,44050.0,5000,6,44150.0,44035.0,5000,3,44190.0,44030.0,3,5005,44200.0,44020.0,10,704,44210.0,44010.0,10,2,44220.0,44000.0,10,13,44092.5,44104.791666666664,25.0,5.669898508816692,0.24675470330330998,-2.8004801173908374,0.0,0.0,0.0,0.0,0.9633699633699634,2,0.0,0.19951988260916245,-0.5707219980336062,"{""21"":""113921"",""41"":""+44105"",""61"":""2"",""81"":""0"",""51"":""+44080"",""71"":""238"",""91"":""0"",""42"":""+44110"",""62"":""1"",""82"":""0"",""52"":""+44075"",""72"":""20"",""92"":""0"",""43"":""+44115"",""63"":""2"",""83"":""0"",""53"":""+44060"",""73"":""10"",""93"":""0"",""44"":""+44125"",""64"":""1996"",""84"":""0"",""54"":""+44055"",""74"":""5"",""94"":""0"",""45"":""+44135"",""65"":""5000"",""85"":""0"",""55"":""+44050"",""75"":""6"",""95"":""0"",""46"":""+44150"",""66"":""5000"",""86"":""0"",""56"":""+44035"",""76"":""3"",""96"":""0"",""47"":""+44190"",""67"":""3"",""87"":""0"",""57"":""+44030"",""77"":""5005"",""97"":""0"",""48"":""+44200"",""68"":""10"",""88"":""0"",""58"":""+44020"",""78"":""704"",""98"":""0"",""49"":""+44210"",""69"":""10"",""89"":""0"",""59"":""+44010"",""79"":""2"",""99"":""0"",""50"":""+44220"",""70"":""10"",""90"":""0"",""60"":""+44000"",""80"":""13"",""100"":""+1"",""121"":""12034"",""122"":""0"",""125"":""6006"",""126"":""+1"",""23"":""+43860"",""24"":""3328"",""128"":""-6028"",""129"":""49.91"",""138"":""+6028"",""139"":""200.37"",""200"":""+1940"",""201"":""+4.63"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44092"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+2172"",""6111"":""2"",""6112"":""+5.18"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
2026-05-21T11:39:22.648,0D,364690,113921,HOLD,0,,0,spread_veto,44270.06,,44290.0,44165.0,5000,4000,44295.0,44135.0,5000,5000,44300.0,44130.0,5000,5000,44305.0,44125.0,8000,5000,44310.0,44120.0,8997,5000,44315.0,44115.0,3000,5000,45895.0,43855.0,98,5000,,43805.0,0,4,,43785.0,0,1,,43735.0,0,7,44227.5,44220.555555555555,125.0,28.26295856650274,11.182375728526893,-7.504172797597819,0.0,0.0,-5000.0,-0.1724137931034483,-0.034482758620689655,0,0.0,0.0,-4.91375161862289,"{""21"":""113921"",""41"":""+44290"",""61"":""5000"",""81"":""0"",""51"":""+44165"",""71"":""4000"",""91"":""0"",""42"":""+44295"",""62"":""5000"",""82"":""0"",""52"":""+44135"",""72"":""5000"",""92"":""0"",""43"":""+44300"",""63"":""5000"",""83"":""-3000"",""53"":""+44130"",""73"":""5000"",""93"":""0"",""44"":""+44305"",""64"":""8000"",""84"":""+3000"",""54"":""+44125"",""74"":""5000"",""94"":""0"",""45"":""+44310"",""65"":""8997"",""85"":""-3000"",""55"":""+44120"",""75"":""5000"",""95"":""0"",""46"":""+44315"",""66"":""3000"",""86"":""-2000"",""56"":""+44115"",""76"":""5000"",""96"":""0"",""47"":""+45895"",""67"":""98"",""87"":""0"",""57"":""+43855"",""77"":""5000"",""97"":""0"",""48"":""-0"",""68"":""0"",""88"":""0"",""58"":""+43805"",""78"":""4"",""98"":""0"",""49"":""-0"",""69"":""0"",""89"":""0"",""59"":""+43785"",""79"":""1"",""99"":""0"",""50"":""-0"",""70"":""0"",""90"":""0"",""60"":""+43735"",""80"":""7"",""100"":""0"",""121"":""35095"",""122"":""0"",""125"":""34012"",""126"":""0"",""23"":""+42570"",""24"":""30"",""128"":""-1083"",""129"":""96.91"",""138"":""+1083"",""139"":""103.18"",""200"":""+1405"",""201"":""+3.41"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44227"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+3062"",""6111"":""2"",""6112"":""+7.44"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
2026-05-21T11:39:22.937,0D,364690,113922,HOLD,0,,0,spread_veto,44270.06,,44295.0,44165.0,5000,4000,44300.0,44140.0,5000,5000,44305.0,44135.0,8000,5000,44310.0,44130.0,8997,5000,44315.0,44125.0,8000,5000,45895.0,44120.0,98,5000,,43855.0,0,5000,,43805.0,0,4,,43785.0,0,1,,43735.0,0,7,44230.0,44222.77777777778,130.0,29.391815509834952,10.680406175689996,-8.633604291478786,0.0,0.0,5000.0,0.15625,-0.125,0,1.0,0.0,-1.75679246112491,"{""21"":""113922"",""41"":""+44295"",""61"":""5000"",""81"":""0"",""51"":""+44165"",""71"":""4000"",""91"":""0"",""42"":""+44300"",""62"":""5000"",""82"":""0"",""52"":""+44140"",""72"":""5000"",""92"":""0"",""43"":""+44305"",""63"":""8000"",""83"":""0"",""53"":""+44135"",""73"":""5000"",""93"":""0"",""44"":""+44310"",""64"":""8997"",""84"":""0"",""54"":""+44130"",""74"":""5000"",""94"":""0"",""45"":""+44315"",""65"":""8000"",""85"":""+5000"",""55"":""+44125"",""75"":""5000"",""95"":""0"",""46"":""+45895"",""66"":""98"",""86"":""0"",""56"":""+44120"",""76"":""5000"",""96"":""0"",""47"":""-0"",""67"":""0"",""87"":""0"",""57"":""+43855"",""77"":""5000"",""97"":""0"",""48"":""-0"",""68"":""0"",""88"":""0"",""58"":""+43805"",""78"":""4"",""98"":""0"",""49"":""-0"",""69"":""0"",""89"":""0"",""59"":""+43785"",""79"":""1"",""99"":""0"",""50"":""-0"",""70"":""0"",""90"":""0"",""60"":""+43735"",""80"":""7"",""100"":""0"",""121"":""35095"",""122"":""0"",""125"":""34012"",""126"":""0"",""23"":""+42570"",""24"":""30"",""128"":""-1083"",""129"":""96.91"",""138"":""+1083"",""139"":""103.18"",""200"":""+1405"",""201"":""+3.41"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44230"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+3065"",""6111"":""2"",""6112"":""+7.45"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
2026-05-21T11:39:23.133,0G,457990,,,,,,,44121.56,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""36"":""+44121.56"",""37"":""+2099.28"",""38"":""+5.00"",""39"":""0.25"",""20"":""113922"",""10"":""+44080"",""11"":""+2160"",""12"":""+5.15"",""13"":""214609"",""25"":""2"",""265"":"" 0"",""266"":""-0.09""}"
2026-05-21T11:39:23.133,0D,364690,113922,HOLD,0,,0,spread_veto,44270.06,,44290.0,44165.0,5000,4000,44295.0,44135.0,5000,5000,44300.0,44130.0,5000,5000,44305.0,44125.0,12000,5000,44310.0,44120.0,4997,5000,44315.0,44115.0,3000,5000,45895.0,43855.0,98,5000,,43805.0,0,4,,43785.0,0,1,,43735.0,0,7,44227.5,44220.555555555555,125.0,28.26295856650274,11.182375728526893,-7.504172797597819,0.0,0.0,-5000.0,-0.1724137931034483,-0.034482758620689655,0,0.0,0.0,-4.91375161862289,"{""21"":""113922"",""41"":""+44290"",""61"":""5000"",""81"":""0"",""51"":""+44165"",""71"":""4000"",""91"":""0"",""42"":""+44295"",""62"":""5000"",""82"":""0"",""52"":""+44135"",""72"":""5000"",""92"":""0"",""43"":""+44300"",""63"":""5000"",""83"":""0"",""53"":""+44130"",""73"":""5000"",""93"":""0"",""44"":""+44305"",""64"":""12000"",""84"":""+4000"",""54"":""+44125"",""74"":""5000"",""94"":""0"",""45"":""+44310"",""65"":""4997"",""85"":""-4000"",""55"":""+44120"",""75"":""5000"",""95"":""0"",""46"":""+44315"",""66"":""3000"",""86"":""-5000"",""56"":""+44115"",""76"":""5000"",""96"":""0"",""47"":""+45895"",""67"":""98"",""87"":""0"",""57"":""+43855"",""77"":""5000"",""97"":""0"",""48"":""-0"",""68"":""0"",""88"":""0"",""58"":""+43805"",""78"":""4"",""98"":""0"",""49"":""-0"",""69"":""0"",""89"":""0"",""59"":""+43785"",""79"":""1"",""99"":""0"",""50"":""-0"",""70"":""0"",""90"":""0"",""60"":""+43735"",""80"":""7"",""100"":""0"",""121"":""35095"",""122"":""0"",""125"":""34012"",""126"":""0"",""23"":""+42570"",""24"":""30"",""128"":""-1083"",""129"":""96.91"",""138"":""+1083"",""139"":""103.18"",""200"":""+1405"",""201"":""+3.41"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44227"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+3062"",""6111"":""2"",""6112"":""+7.44"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
2026-05-21T11:39:23.452,0G,364690,,,,,,,44286.96,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""36"":""+44286.96"",""37"":""+3114.03"",""38"":""+7.56"",""39"":""4.75"",""20"":""113922"",""10"":""+44145"",""11"":""+2980"",""12"":""+7.24"",""13"":""1989"",""25"":""2"",""265"":""-42.73"",""266"":""-0.32""}"
2026-05-21T11:39:23.452,0D,364690,113922,HOLD,0,,0,spread_veto,44286.96,36,44290.0,44165.0,4997,4000,44295.0,44135.0,5000,5000,44300.0,44130.0,8000,5000,44305.0,44125.0,9000,5000,44310.0,44120.0,8000,5000,45895.0,44115.0,98,5000,,43850.0,0,5000,,43805.0,0,4,,43785.0,0,1,,43735.0,0,7,44227.5,44220.574080248974,125.0,28.26295856650274,14.989947323326016,-3.686432304226994,3.8174784493179943,0.0,3.0,9.375878988655187e-05,-0.12491796105884927,0,0.0006,0.0,-1.7987801417180715,"{""21"":""113922"",""41"":""+44290"",""61"":""4997"",""81"":""-3"",""51"":""+44165"",""71"":""4000"",""91"":""0"",""42"":""+44295"",""62"":""5000"",""82"":""0"",""52"":""+44135"",""72"":""5000"",""92"":""0"",""43"":""+44300"",""63"":""8000"",""83"":""+3000"",""53"":""+44130"",""73"":""5000"",""93"":""0"",""44"":""+44305"",""64"":""9000"",""84"":""-3000"",""54"":""+44125"",""74"":""5000"",""94"":""0"",""45"":""+44310"",""65"":""8000"",""85"":""+3003"",""55"":""+44120"",""75"":""5000"",""95"":""0"",""46"":""+45895"",""66"":""98"",""86"":""0"",""56"":""+44115"",""76"":""5000"",""96"":""0"",""47"":""-0"",""67"":""0"",""87"":""0"",""57"":""+43850"",""77"":""5000"",""97"":""0"",""48"":""-0"",""68"":""0"",""88"":""0"",""58"":""+43805"",""78"":""4"",""98"":""0"",""49"":""-0"",""69"":""0"",""89"":""0"",""59"":""+43785"",""79"":""1"",""99"":""0"",""50"":""-0"",""70"":""0"",""90"":""0"",""60"":""+43735"",""80"":""7"",""100"":""0"",""121"":""35095"",""122"":""0"",""125"":""34012"",""126"":""0"",""23"":""+42570"",""24"":""30"",""128"":""-1083"",""129"":""96.91"",""138"":""+1083"",""139"":""103.18"",""200"":""+1405"",""201"":""+3.41"",""238"":""2"",""291"":"" 0"",""292"":""0"",""293"":""3"",""294"":"" 0"",""295"":""0.00"",""6044"":""0"",""6045"":""0"",""6046"":""0"",""6047"":""0"",""6048"":""0"",""6049"":""0"",""6050"":""0"",""6051"":""0"",""6052"":""0"",""6053"":""0"",""6054"":""0"",""6055"":""0"",""6056"":""0"",""6057"":""0"",""6058"":""0"",""6059"":""0"",""6060"":""0"",""6061"":""0"",""6062"":""0"",""6063"":""0"",""6064"":""0"",""6065"":""0"",""6066"":""0"",""6067"":""0"",""6068"":""0"",""6069"":""0"",""6070"":""0"",""6071"":""0"",""6072"":""0"",""6073"":""0"",""6074"":""0"",""6075"":""0"",""6076"":""0"",""6077"":""0"",""6078"":""0"",""6079"":""0"",""6080"":""0"",""6081"":""0"",""6082"":""0"",""6083"":""0"",""6084"":""0"",""6085"":""0"",""6086"":""0"",""6087"":""0"",""6100"":"" 0"",""6101"":""0"",""6102"":""+44227"",""6103"":""0"",""6104"":"" 0"",""6105"":"" 0"",""6106"":""0"",""6107"":"" 0"",""6108"":""0"",""6109"":"" 0"",""6110"":""+3062"",""6111"":""2"",""6112"":""+7.44"",""6113"":"" 0"",""6114"":""3"",""6115"":""0.00""}"
