recv_ts,cycle,rank,code,name,action,decision,nav,fair_value,bid1,ask1,spread_bps,etf_obi,buy_gap_bps,sell_gap_bps,pnl_bps,hold_sec,order_side,order_qty,order_price,order_no,filled,fill_status,before_qty,after_qty,reason
2026-07-01T14:07:36.230,1,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26565.94,26561.61415582362,26545.0,26555.0,3.766478342749529,-0.08306645316253003,2.4901181776143533,-6.254949614941555,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:36.768,1,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49260.22,49249.134731773585,49300.0,49340.0,8.110300081103,0.030456852791878174,-18.450124803470295,10.328154698238459,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:37.304,1,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.3118705102,1073515.0,1073520.0,0.04657585926638364,-0.0006803045854916096,-0.36039872387124094,0.3138212944860228,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:37.840,1,20,475300,SOL 반도체전공정,WAIT,HOLD,30646.87,30642.24534436589,30620.0,30655.0,11.42390860873113,0.319693094629156,-4.162441587021764,-7.259697883066175,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:38.500,1,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24452.78,24445.069820691733,24425.0,24450.0,10.23017902813299,-0.014005891777352834,-2.0168399372267793,-8.210171146553616,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:39.046,1,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143183.94,143098.029636,143035.0,143120.0,5.940836260068844,-0.7141089108910891,-1.5353365840112705,-4.404647370779402,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:39.582,1,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10532.93,10527.900669050923,10515.0,10530.0,14.255167498218105,-0.0830523110484934,-1.9940641682232758,-12.253790624039151,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:50.115,2,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26576.52,26583.327606818388,26555.0,26560.0,1.8827073331450628,0.5210539912167399,8.775277182531655,-10.656155330652412,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:51.007,2,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49284.85,49283.31142634139,49320.0,49350.0,6.0808756460930375,0.2520138089758343,-13.531674664005543,7.444421366337453,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:51.539,2,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.3551052145,1073515.0,1073520.0,0.04657585926638364,-0.0006131793273527214,-0.3599959570950619,0.3134185295857603,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:52.073,2,20,475300,SOL 반도체전공정,WAIT,HOLD,30666.34,30648.713700825283,30670.0,30685.0,4.889577051585038,-0.713482393894765,-11.839419927675431,6.945250421437363,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:52.611,2,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24453.97,24439.297618,24450.0,24460.0,4.089143324473523,-0.9160313103588492,-8.470939845976504,4.379169224616743,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:53.138,2,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143222.33,143248.6864640756,143110.0,143200.0,6.286891830533338,0.6210526315789474,3.3987372085132543,-9.68151733177606,,,,,,,,,,,edge_below_threshold
2026-07-01T14:07:53.668,2,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10538.6,10534.242114164834,10530.0,10540.0,9.492168960607499,-0.21458585278865272,-5.465875734357684,-4.026976140153092,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:04.201,3,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26607.84,26605.738594752445,26570.0,26580.0,3.762935089369708,0.0565185546875,9.674076387987167,-13.43266401914293,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:05.094,3,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49353.6,49358.416587920074,49345.0,49365.0,4.052274338972748,0.3652694610778443,-1.3337972599261956,-2.7181965807544186,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:05.623,3,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.0106175516,1073515.0,1073520.0,0.04657585926638364,-0.001148023354586943,-0.36320514347937627,0.31662770102304805,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:06.160,3,20,475300,SOL 반도체전공정,WAIT,HOLD,30691.05,30672.635369999996,30675.0,30710.0,11.403437321821292,-0.7620667463454996,-12.181747524879755,0.7709249536205314,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:06.695,3,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24482.46,24468.144468942195,24485.0,24495.0,4.083299305839118,-0.7703783783783784,-10.975712151729798,6.888765545421682,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:07.224,3,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143217.2,143131.26968,143135.0,143230.0,6.63488904021092,-0.9663734115347019,-6.897886130734028,0.26062229506817813,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:07.757,3,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10543.9,10542.911842071928,10530.0,10535.0,4.747211013529552,0.08116313984013956,7.504418314829578,-12.246941134803555,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:18.289,4,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26600.13,26596.84620771784,26565.0,26580.0,5.644933672029354,0.07649629302302745,6.3339117676864305,-11.97367818316742,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:19.191,4,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49359.83,49346.63429515502,49330.0,49370.0,8.105369807497466,-0.040293040293040296,-4.735014895894603,-3.3709077412501367,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:19.718,4,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.0076941196,1073515.0,1073520.0,0.04657585926638364,-0.001152562211486208,-0.3632323776660893,0.31665493508291587,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:20.258,4,20,475300,SOL 반도체전공정,WAIT,HOLD,30695.25,30680.770681786173,30645.0,30680.0,11.414594374235628,-0.21545697216219653,0.25119375069354594,-11.658990628748493,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:20.793,4,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24484.63,24469.939222,24465.0,24495.0,12.254901960784313,-0.3963026491328378,-10.241454942997127,-2.018485601942245,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:21.323,4,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143339.88,143253.87607199998,143120.0,143230.0,7.682905535184216,-0.9667609618104668,1.6666964032431728,-9.345371704476458,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:21.856,4,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10536.94,10533.31059738345,10525.0,10535.0,9.49667616334283,-0.09924219121389223,-1.6038667054683915,-7.889824672514967,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:32.389,5,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26599.61,26595.386766223157,26565.0,26575.0,3.763643206624012,-0.07643536456498767,7.66552725943005,-11.425577860649456,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:33.295,5,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49363.16,49333.542104,49365.0,49390.0,5.06303478304896,-0.7571428571428571,-11.444119678449411,6.376573555915268,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:33.824,5,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.0065582518,1073515.0,1073520.0,0.04657585926638364,-0.0011543257348933405,-0.36324295921377375,0.316665516581316,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:34.370,5,20,475300,SOL 반도체전공정,WAIT,HOLD,30681.36,30667.23459696486,30660.0,30685.0,8.150623522699487,-0.3597861263542986,-5.79295892460376,-2.3590640173260127,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:34.993,5,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24487.15,24482.680624349443,24475.0,24480.0,2.042692268409764,-0.20206409560021726,1.0949063914091641,-3.1371664186985004,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:35.539,5,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143353.16,143267.148104,143125.0,143250.0,8.729812309035356,-0.9506970418225094,1.1969320410806605,-9.921891088165232,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:36.075,5,34,0210A0,ACE K반도체TOP2+,WAIT,HOLD,10538.14,10535.682928711733,10520.0,10525.0,4.751722499406035,-0.1510136482134642,10.139759125267071,-14.885535961787134,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:46.644,6,8,0167A0,SOL AI반도체TOP2플러스,WAIT,HOLD,26607.32,26595.90024628796,26580.0,26590.0,3.761519653940192,-0.5272505835786055,2.2184796278084793,-5.978457634717916,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:47.563,6,17,396500,TIGER 반도체TOP10,WAIT,HOLD,49354.65,49325.03721,49395.0,49420.0,5.059960532307848,-0.8132295719844358,-19.25245177123664,14.184031874549449,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:48.135,6,19,459580,KODEX CD금리액티브(합성),WAIT,HOLD,1073483.25,1073481.001721197,1073515.0,1073520.0,0.04657585926638364,-0.0011618356405776323,-0.3632880203788444,0.3167105775365108,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:48.679,6,20,475300,SOL 반도체전공정,WAIT,HOLD,30689.04,30670.626576,30665.0,30700.0,11.407153915098183,-0.8755580357142857,-9.577053773980014,-1.8345161570326667,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:49.232,6,28,0117V0,TIGER 코리아AI전력기기TOP3플러스,WAIT,HOLD,24498.14,24485.024628797863,24475.0,24485.0,4.084967320261438,-0.6880214962522981,0.010058718843830071,-4.0941877534695825,,,,,,,,,,,edge_below_threshold
2026-07-01T14:08:49.766,6,32,442580,PLUS 글로벌HBM반도체,WAIT,HOLD,143322.7,143236.70638000002,143165.0,143250.0,5.9354433252448375,-0.9409663470577176,-0.9280875228110075,-5.006145548319456,,,,,,,,,,,edge_below_threshold
