recv_ts,rank,code,name,holdings,nav_source,priced_components,nav,fair_value,ask1,bid1,micro,spread_bps,etf_obi,current_basis_bps,expected_basis_bps,buy_gap_bps,sell_gap_bps,decision,position_action,entry_price,exit_price,pnl_bps,hold_sec,reason,estimate_method
2026-06-24T13:38:01.590,10,0167A0,SOL AI반도체TOP2플러스,10,LOCAL_COMPONENT_MICRO_L1,10,25110.669689653623,25095.60328783983,25110.0,25095.0,25108.894601542415,5.975500448162533,-0.8288492706645056,-3.253473425676646,-6.0,-5.736746789883647,-0.24039583065989148,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:38:04.080,13,396500,TIGER 반도체TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,49009.47536130485,48985.14543469076,49100.0,49065.0,49082.606294864716,7.130851118015586,-0.4708459723626559,14.90010618493659,-4.9643311695806105,-23.4468152110248,16.301792022992498,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:38:07.903,14,395160,KODEX AI반도체TOP2플러스,15,LOCAL_COMPONENT_MICRO_L1,15,55015.52539281504,55004.31684424251,55060.0,55025.0,55051.05987445678,6.358722805105145,-0.021620996647011215,4.9030899900269675,-2.0373428214136107,-10.123415570303555,3.7602786370496397,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:38:13.105,16,395270,HANARO Fn K-반도체,20,LOCAL_COMPONENT_MICRO_L1,20,77429.57830243334,77405.50902811805,77475.0,77415.0,77415.31662269129,7.747433662599264,-0.13071789028162137,1.9917062580953548,-3.108537440469507,-8.977522757031599,1.2261364857773638,HOLD,WAIT,,,,,edge_below_threshold,rounded_to_common_creation_unit_regression
2026-06-24T13:38:17.242,17,139260,TIGER 200 IT,16,LOCAL_COMPONENT_MICRO_L1,16,184304.93085289132,184246.42756137816,184370.0,184200.0,184204.36915887852,9.22484195675177,-0.06780227120908483,-1.0814063844679633,-3.17426621428004,-6.706910970128283,-2.5198622297682394,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:38:20.023,22,488080,TIGER 반도체TOP10레버리지,11,LOCAL_COMPONENT_MICRO_L1,11,77904.78988484899,77900.22907690277,77300.0,77135.0,77294.40677966102,21.368213164114355,0.9708383961117861,-88.22177504937355,-0.5854335725635895,77.0510028038854,-98.23194180178136,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:38:25.466,26,469150,ACE AI반도체TOP3+,20,LOCAL_COMPONENT_MICRO_L1,20,74457.35812765529,74412.68371277869,74555.0,74455.0,74459.78457510116,13.421917992081069,-0.9106689811723861,6.398544555265095,-6.0,-19.125272751972346,5.686703544337752,HOLD,WAIT,,,,,spread_too_wide,rounded_to_common_creation_unit_regression
2026-06-24T13:38:27.914,31,292150,TIGER 코리아TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,46696.771010231365,46681.79961564049,46685.0,46650.0,46650.067829457366,7.49986607382011,-0.15935465609963204,-6.268315688241395,-3.2060877587438252,-0.6855743321506804,-6.811994375177697,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:38:30.868,32,487240,KODEX AI전력핵심설비,12,LOCAL_COMPONENT_MICRO_L1,12,40497.831227846036,40502.9095813144,40450.0,40425.0,40449.909420289856,6.182380216383308,0.5181159420289855,-14.897397222731485,1.2539815872589208,13.063155674823564,-19.235551746717988,BUY,ENTER_BUY,40450.0,,,,paper_entry_on_buy_signal,unrounded_raw_creation_unit_regression
2026-06-24T13:38:37.255,35,243880,TIGER 200IT레버리지,17,LOCAL_COMPONENT_MICRO_L1,17,761011.353765494,761142.9079439319,760745.0,760000.0,760035.4761904762,9.797829353376143,0.7780040733197556,-8.394799398627901,1.728675633905691,5.227769184721682,-15.015681444358464,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:38:55.595,41,367760,RISE 네트워크인프라,23,LOCAL_COMPONENT_MICRO_L1,23,78156.33396445843,78154.43321617175,78150.0,78040.0,78082.51407129456,14.08540879697804,0.6637373998449212,-7.847599976519563,-0.24319824002388435,0.5672379658214046,-14.641935391589282,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:38:58.812,42,466920,SOL 조선TOP3플러스,13,LOCAL_COMPONENT_MICRO_L1,13,32668.764988335115,32667.38898641145,32665.0,32635.0,32648.96408839779,9.188361408882082,0.3892183998945565,-5.744015221210652,-0.42119802329728584,0.7313062003344121,-9.914776606395638,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:39:01.356,43,0210A0,ACE K반도체TOP2+,10,LOCAL_COMPONENT_MICRO_L1,10,9799.572131254234,9794.581651250888,9795.0,9790.0,9794.935172413792,5.105948429920858,-0.5934607243535345,-7.2167755484733895,-5.092548875097465,-0.4271226316832024,-4.677740626423834,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:39:08.167,44,0148J0,TIGER 코리아휴머노이드로봇산업,15,LOCAL_COMPONENT_MICRO_L1,15,10329.074415743347,10322.876971093901,10330.0,10320.0,10320.308578481794,9.685230024213075,-0.7319250788343908,-3.944608761010774,-6.0,-6.900236170637814,-2.7869857424024946,HOLD,WAIT,,,,,edge_below_threshold,rounded_to_common_creation_unit_regression
2026-06-24T13:39:13.955,48,0117V0,TIGER 코리아AI전력기기TOP3플러스,10,LOCAL_COMPONENT_MICRO_L1,10,21301.063634514037,21295.40250640506,21295.0,21280.0,21280.536853295536,7.046388725778039,-0.09062621548035783,-6.367585556648118,-2.657673910615559,0.18901094024276485,-7.232784823121204,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:39:23.007,50,462330,KODEX 2차전지산업레버리지,26,LOCAL_COMPONENT_MICRO_L1,26,1247.0303267573313,1247.3517236771772,1251.0,1250.0,1250.9901413469534,7.996801279488205,0.8293897882938979,27.823487273889643,2.5772983459169265,-29.24817638498702,21.231191431841545,HOLD,WAIT,,,,,edge_below_threshold,"rounded_to_common_creation_unit_calibration_failed: raw_unit must be positive, got -8417.074255638132"
2026-06-24T13:39:55.891,10,0167A0,SOL AI반도체TOP2플러스,10,LOCAL_COMPONENT_MICRO_L1,10,25176.970503511177,25172.98447218245,25180.0,25170.0,25170.21660024259,3.9721946375372394,-0.06525781910397295,-0.782661087401956,-1.5832053058850095,-2.7869273209555976,-1.1855853586794125,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:39:58.314,13,396500,TIGER 반도체TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,49082.25126304676,49057.13428585167,49175.0,49155.0,49157.65482643294,4.067934506254449,-0.6494905726665886,16.859197535533447,-5.117323787875867,-24.02621267307094,19.94933368469348,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:40:02.113,14,395160,KODEX AI반도체TOP2플러스,15,LOCAL_COMPONENT_MICRO_L1,15,55137.73198645842,55119.09705235984,55220.0,55200.0,55215.6023668639,3.622532149972831,-0.3821577783239125,13.106816500781738,-3.3797063149353246,-18.30634989254471,14.677843427534734,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:40:07.272,16,395270,HANARO Fn K-반도체,20,LOCAL_COMPONENT_MICRO_L1,20,77610.2619499724,77563.6957928024,77705.0,77625.0,77625.00891364903,10.300650228545678,-0.9659136658465668,7.0529397340378885,-6.0,-18.21782803839869,7.903724361118312,HOLD,WAIT,,,,,edge_below_threshold,rounded_to_common_creation_unit_regression
