date,code,name,investor,buy_qty,sell_qty,net_qty
20260602,005930,삼성전자,개인,19527180,11587453,7939727
20260602,005930,삼성전자,외국인,8263993,19280905,-11016912
20260602,005930,삼성전자,기관,14818130,11726453,3091677
20260601,005930,삼성전자,개인,12667431,15840503,-3173072
20260601,005930,삼성전자,외국인,17988762,18169627,-180865
20260601,005930,삼성전자,기관,14152404,10319709,3832695
20260529,005930,삼성전자,개인,6742559,10979920,-4237361
20260529,005930,삼성전자,외국인,18201226,19262967,-1061741
20260529,005930,삼성전자,기관,12106535,6792231,5314304
20260528,005930,삼성전자,개인,13688659,7188312,6500347
20260528,005930,삼성전자,외국인,5855928,11029053,-5173125
20260528,005930,삼성전자,기관,10238168,11851730,-1613562
