collected_at,date,code,name,short_code,expiry,days,spot,futures,kis_theo,dprt,r_b_pct,r_mkt_pct
2026-06-07 16:17:53,20260607,000660,SK하이닉스,A50606,20260611,7,2070000,1980000,2071032,-4.4,2.5996,-226.7081
2026-06-07 16:17:53,20260607,000660,SK하이닉스,A50607,20260709,35,2070000,2040000,2075320,-1.7,2.6802,-15.1139
2026-06-07 16:17:53,20260607,000660,SK하이닉스,A50608,20260813,70,2070000,2296000,2081076,10.33,2.79,56.9289
2026-06-07 16:17:53,20260607,000660,SK하이닉스,A50609,20260910,98,2070000,2301000,2085631,10.33,2.8124,41.5631
2026-06-07 16:17:53,20260607,000660,SK하이닉스,A50612,20261210,189,2070000,2334000,2102795,11.0,3.0596,24.63
2026-06-07 16:17:53,20260607,000660,SK하이닉스,A50703,20270311,280,2070000,2355000,2120874,11.04,3.2038,17.9477
2026-06-08 16:06:19,20260608,000660,SK하이닉스,A50606,20260611,4,1911000,1873000,1911540,-2.02,2.5785,-181.4495
2026-06-08 16:06:19,20260608,000660,SK하이닉스,A50607,20260709,32,1911000,1871000,1915473,-2.32,2.6698,-23.8749
2026-06-08 16:06:19,20260608,000660,SK하이닉스,A50608,20260813,67,1911000,2000000,1920752,4.13,2.78,25.3716
2026-06-08 16:06:19,20260608,000660,SK하이닉스,A50609,20260910,95,1911000,1995000,1924850,3.64,2.7846,16.8884
2026-06-08 16:06:19,20260608,000660,SK하이닉스,A50612,20261210,186,1911000,2102000,1940629,8.32,3.0425,19.6134
2026-06-08 16:06:19,20260608,000660,SK하이닉스,A50703,20270311,277,1911000,2120000,1957379,8.31,3.198,14.4112
