code,name,market,per,pbr,weekly_closes,history_closes,today_open,current_price,trade_strength,s_score,s_confidence,news_count,analyst_count,momentum_1w
000020,동화약품,KOSPI,17.14,0.39,"[5470.0, 5400.0, 5470.0, 5210.0, 5360.0, 5240.0, 5310.0]","[6140.0, 6110.0, 6130.0, 6070.0, 5930.0, 6050.0, 6160.0, 6160.0, 6100.0, 6100.0, 6170.0, 6170.0, 6180.0, 6190.0, 6500.0, 6620.0, 6670.0, 6630.0, 6570.0, 6360.0, 6300.0, 6150.0, 5660.0, 6110.0, 6170.0, 5970.0, 6000.0, 6060.0, 6100.0, 6130.0, 6090.0, 6030.0, 6060.0, 5990.0, 6060.0, 5860.0, 5930.0, 6040.0, 6030.0, 6020.0, 5900.0, 5830.0, 5930.0, 5830.0, 5860.0, 5810.0, 5740.0, 5820.0, 5810.0, 5880.0, 5900.0, 5910.0, 5940.0, 6040.0, 6080.0, 6000.0, 5990.0, 5970.0, 5970.0, 6040.0, 6040.0, 6060.0, 6090.0, 6060.0, 6000.0, 5940.0, 5900.0, 5870.0, 5800.0, 5860.0, 5820.0, 6030.0, 6070.0, 6130.0, 6040.0, 5940.0, 5980.0, 6250.0, 6040.0, 5860.0, 5800.0, 5630.0, 5510.0, 5470.0, 5400.0, 5470.0, 5210.0, 5360.0, 5240.0, 5310.0]",5360.0,5370.0,,0.0,0.28,1,0,-0.029250457038391242
000040,KR모터스,KOSPI,,0.67,"[334.0, 332.0, 345.0, 319.0, 324.0, 327.0, 340.0]","[449.0, 444.0, 447.0, 430.0, 416.0, 428.0, 431.0, 430.0, 439.0, 432.0, 426.0, 423.0, 421.0, 414.0, 406.0, 404.0, 397.0, 410.0, 402.0, 402.0, 396.0, 385.0, 352.0, 365.0, 377.0, 370.0, 368.0, 369.0, 370.0, 377.0, 377.0, 381.0, 382.0, 379.0, 402.0, 403.0, 400.0, 400.0, 404.0, 398.0, 403.0, 417.0, 412.0, 413.0, 421.0, 405.0, 408.0, 413.0, 437.0, 430.0, 437.0, 447.0, 461.0, 456.0, 475.0, 460.0, 457.0, 470.0, 457.0, 450.0, 448.0, 447.0, 442.0, 431.0, 436.0, 426.0, 424.0, 413.0, 390.0, 403.0, 393.0, 398.0, 378.0, 395.0, 371.0, 369.0, 384.0, 385.0, 373.0, 351.0, 350.0, 334.0, 330.0, 334.0, 332.0, 345.0, 319.0, 324.0, 327.0, 340.0]",342.0,351.0,,0.0,0.0,0,0,0.017964071856287456
000050,경방,KOSPI,4.83,0.28,"[8310.0, 8300.0, 8150.0, 7650.0, 8110.0, 8150.0, 8180.0]","[8780.0, 8840.0, 8930.0, 9350.0, 9380.0, 10820.0, 11700.0, 12060.0, 10390.0, 10360.0, 10730.0, 10690.0, 10520.0, 10370.0, 10330.0, 10490.0, 10810.0, 10400.0, 10640.0, 10350.0, 10200.0, 9900.0, 8450.0, 9230.0, 9290.0, 8780.0, 8930.0, 9620.0, 9380.0, 9370.0, 9110.0, 9360.0, 9360.0, 9190.0, 9880.0, 9230.0, 9580.0, 9720.0, 9500.0, 9490.0, 9430.0, 9020.0, 9450.0, 8910.0, 8980.0, 8970.0, 8900.0, 9220.0, 9110.0, 9450.0, 9340.0, 9670.0, 9670.0, 9770.0, 10020.0, 9830.0, 9950.0, 9950.0, 9890.0, 9930.0, 10070.0, 10040.0, 10220.0, 10100.0, 10320.0, 10130.0, 9910.0, 10110.0, 9520.0, 9270.0, 9390.0, 9720.0, 10060.0, 10620.0, 10200.0, 9730.0, 9910.0, 10030.0, 9530.0, 8890.0, 8900.0, 8500.0, 8100.0, 8310.0, 8300.0, 8150.0, 7650.0, 8110.0, 8150.0, 8180.0]",8250.0,8350.0,,0.0,0.0,0,0,-0.01564380264741272
000070,삼양홀딩스,KOSPI,,0.24,"[55800.0, 55400.0, 54300.0, 52100.0, 54000.0, 54500.0, 55000.0]","[62100.0, 61000.0, 61000.0, 60800.0, 59600.0, 60400.0, 62200.0, 61200.0, 60500.0, 61900.0, 62200.0, 65500.0, 68900.0, 71000.0, 71500.0, 71600.0, 73000.0, 71900.0, 72600.0, 73500.0, 74500.0, 74100.0, 68100.0, 71800.0, 70500.0, 68200.0, 70000.0, 71500.0, 72300.0, 70900.0, 69800.0, 70100.0, 71500.0, 69500.0, 72700.0, 69900.0, 69800.0, 70600.0, 70000.0, 70500.0, 67400.0, 66000.0, 67800.0, 65200.0, 66100.0, 64400.0, 64900.0, 67000.0, 66600.0, 68200.0, 66600.0, 67300.0, 69300.0, 69200.0, 68900.0, 68800.0, 68100.0, 69000.0, 69300.0, 69900.0, 68600.0, 69000.0, 70000.0, 69800.0, 68200.0, 66200.0, 65900.0, 65400.0, 63900.0, 62500.0, 60900.0, 62900.0, 61100.0, 60700.0, 60000.0, 58300.0, 58800.0, 59500.0, 58600.0, 57500.0, 56900.0, 56900.0, 56200.0, 55800.0, 55400.0, 54300.0, 52100.0, 54000.0, 54500.0, 55000.0]",55800.0,56300.0,,0.0,0.28,1,0,-0.014336917562724039
000080,하이트진로,KOSPI,28.07,0.97,"[16470.0, 16590.0, 16110.0, 15700.0, 15840.0, 15900.0, 16430.0]","[18010.0, 17880.0, 17650.0, 17600.0, 17370.0, 17420.0, 17740.0, 17940.0, 17750.0, 17790.0, 18060.0, 18090.0, 18320.0, 18120.0, 18060.0, 17990.0, 18150.0, 18120.0, 18100.0, 17960.0, 17770.0, 17350.0, 16280.0, 16710.0, 16430.0, 16620.0, 16510.0, 16830.0, 17100.0, 16780.0, 16670.0, 16800.0, 16990.0, 16600.0, 16610.0, 16290.0, 16670.0, 16660.0, 16540.0, 16730.0, 16470.0, 16720.0, 16940.0, 16600.0, 16840.0, 16770.0, 16770.0, 16850.0, 16940.0, 17400.0, 17190.0, 17230.0, 17390.0, 17500.0, 17480.0, 17350.0, 17170.0, 17150.0, 17110.0, 17180.0, 17170.0, 17130.0, 17270.0, 17110.0, 17070.0, 16830.0, 16850.0, 17070.0, 16650.0, 16420.0, 16300.0, 17290.0, 16960.0, 16540.0, 16870.0, 16710.0, 16460.0, 16930.0, 16520.0, 16230.0, 16480.0, 16020.0, 15900.0, 16470.0, 16590.0, 16110.0, 15700.0, 15840.0, 15900.0, 16430.0]",16450.0,16200.0,,-20.0,0.6000000000000001,5,0,-0.0024286581663630624
000087,하이트진로2우B,KOSPI,,,"[13100.0, 13210.0, 13010.0, 12770.0, 12850.0, 12840.0, 12820.0]","[14400.0, 14290.0, 14280.0, 14240.0, 14150.0, 14060.0, 14200.0, 14200.0, 14210.0, 14200.0, 14340.0, 14400.0, 14430.0, 14420.0, 14450.0, 14450.0, 14500.0, 14460.0, 14440.0, 14380.0, 14360.0, 14190.0, 13770.0, 14100.0, 14070.0, 14000.0, 14040.0, 14140.0, 14090.0, 14050.0, 14030.0, 14050.0, 14060.0, 14040.0, 14060.0, 13910.0, 13960.0, 13980.0, 13960.0, 13960.0, 13970.0, 13960.0, 13950.0, 13940.0, 13950.0, 13960.0, 13970.0, 14020.0, 14030.0, 14040.0, 14050.0, 14090.0, 14100.0, 14120.0, 14130.0, 14050.0, 14040.0, 14020.0, 14020.0, 14060.0, 14060.0, 14060.0, 14080.0, 14050.0, 14080.0, 14030.0, 14000.0, 14040.0, 13950.0, 13820.0, 13840.0, 13900.0, 13860.0, 13800.0, 13780.0, 13750.0, 13740.0, 13710.0, 13650.0, 13570.0, 13310.0, 13250.0, 13000.0, 13100.0, 13210.0, 13010.0, 12770.0, 12850.0, 12840.0, 12820.0]",12830.0,12830.0,,0.0,0.0,0,0,-0.021374045801526687
000100,유한양행,KOSPI,32.32,2.47,"[81500.0, 80100.0, 77500.0, 72400.0, 76700.0, 76900.0, 76400.0]","[108300.0, 109700.0, 110200.0, 108000.0, 104600.0, 108100.0, 108800.0, 107400.0, 104800.0, 107300.0, 108200.0, 109200.0, 109400.0, 108800.0, 112900.0, 111800.0, 113200.0, 113600.0, 113100.0, 110900.0, 110200.0, 106500.0, 92400.0, 98800.0, 99300.0, 96400.0, 98500.0, 98500.0, 99900.0, 99300.0, 97400.0, 99500.0, 100200.0, 98700.0, 100300.0, 93500.0, 95600.0, 98900.0, 99000.0, 100400.0, 98500.0, 94800.0, 99500.0, 92900.0, 92800.0, 91800.0, 91400.0, 94200.0, 93800.0, 92900.0, 92100.0, 93600.0, 97200.0, 97700.0, 97500.0, 97100.0, 96500.0, 95100.0, 94700.0, 94800.0, 94100.0, 93700.0, 93200.0, 91600.0, 90500.0, 87800.0, 88000.0, 86600.0, 84600.0, 84900.0, 84700.0, 89400.0, 86000.0, 83400.0, 81300.0, 81500.0, 84100.0, 88300.0, 85800.0, 85200.0, 83600.0, 85000.0, 83400.0, 81500.0, 80100.0, 77500.0, 72400.0, 76700.0, 76900.0, 76400.0]",77700.0,77200.0,,0.0,0.52,4,0,-0.06257668711656439
000105,유한양행우,KOSPI,,,"[70000.0, 68500.0, 66900.0, 62900.0, 64600.0, 64800.0, 63800.0]","[96100.0, 96600.0, 96600.0, 94800.0, 92500.0, 93300.0, 95000.0, 93500.0, 91800.0, 92400.0, 93900.0, 94200.0, 94800.0, 93600.0, 97100.0, 96700.0, 97700.0, 97600.0, 96700.0, 94900.0, 94000.0, 90400.0, 82400.0, 88200.0, 88600.0, 85000.0, 86800.0, 88100.0, 88800.0, 88200.0, 87800.0, 88500.0, 88900.0, 87500.0, 87700.0, 83300.0, 85700.0, 87500.0, 87600.0, 87800.0, 86200.0, 84800.0, 88000.0, 84900.0, 84900.0, 84400.0, 83400.0, 85300.0, 84400.0, 83700.0, 82700.0, 83600.0, 85100.0, 85500.0, 85200.0, 84200.0, 82900.0, 81300.0, 81500.0, 81000.0, 80000.0, 79100.0, 77800.0, 76600.0, 75300.0, 73700.0, 74700.0, 73000.0, 71800.0, 74000.0, 72900.0, 75100.0, 73200.0, 71300.0, 70000.0, 69500.0, 71100.0, 74800.0, 73100.0, 72500.0, 71000.0, 71600.0, 70200.0, 70000.0, 68500.0, 66900.0, 62900.0, 64600.0, 64800.0, 63800.0]",63800.0,65300.0,,0.0,0.0,0,0,-0.08857142857142852
000120,CJ대한통운,KOSPI,7.79,0.43,"[83900.0, 82600.0, 81900.0, 77600.0, 80700.0, 80300.0, 79800.0]","[98200.0, 99300.0, 102900.0, 103800.0, 99000.0, 102300.0, 103400.0, 109400.0, 108800.0, 117100.0, 136700.0, 145700.0, 142800.0, 140400.0, 140100.0, 138800.0, 138400.0, 138800.0, 136000.0, 134500.0, 132000.0, 127800.0, 110500.0, 114200.0, 119400.0, 108900.0, 113800.0, 116900.0, 115600.0, 111900.0, 110000.0, 114400.0, 117900.0, 112800.0, 113800.0, 106800.0, 109100.0, 112100.0, 108000.0, 108200.0, 105300.0, 103400.0, 108900.0, 103000.0, 103300.0, 105100.0, 102000.0, 104400.0, 103400.0, 106800.0, 103100.0, 104200.0, 103600.0, 105500.0, 106800.0, 107200.0, 107000.0, 103900.0, 102100.0, 102400.0, 103000.0, 101200.0, 101800.0, 101100.0, 101300.0, 99700.0, 100800.0, 100600.0, 97200.0, 95700.0, 95400.0, 94800.0, 92400.0, 89200.0, 88600.0, 85700.0, 89000.0, 89600.0, 89000.0, 85800.0, 85500.0, 85500.0, 84400.0, 83900.0, 82600.0, 81900.0, 77600.0, 80700.0, 80300.0, 79800.0]",82500.0,81800.0,,0.0,0.6799999999999999,6,0,-0.04886769964243143
000140,하이트진로홀딩스,KOSPI,,0.3,"[8220.0, 8070.0, 8190.0, 7960.0, 8010.0, 8040.0, 8050.0]","[9630.0, 9540.0, 9500.0, 9450.0, 9270.0, 9350.0, 9580.0, 9610.0, 9320.0, 9410.0, 9550.0, 9600.0, 9680.0, 9660.0, 9760.0, 9800.0, 9930.0, 9970.0, 10000.0, 9890.0, 9740.0, 9520.0, 9000.0, 9210.0, 9210.0, 8900.0, 8900.0, 9130.0, 9170.0, 9130.0, 9030.0, 9110.0, 9140.0, 9070.0, 9290.0, 8990.0, 9120.0, 9120.0, 9070.0, 9070.0, 8880.0, 8830.0, 9000.0, 8860.0, 8990.0, 8990.0, 8980.0, 9120.0, 9110.0, 9180.0, 9180.0, 9180.0, 9160.0, 9230.0, 9210.0, 9180.0, 9180.0, 9180.0, 9170.0, 9240.0, 9210.0, 9200.0, 9130.0, 9210.0, 9200.0, 9100.0, 9040.0, 9050.0, 8940.0, 8760.0, 8700.0, 9020.0, 8860.0, 8750.0, 8660.0, 8520.0, 8610.0, 8730.0, 8680.0, 8510.0, 8510.0, 8320.0, 7990.0, 8220.0, 8070.0, 8190.0, 7960.0, 8010.0, 8040.0, 8050.0]",8290.0,8150.0,,0.0,0.0,0,0,-0.020681265206812682
