code,name,s_score,confidence,news_count,analyst_count,summary
000020,동화약품,0.0,0.28,1,0,heuristic pos=0 neg=0
000040,KR모터스,0.0,0.0,0,0,no overnight inputs
000050,경방,0.0,0.0,0,0,no overnight inputs
000070,삼양홀딩스,0.0,0.28,1,0,heuristic pos=0 neg=0
000080,하이트진로,-20.0,0.6000000000000001,5,0,heuristic pos=0 neg=1
000087,하이트진로2우B,0.0,0.0,0,0,no overnight inputs
000100,유한양행,0.0,0.52,4,0,heuristic pos=0 neg=0
000105,유한양행우,0.0,0.0,0,0,no overnight inputs
000120,CJ대한통운,0.0,0.6799999999999999,6,0,heuristic pos=2 neg=2
000140,하이트진로홀딩스,0.0,0.0,0,0,no overnight inputs
000145,하이트진로홀딩스우,0.0,0.0,0,0,no overnight inputs
000150,두산,0.0,0.52,4,0,heuristic pos=0 neg=0
000155,두산우,0.0,0.0,0,0,no overnight inputs
000157,두산2우B,0.0,0.0,0,0,no overnight inputs
000180,성창기업지주,0.0,0.0,0,0,no overnight inputs
000210,DL,0.0,0.0,0,0,no overnight inputs
000215,DL우,0.0,0.0,0,0,no overnight inputs
000220,유유제약,0.0,0.0,0,0,no overnight inputs
000225,유유제약1우,0.0,0.0,0,0,no overnight inputs
000227,유유제약2우B,0.0,0.0,0,0,no overnight inputs
000230,일동홀딩스,0.0,0.0,0,0,no overnight inputs
000240,한국앤컴퍼니,0.0,0.0,0,0,no overnight inputs
000270,기아,0.0,0.7,8,0,heuristic pos=0 neg=0
000300,DH오토넥스,0.0,0.0,0,0,no overnight inputs
000320,노루홀딩스,0.0,0.0,0,0,no overnight inputs
000325,노루홀딩스우,0.0,0.0,0,0,no overnight inputs
000370,한화손해보험,20.0,0.36,2,0,heuristic pos=1 neg=0
000390,SP삼화,0.0,0.28,1,0,heuristic pos=0 neg=0
000400,롯데손해보험,0.0,0.0,0,0,no overnight inputs
000430,대원강업,0.0,0.0,0,0,no overnight inputs
000480,CR홀딩스,0.0,0.0,0,0,no overnight inputs
000490,대동,0.0,0.0,0,0,no overnight inputs
000500,가온전선,0.0,0.28,1,0,heuristic pos=0 neg=0
000520,삼일제약,0.0,0.44,3,0,heuristic pos=0 neg=0
000540,흥국화재,0.0,0.0,0,0,no overnight inputs
000545,흥국화재우,0.0,0.0,0,0,no overnight inputs
000590,CS홀딩스,0.0,0.0,0,0,no overnight inputs
000640,동아쏘시오홀딩스,0.0,0.28,1,0,heuristic pos=0 neg=0
000650,천일고속,0.0,0.0,0,0,no overnight inputs
000660,SK하이닉스,0.0,0.0,0,0,no overnight inputs
000670,영풍,0.0,0.6799999999999999,6,0,heuristic pos=0 neg=0
000680,LS네트웍스,0.0,0.0,0,0,no overnight inputs
000700,유수홀딩스,0.0,0.0,0,0,no overnight inputs
000720,현대건설,40.0,0.7,8,0,heuristic pos=2 neg=0
000725,현대건설우,0.0,0.0,0,0,no overnight inputs
000760,이화산업,0.0,0.0,0,0,no overnight inputs
000810,삼성화재,20.0,0.7,8,0,heuristic pos=1 neg=0
000815,삼성화재우,0.0,0.0,0,0,no overnight inputs
000850,화천기공,0.0,0.0,0,0,no overnight inputs
000860,강남제비스코,0.0,0.0,0,0,no overnight inputs
000880,한화,0.0,0.7,8,0,heuristic pos=1 neg=1
000890,보해양조,0.0,0.0,0,0,no overnight inputs
000910,유니온,0.0,0.0,0,0,no overnight inputs
000950,전방,0.0,0.0,0,0,no overnight inputs
000970,한국주철관,0.0,0.0,0,0,no overnight inputs
000990,DB하이텍,0.0,0.28,1,0,heuristic pos=0 neg=0
001020,페이퍼코리아,0.0,0.0,0,0,no overnight inputs
001040,CJ,0.0,0.6000000000000001,5,0,heuristic pos=0 neg=0
001045,CJ우,0.0,0.0,0,0,no overnight inputs
001060,JW중외제약,0.0,0.52,4,0,heuristic pos=0 neg=0
001065,JW중외제약우,0.0,0.0,0,0,no overnight inputs
001067,JW중외제약2우B,0.0,0.0,0,0,no overnight inputs
001070,대한방직,0.0,0.0,0,0,no overnight inputs
