code,name,market,current_price,today_open,nav,prev_nav,nav_change_pct,premium_discount_pct,tracking_error_pct,net_assets,momentum_1w,foreign_net_qty,institution_net_qty,individual_net_qty,supply_demand_score,supply_demand_days,s_score,s_confidence,s_model,news_count
069500,KODEX 200,ETF,129270.0,131505.0,129894.04,123879.35,4.86,-0.4804223504019073,0.4,270366.0,-0.013432038464473828,107355,-172021,75785,0.19651022810075783,5,37.86040912403031,0.2294765342151137,heuristic,0
102110,TIGER 200,ETF,129575.0,132775.0,130015.32,123995.01,4.86,-0.33866778161220307,0.39,107937.0,-0.01012223071046603,-29146,434496,-106658,0.7953841554333857,5,61.81536621733542,0.31930762331500784,heuristic,0
122630,KODEX 레버리지,ETF,182370.0,191000.0,183315.38,166861.09,9.86,-0.5157123204828774,5.99,87018.0,-0.03929831954907026,436365,-360985,-91476,0.9470251164798709,5,67.88100465919484,0.41205376747198064,heuristic,1
252670,KODEX 200선물인버스2X,ETF,84.0,79.0,83.12,93.49,-11.09,1.0587102983638057,1.83,10694.0,-0.045454545454545414,0,0,0,0.0,5,-30.0,0.2,heuristic,0
229200,KODEX 코스닥150,ETF,18015.0,18360.0,18251.04,17601.87,3.69,-1.2932961628488067,0.24,52620.0,0.02620336086585029,-1720872,1937351,-501732,0.218061573026859,5,38.24246292107436,0.23270923595402887,heuristic,0
233740,KODEX 코스닥150레버리지,ETF,13000.0,13345.0,13256.83,12563.09,5.52,-1.937340978197653,8.56,38242.0,0.024428684003152012,0,0,0,0.0,5,30.0,0.27,heuristic,1
360750,TIGER 미국S&P500,ETF,27880.0,27905.0,27914.24,27570.68,1.25,-0.12266140865737918,0.1,187811.0,-0.0334546715201941,673156,-9259627,8545935,-0.9998666748243805,5,-29.99466699297522,0.3499800012236571,heuristic,0
379800,KODEX 미국S&P500,ETF,25420.0,25440.0,25449.67,25136.45,1.25,-0.11658304410233318,0.07,96121.0,-0.032724505327245024,-39253,-4248392,4254812,-0.97522983162519,5,-29.009193265007596,0.3462844747437785,heuristic,0
133690,TIGER 미국나스닥100,ETF,197890.0,,,,,,,,-0.0370316301703163,142380,-747118,590362,-0.9834544813119612,5,-39.33817925247845,0.34751817219679415,heuristic,0
379810,KODEX 미국나스닥100,ETF,29645.0,29755.0,29718.35,28915.26,2.78,-0.2468172021663334,0.09,83102.0,-0.035934959349593454,42492,-4975959,4910195,-0.9942294176773102,5,-17.529176707092407,0.3491344126515965,heuristic,0
305720,KODEX 2차전지산업,ETF,17200.0,17030.0,17299.78,16356.51,5.77,-0.5767703404320682,0.3,18499.0,-0.040446304044630454,196051,-353851,275610,-0.04870144125957714,5,28.051942349616915,0.20730521618893658,heuristic,0
305540,TIGER 2차전지테마,ETF,21605.0,21195.0,21522.81,20293.85,6.06,0.3818739281720123,1.21,10258.0,-0.027677767776777662,110726,-32041,-49460,0.033487473831300414,5,31.339498953252015,0.20502312107469509,heuristic,0
091160,KODEX 반도체,ETF,168740.0,167200.0,169020.69,157617.42,7.23,-0.1660684262973973,0.55,66120.0,0.07354625270390636,31289,180173,-137634,0.619996867969374,5,54.79987471877496,0.29299953019540614,heuristic,0
091170,KODEX 은행,ETF,15340.0,15025.0,15442.23,14840.82,4.05,-0.6620157839897448,1.37,5127.0,-0.038545910372923875,0,0,0,0.0,5,30.0,0.2,heuristic,0
117460,KODEX 에너지화학,ETF,15420.0,15310.0,15345.44,14883.2,3.11,0.48587723779832637,0.43,291.0,-0.012487992315081686,-1090,-3637,4890,-0.0014399990046728257,5,24.822400039813086,0.20021599985070093,heuristic,0
139660,TIGER 200 IT,ETF,7595.0,7565.0,7629.44,7578.68,0.67,-0.45140927774515044,0.91,68.0,0.007294429708222916,0,3542,-3542,0.0005399999475120061,5,5.381599997900481,0.2000809999921268,heuristic,0
228790,TIGER 화장품,ETF,3440.0,,,,,,,,0.01775147928994092,-723,70142,-4778,0.0035599849607375737,5,0.14239939842950294,0.20053399774411065,heuristic,0
143860,TIGER 헬스케어,ETF,39430.0,40495.0,39238.02,39516.49,-0.7,0.4892703556397678,0.8,1580.0,-0.029773622047244097,-243,-5767,3321,-0.004539968808035833,5,-5.7815987523214325,0.2006809953212054,heuristic,0
305080,TIGER 미국채10년선물,ETF,13675.0,,,,,,,,-0.01334776334776333,1013,62354,-57799,0.017338262304024812,5,0.6935304921609925,0.20260073934560374,heuristic,0
214980,KODEX 단기채권PLUS,ETF,114415.0,114425.0,114431.41,114397.85,0.03,-0.014340468233331644,0.07,20608.0,0.0003934598233803488,390,-19966,18690,-0.044889811078096496,5,-1.55559244312386,0.2067334716617145,heuristic,0
273130,KODEX 종합채권,ETF,110395.0,110205.0,110284.38,109779.42,0.46,0.10030432233467274,0.23,42319.0,0.003134938664243636,-335,5297,-4952,0.010859573078788355,5,4.114382923151535,0.20162893596181827,heuristic,0
278530,KODEX 200TR,ETF,46715.0,47875.0,46934.84,44761.66,4.86,-0.4683940543954055,0.18,85136.0,-0.013410770855332599,0,0,0,0.0,5,30.0,0.2,heuristic,0
294400,KOSEF 200TR,ETF,169215.0,174340.0,170064.12,162202.53,4.85,-0.4992940309807826,0.32,21491.0,-0.01323730938566059,1734,3879,-5608,0.020157269263903564,5,30.806290770556142,0.20302359038958553,heuristic,0
411060,ACE 미국빅테크TOP7Plus,ETF,28210.0,28200.0,28490.93,27936.71,1.98,-0.9860330989546507,0.04,42352.0,-0.06481021050886793,-130517,380087,-262800,0.1448147498182654,5,21.632589992730615,0.22172221247273982,heuristic,0
