date,ticker,name,open,high,low,close,volume,amount,gics_sector,kospi_close
2023-05-03,117460,KODEX 에너지화학,17954,17954,17439,17439,4661,82,Energy,31057
2023-05-04,117460,KODEX 에너지화학,17439,17650,17297,17571,6837,120,Energy,30938
2023-05-08,117460,KODEX 에너지화학,17684,17861,17473,17473,5987,106,Energy,31327
2023-05-09,117460,KODEX 에너지화학,17473,17562,17106,17312,21422,370,Energy,31234
2023-05-10,117460,KODEX 에너지화학,17243,17322,16871,17008,22113,376,Energy,31039
2023-05-11,117460,KODEX 에너지화학,17013,17219,16689,16753,7748,132,Energy,30952
2023-05-12,117460,KODEX 에너지화학,16685,16753,16567,16616,8127,135,Energy,30805
2023-05-15,117460,KODEX 에너지화학,16528,16528,16263,16469,8589,141,Energy,30891
2023-05-16,117460,KODEX 에너지화학,16655,16787,16523,16636,2097,35,Energy,30977
2023-05-17,117460,KODEX 에너지화학,16636,17032,16591,16993,6950,117,Energy,31075
2023-05-18,117460,KODEX 에너지화학,17032,17101,16925,16969,6465,110,Energy,31376
2023-05-19,117460,KODEX 에너지화학,16954,17101,16738,16738,5813,98,Energy,31817
2023-05-22,117460,KODEX 에너지화학,16665,17111,16665,17047,10083,172,Energy,32022
2023-05-23,117460,KODEX 에너지화학,17077,17483,17077,17233,14096,245,Energy,32116
2023-05-24,117460,KODEX 에너지화학,17238,17331,17175,17268,5120,88,Energy,31999
2023-05-25,117460,KODEX 에너지화학,17282,17282,17018,17037,4650,80,Energy,31969
2023-05-26,117460,KODEX 에너지화학,17037,17086,16787,16910,11272,191,Energy,32078
2023-05-30,117460,KODEX 에너지화학,16959,17096,16890,17013,6340,108,Energy,32511
2023-05-31,117460,KODEX 에너지화학,16925,17135,16920,16920,6855,117,Energy,32279
2023-06-01,117460,KODEX 에너지화학,16939,17140,16930,17003,48102,818,Energy,32175
2023-06-02,117460,KODEX 에너지화학,16993,17478,16993,17473,11160,193,Energy,32587
2023-06-05,117460,KODEX 에너지화학,17508,17679,17503,17625,10608,187,Energy,32680
2023-06-07,117460,KODEX 에너지화학,17625,18267,17625,18233,39268,709,Energy,32610
2023-06-08,117460,KODEX 에너지화학,18150,18473,18042,18140,28695,523,Energy,32568
2023-06-09,117460,KODEX 에너지화학,18326,18458,18238,18370,61506,1128,Energy,32999
2023-06-12,117460,KODEX 에너지화학,18375,18522,18316,18365,4976,92,Energy,32787
2023-06-13,117460,KODEX 에너지화학,18449,18600,18336,18493,16860,312,Energy,32943
2023-06-14,117460,KODEX 에너지화학,18561,18782,17900,17949,38500,709,Energy,32782
2023-06-15,117460,KODEX 에너지화학,18042,18302,17836,18037,20090,362,Energy,32667
2023-06-16,117460,KODEX 에너지화학,18106,18360,18047,18360,16791,305,Energy,32825
2023-06-19,117460,KODEX 에너지화학,18287,18654,18199,18620,44642,828,Energy,32644
2023-06-20,117460,KODEX 에너지화학,18502,18811,18468,18517,20959,389,Energy,32587
2023-06-21,117460,KODEX 에너지화학,18439,18507,18194,18213,43405,793,Energy,32282
2023-06-22,117460,KODEX 에너지화학,18091,18346,18066,18326,8302,151,Energy,32362
2023-06-23,117460,KODEX 에너지화학,18326,18463,18061,18061,6791,124,Energy,32208
2023-06-26,117460,KODEX 에너지화학,17983,17993,17880,17905,47473,851,Energy,32366
2023-06-27,117460,KODEX 에너지화학,17812,17900,17591,17714,11518,204,Energy,32353
2023-06-28,117460,KODEX 에너지화학,17782,17782,17145,17145,11540,200,Energy,32180
2023-06-29,117460,KODEX 에너지화학,17238,17410,17062,17062,5823,100,Energy,32175
2023-06-30,117460,KODEX 에너지화학,17081,17464,17057,17400,5030,87,Energy,32269
2023-07-03,117460,KODEX 에너지화학,17527,18434,17527,18331,39133,707,Energy,32772
