date,거래량,individual_net_buy,foreign_net_buy,institution_net_buy,finance_invest_net_buy,insurance_net_buy,trust_net_buy,other_finance_net_buy,bank_net_buy,pension_net_buy,private_fund_net_buy,nation_net_buy,other_corp_net_buy,other_foreign_net_buy,총 FF,flow_source,ticker,name,gics_sector
2023-05-03,4568000,-2000,0,2000,6000,-6000,0,0,2000,0,0,0,0,0,2000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-04,6700000,5000,0,-5000,-12000,0,0,0,7000,0,0,0,0,0,-5000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-08,5867000,23000,0,-23000,-27000,0,0,0,4000,0,0,0,0,0,-23000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-09,20994000,-24000,0,24000,263000,-240000,0,0,1000,0,0,0,0,0,24000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-10,21671000,53000,0,-53000,184000,-244000,0,0,6000,0,0,0,0,0,-53000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-11,7593000,-3000,1000,2000,-6000,0,0,0,8000,0,0,0,0,0,3000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-12,7964000,22000,-1000,-21000,-64000,0,0,0,44000,0,0,0,0,0,-22000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-15,8417000,-40000,4000,36000,33000,-1000,0,0,4000,0,0,0,0,0,40000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-16,2055000,3000,0,-3000,-7000,0,0,0,4000,0,0,0,0,0,-3000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-17,6811000,2000,-1000,0,-1000,0,0,0,1000,0,0,0,0,0,-1000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-18,6336000,-4000,-1000,5000,6000,0,0,0,-1000,0,0,0,0,0,4000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-19,5697000,15000,-1000,-13000,-17000,0,0,0,4000,0,0,0,0,0,-14000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
2023-05-22,9881000,-3000,2000,0,-17000,0,0,0,17000,0,0,0,0,1000,2000,kiwoom_ka10060_institution_plus_foreign_net_buy,117460,KODEX 에너지화학,Energy
