theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
586,광통신(광케이블/광섬유 등),19.83,-4.78,13,0,0,0.5,15.549999999999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
92,통신장비,14.93,-1.59,45,0,0,0.60181,9.7785064,"5,485.03",432.57,8.56,2026-04-01 15:07:25
373,5G(5세대 이동통신),13.4,-1.93,51,0,1,0.568068,8.537337919999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
599,소캠(SOCAMM),12.49,-3.65,11,0,0,0.5,8.21,"5,485.03",432.57,8.56,2026-04-01 15:07:25
154,건설 대표주,11.58,-1.58,6,0,0,0.784495,4.864722799999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
155,반도체 대표주(생산),11.21,-2.24,3,0,0,1.35572,-0.3949631999999994,"5,485.03",432.57,8.56,2026-04-01 15:07:25
584,스페이스X(SpaceX),10.65,-3.72,12,0,0,1.139472,0.89611968,"5,485.03",432.57,8.56,2026-04-01 15:07:25
200,우주항공산업(누리호/인공위성 등),10.44,-3.93,34,0,1,0.724925,4.234641999999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
545,온디바이스 AI,10.2,-4.48,24,0,0,0.894704,2.5413337599999988,"5,485.03",432.57,8.56,2026-04-01 15:07:25
556,뉴로모픽 반도체,9.93,-2.76,6,0,1,1.083941,0.6514650399999979,"5,485.03",432.57,8.56,2026-04-01 15:07:25
580,유심(USIM),9.78,-0.79,5,0,0,0.369213,6.619536719999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
547,CXL(컴퓨트익스프레스링크),9.56,-3.69,13,0,0,0.856396,2.22925024,"5,485.03",432.57,8.56,2026-04-01 15:07:25
269,LED장비,9.24,-0.78,11,0,0,0.732768,2.96750592,"5,485.03",432.57,8.56,2026-04-01 15:07:25
379,항공기부품,8.75,-3.17,14,0,0,0.563288,3.92825472,"5,485.03",432.57,8.56,2026-04-01 15:07:25
597,오가노이드,8.61,-1.15,8,0,0,0.5,4.329999999999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
187,핵융합에너지,8.56,-2.81,8,0,0,0.717944,2.41439936,"5,485.03",432.57,8.56,2026-04-01 15:07:25
178,전선,8.55,-2.4,8,0,0,1.020705,-0.1872347999999988,"5,485.03",432.57,8.56,2026-04-01 15:07:25
536,HBM(고대역폭메모리),8.46,-3.24,31,0,1,0.981374,0.05943856000000025,"5,485.03",432.57,8.56,2026-04-01 15:07:25
