theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11
595,우주태양광(페로브스카이트 등),-3.57,171090,선익시스템 *,테마 편입 사유,131000.0,"상승  2,500",+1.95%,131200.0,131300.0,508668.0,68659.0,756877.0,,
595,우주태양광(페로브스카이트 등),-3.57,015760,한국전력,테마 편입 사유,63000.0,상승  900,+1.45%,62900.0,63000.0,2847073.0,180211.0,3404380.0,,
595,우주태양광(페로브스카이트 등),-3.57,255440,야스 *,테마 편입 사유,11770.0,하락  260,-2.16%,11790.0,11820.0,129693.0,1551.0,167274.0,,
595,우주태양광(페로브스카이트 등),-3.57,241770,메카로 *,테마 편입 사유,24600.0,하락  550,-2.19%,24750.0,24800.0,15335.0,380.0,44825.0,,
595,우주태양광(페로브스카이트 등),-3.57,078600,대주전자재료 *,테마 편입 사유,92400.0,"하락  2,300",-2.43%,92300.0,92400.0,199070.0,18549.0,602381.0,,
595,우주태양광(페로브스카이트 등),-3.57,322000,HD현대에너지솔루션,테마 편입 사유,86300.0,"하락  3,300",-3.68%,86400.0,86500.0,581707.0,51253.0,1778157.0,,
595,우주태양광(페로브스카이트 등),-3.57,357550,석경에이티 *,테마 편입 사유,56500.0,"하락  2,800",-4.72%,55900.0,56000.0,20859.0,1190.0,15609.0,,
595,우주태양광(페로브스카이트 등),-3.57,086390,유니테스트 *,테마 편입 사유,21250.0,"하락  1,450",-6.39%,21250.0,21300.0,697582.0,15075.0,2172467.0,,
595,우주태양광(페로브스카이트 등),-3.57,489500,엘케이켐 *,테마 편입 사유,45500.0,"하락  4,000",-8.08%,45500.0,45550.0,318364.0,14810.0,971955.0,,
595,우주태양광(페로브스카이트 등),-3.57,009830,한화솔루션,테마 편입 사유,53000.0,"하락  5,500",-9.40%,53300.0,53400.0,7658324.0,415240.0,18412176.0,,
269,LED장비,-2.58,306620,지아이에스 *,테마 편입 사유,2710.0,상승  95,+3.63%,2695.0,2705.0,745585.0,1975.0,1123186.0,,
269,LED장비,-2.58,036930,주성엔지니어링 *,테마 편입 사유,55800.0,상승  800,+1.45%,55700.0,55800.0,1317568.0,72270.0,2830945.0,,
269,LED장비,-2.58,065130,탑엔지니어링 *,테마 편입 사유,3460.0,하락  5,-0.14%,3455.0,3460.0,102079.0,350.0,100908.0,,
269,LED장비,-2.58,053610,프로텍 *,테마 편입 사유,59300.0,하락  300,-0.50%,59400.0,59500.0,81246.0,4847.0,118972.0,,
269,LED장비,-2.58,064760,티씨케이 *,테마 편입 사유,213500.0,"하락  2,500",-1.16%,213500.0,214500.0,79106.0,17194.0,104839.0,,
269,LED장비,-2.58,039030,이오테크닉스 *,테마 편입 사유,372500.0,"하락  5,500",-1.46%,369500.0,370000.0,125668.0,46273.0,144016.0,,
269,LED장비,-2.58,049950,미래컴퍼니 *,테마 편입 사유,16920.0,하락  710,-4.03%,16800.0,16810.0,96656.0,1646.0,154403.0,,
269,LED장비,-2.58,131290,티에스이 *,테마 편입 사유,90800.0,"하락  4,500",-4.72%,90800.0,90900.0,76687.0,7044.0,149204.0,,
269,LED장비,-2.58,049080,기가레인 *,테마 편입 사유,376.0,하락  22,-5.53%,374.0,377.0,1724059.0,655.0,1160251.0,,
