theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
155,반도체 대표주(생산),-0.22,000660,SK하이닉스,테마 편입 사유,995000.0,"상승  9,000",0.91,995000.0,996000.0,4445180.0,4512788.0,4352152.0,,,1.35572,-2.3755948000000005,"5,642.21",88.29,1.59,2026-03-25 15:49:29
155,반도체 대표주(생산),-0.22,005930,삼성전자,테마 편입 사유,189000.0,하락  700,-0.37,188700.0,188800.0,22763044.0,4391289.0,25458914.0,,,1.35572,-2.3755948000000005,"5,642.21",88.29,1.59,2026-03-25 15:49:29
155,반도체 대표주(생산),-0.22,000990,DB하이텍,테마 편입 사유,82400.0,"하락  1,000",-1.2,82400.0,82500.0,334760.0,27669.0,256382.0,,,1.35572,-2.3755948000000005,"5,642.21",88.29,1.59,2026-03-25 15:49:29
593,귀금속(금/은),-0.66,037950,엘컴텍 *,테마 편입 사유,743.0,상승  28,3.92,743.0,745.0,352292.0,258.0,212425.0,,,0.5,-1.455,"5,642.21",88.29,1.59,2026-03-25 15:49:29
593,귀금속(금/은),-0.66,010130,고려아연,테마 편입 사유,1593000.0,"상승  50,000",3.24,1608000.0,1609000.0,22292.0,35285.0,25418.0,,,0.5,-1.455,"5,642.21",88.29,1.59,2026-03-25 15:49:29
593,귀금속(금/은),-0.66,000670,영풍,테마 편입 사유,62800.0,"하락  1,200",-1.87,63300.0,63400.0,76324.0,4715.0,79115.0,,,0.5,-1.455,"5,642.21",88.29,1.59,2026-03-25 15:49:29
593,귀금속(금/은),-0.66,124500,아이티센글로벌 *,테마 편입 사유,51200.0,"하락  4,400",-7.91,51200.0,51300.0,689539.0,35573.0,1390952.0,,,0.5,-1.455,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,054920,한컴위드 *,테마 편입 사유,4855.0,상승  400,8.98,4845.0,4855.0,906298.0,4310.0,247307.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,223310,사토시홀딩스 *,테마 편입 사유,1560.0,상승  90,6.12,1559.0,1560.0,97587.0,150.0,52358.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,203650,드림시큐리티 *,테마 편입 사유,1702.0,상승  89,5.52,1700.0,1701.0,1846384.0,3085.0,900283.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,112040,위메이드 *,테마 편입 사유,22100.0,상승  700,3.27,22000.0,22150.0,120968.0,2645.0,129391.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,163730,핑거 *,테마 편입 사유,10270.0,상승  310,3.11,10230.0,10270.0,59072.0,599.0,56419.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,158430,아톤 *,테마 편입 사유,6700.0,상승  200,3.08,6690.0,6700.0,232630.0,1544.0,262781.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,046440,KG모빌리언스 *,테마 편입 사유,4980.0,상승  80,1.63,4955.0,4960.0,70804.0,348.0,97227.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,294570,쿠콘 *,테마 편입 사유,29850.0,상승  450,1.53,29800.0,29850.0,34664.0,1022.0,68661.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,042510,라온시큐어 *,테마 편입 사유,9100.0,상승  110,1.22,9080.0,9100.0,93397.0,838.0,68019.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,035420,NAVER,테마 편입 사유,215500.0,"상승  2,000",0.94,215000.0,215500.0,464260.0,100301.0,468548.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,053300,한국정보인증 *,테마 편입 사유,6060.0,상승  30,0.5,6060.0,6070.0,91463.0,556.0,150920.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,377300,카카오페이,테마 편입 사유,54000.0,상승  100,0.19,54000.0,54100.0,510661.0,27551.0,1046481.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,064260,다날 *,테마 편입 사유,6730.0,상승  10,0.15,6730.0,6750.0,1780285.0,11879.0,1360155.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,035600,KG이니시스 *,테마 편입 사유,10320.0,보합0,0.0,10300.0,10310.0,77566.0,799.0,45901.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,308100,형지글로벌 *,테마 편입 사유,964.0,하락  1,-0.1,964.0,965.0,197176.0,189.0,147737.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,199480,뱅크웨어글로벌 *,테마 편입 사유,4650.0,하락  35,-0.75,4640.0,4650.0,26535.0,123.0,22403.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,214180,헥토이노베이션 *,테마 편입 사유,19070.0,하락  180,-0.94,19020.0,19070.0,253147.0,4710.0,176911.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,064400,LG씨엔에스,테마 편입 사유,62500.0,"하락  1,000",-1.57,62400.0,62500.0,742165.0,46752.0,291945.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,205500,넥써쓰 *,테마 편입 사유,1702.0,하락  30,-1.73,1669.0,1670.0,288195.0,494.0,439665.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,201490,미투온 *,테마 편입 사유,3000.0,하락  60,-1.96,2995.0,3000.0,413860.0,1232.0,264664.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,060250,NHN KCP *,테마 편입 사유,17180.0,하락  390,-2.22,17150.0,17160.0,1204908.0,20308.0,816826.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,462860,더즌 *,테마 편입 사유,3215.0,하락  95,-2.87,3205.0,3210.0,546265.0,1766.0,639029.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,232830,아이티센피엔에스 *,테마 편입 사유,2860.0,하락  110,-3.7,2860.0,2875.0,107133.0,309.0,480972.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,124500,아이티센글로벌 *,테마 편입 사유,51200.0,"하락  4,400",-7.91,51200.0,51300.0,689539.0,35573.0,1390952.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
582,스테이블코인,0.16,234340,헥토파이낸셜 *,테마 편입 사유,28050.0,"하락  2,600",-8.48,28050.0,28100.0,4531311.0,122630.0,2683591.0,,,0.66569,-0.8984470999999999,"5,642.21",88.29,1.59,2026-03-25 15:49:29
323,셰일가스(Shale Gas),0.13,083650,비에이치아이 *,테마 편입 사유,104800.0,"상승  5,600",5.65,104000.0,104100.0,313008.0,32393.0,634194.0,,,0.603403,-0.8294107700000001,"5,642.21",88.29,1.59,2026-03-25 15:49:29
323,셰일가스(Shale Gas),0.13,101170,우림피티에스 *,테마 편입 사유,13760.0,상승  470,3.54,13700.0,13760.0,95645.0,1306.0,109297.0,,,0.603403,-0.8294107700000001,"5,642.21",88.29,1.59,2026-03-25 15:49:29
323,셰일가스(Shale Gas),0.13,034020,두산에너빌리티,테마 편입 사유,102600.0,"상승  2,500",2.5,102900.0,103000.0,3196765.0,329132.0,5096704.0,,,0.603403,-0.8294107700000001,"5,642.21",88.29,1.59,2026-03-25 15:49:29
323,셰일가스(Shale Gas),0.13,002360,SH에너지화학,테마 편입 사유,415.0,상승  6,1.47,415.0,416.0,4264552.0,1766.0,4303707.0,,,0.603403,-0.8294107700000001,"5,642.21",88.29,1.59,2026-03-25 15:49:29
323,셰일가스(Shale Gas),0.13,018670,SK가스,테마 편입 사유,247000.0,"상승  3,500",1.44,245000.0,245500.0,24197.0,5917.0,37966.0,,,0.603403,-0.8294107700000001,"5,642.21",88.29,1.59,2026-03-25 15:49:29
323,셰일가스(Shale Gas),0.13,017940,E1,테마 편입 사유,100000.0,상승  400,0.4,99700.0,99900.0,19760.0,1965.0,37384.0,,,0.603403,-0.8294107700000001,"5,642.21",88.29,1.59,2026-03-25 15:49:29
323,셰일가스(Shale Gas),0.13,036460,한국가스공사,테마 편입 사유,36000.0,상승  50,0.14,36000.0,36050.0,224026.0,8080.0,263846.0,,,0.603403,-0.8294107700000001,"5,642.21",88.29,1.59,2026-03-25 15:49:29
