theme_no,테마명,테마등락률,종목코드,종목명,종목명.1,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,토론,Unnamed: 11,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
210,자전거,22.36,065450,빅텍 *,테마 편입 사유,6130.0,"상승  1,310",27.18,6200.0,6210.0,36213183.0,218471.0,2197076.0,,,0.192109,23.21872723,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
210,자전거,22.36,123750,알톤 *,테마 편입 사유,2815.0,상승  420,17.54,2805.0,2815.0,2228074.0,6092.0,342858.0,,,0.192109,23.21872723,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
449,2차전지(생산),0.94,006400,삼성SDI,테마 편입 사유,443000.0,"상승  11,000",2.55,443000.0,443500.0,1822076.0,809573.0,779644.0,,,0.950035,5.186656449999999,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
449,2차전지(생산),0.94,096770,SK이노베이션,테마 편입 사유,115500.0,"상승  1,000",0.87,114400.0,114500.0,906118.0,106146.0,339509.0,,,0.950035,5.186656449999999,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
449,2차전지(생산),0.94,373220,LG에너지솔루션,테마 편입 사유,404500.0,"하락  2,500",-0.61,405000.0,405500.0,532786.0,217697.0,343583.0,,,0.950035,5.186656449999999,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
36,해운,3.35,003280,흥아해운,테마 편입 사유,4470.0,상승  760,20.49,4485.0,4490.0,306000513.0,1324355.0,144522577.0,,,0.287513,4.63518311,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
36,해운,3.35,465770,STX그린로지스,테마 편입 사유,6760.0,상승  360,5.63,6710.0,6720.0,3421146.0,23942.0,1064139.0,,,0.287513,4.63518311,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
36,해운,3.35,044450,KSS해운,테마 편입 사유,11100.0,상승  130,1.19,11070.0,11100.0,623639.0,6968.0,457258.0,,,0.287513,4.63518311,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
36,해운,3.35,011200,HMM,테마 편입 사유,20150.0,하락  200,-0.98,20100.0,20150.0,1486709.0,30072.0,1699870.0,,,0.287513,4.63518311,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
36,해운,3.35,028670,팬오션,테마 편입 사유,4925.0,하락  135,-2.67,4945.0,4950.0,3039468.0,15218.0,3015633.0,,,0.287513,4.63518311,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
36,해운,3.35,005880,대한해운,테마 편입 사유,2330.0,하락  85,-3.52,2310.0,2320.0,56226442.0,136501.0,30453110.0,,,0.287513,4.63518311,"5,234.05",-244.65,-4.47,2026-04-02 15:42:58
