timestamp,date,theme_no,weight,agreement_rate,n_themes,n_days_used,filter_total,filter_passed,n_overlap_removed,n_weight_excluded
2026-02-23 15:38:26,20260223,319,0.037037,50.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,397,0.037037,84.6,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,38,0.037037,80.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,56,0.037037,57.1,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,149,0.037037,66.7,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,563,0.037037,75.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,326,0.037037,36.4,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,166,0.037037,77.8,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,447,0.037037,58.5,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,373,0.037037,64.2,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,408,0.037037,80.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,45,0.037037,55.6,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,47,0.037037,100.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,298,0.037037,50.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,147,0.037037,77.8,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,389,0.037037,70.6,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,474,0.037037,61.9,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,113,0.037037,75.8,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,580,0.037037,60.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,390,0.037037,63.6,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,557,0.037037,50.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,279,0.037037,49.2,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,540,0.037037,72.2,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,376,0.037037,63.4,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,493,0.037037,60.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,19,0.037037,56.0,27,1,65,65,3,0
2026-02-23 15:38:26,20260223,543,0.037037,54.8,27,1,65,65,3,0
2026-02-24 15:11:46,20260224,269,0.066667,72.7,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,449,0.066667,100.0,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,536,0.066667,89.3,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,595,0.066667,70.0,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,445,0.066667,62.5,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,242,0.066667,60.0,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,325,0.066667,62.5,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,505,0.066667,58.7,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,545,0.066667,75.0,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,14,0.066667,58.7,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,590,0.066667,75.0,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,446,0.066667,61.0,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,184,0.066667,44.4,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,99,0.066667,37.5,15,2,105,60,15,0
2026-02-24 15:11:46,20260224,352,0.066667,37.9,15,2,105,60,15,0
2026-02-24 15:45:22,20260224,269,0.071429,72.7,14,2,104,60,16,0
2026-02-24 15:45:22,20260224,449,0.071429,100.0,14,2,104,60,16,0
2026-02-24 15:45:22,20260224,536,0.071429,85.7,14,2,104,60,16,0
2026-02-24 15:45:22,20260224,595,0.071429,70.0,14,2,104,60,16,0
2026-02-24 15:45:22,20260224,445,0.071429,62.5,14,2,104,60,16,0
2026-02-24 15:45:22,20260224,545,0.071429,75.0,14,2,104,60,16,0
2026-02-24 15:45:22,20260224,590,0.071429,75.0,14,2,104,60,16,0
