,VIX (lag=0),MOVE (lag=0),OVX (lag=0),CPI YOY (lag=0),Net Liquidity Δ (lag=0)
미국,0.046131687983955366,-0.08044513883868823,0.06823411616346767,-0.17403439853167202,0.08710723520351875
일본,0.0326313470013553,-0.03706594956390551,0.04313571635076732,-0.13259821417756615,-0.011804770162428398
영국,0.03437637219820401,-0.043010022559941366,0.01928349462878003,-0.13559747283431212,0.010724996344225236
프랑스,0.062050956428251196,-0.027982496629941452,0.04647862902480844,-0.13796967764956944,0.025739190856649025
캐나다,0.0884186441182651,-0.02796304533419078,0.08531297797891878,-0.15729149679183133,0.042296015245855835
스위스,0.024952689707616712,-0.050447620646727705,-0.0077494777387573256,-0.1459430271391103,0.04603022252669483
독일,0.07753151279492035,-0.008943198764375682,0.08346255238356116,-0.1537733672623976,0.06354377443785532
호주,0.1373195117329551,-0.009859198878754815,0.12381860670022012,-0.16041082139477014,0.09169272980024047
네덜란드,0.07333097536211643,-0.04081550031105155,0.06693327961664379,-0.17593380007705256,0.022573859215872696
스웨덴,0.11815184246775733,-0.005454809220590845,0.09097254908767313,-0.19064962809657127,0.03259588688559893
덴마크,0.06040742996978792,-0.03227588721061088,0.06345146296647858,-0.13459259030214749,0.03611882603235425
스페인,0.0729422399132715,0.0313817340390902,0.01737543095772552,-0.09572866350069897,0.0019142108354642542
이탈리아,0.04441711056253919,-0.011452514760526002,0.029383395765454078,-0.10775056129608952,-0.0006025227371373334
홍콩,0.10149568797690955,-0.04092590365700124,-0.0008124715762719031,-0.18811001181498313,-0.0007061917730119688
싱가포르,0.0930387727973644,-0.005326668910181639,0.014569493686981362,-0.15753544789398052,0.01705168916461186
벨기에,0.056878459358708854,-0.036614628648468046,0.02809329072955115,-0.19733778331793989,0.01156829911909346
핀란드,0.028977092106167293,-0.10352528857499155,0.05137009354305069,-0.16359171425203847,0.08741752909891651
이스라엘,0.08168903371796714,0.01750465819958571,0.1000201554147508,-0.16159566063150266,0.10169260290131212
노르웨이,0.07709928772412875,-0.04684733604876735,0.07559794879188526,-0.18005754158818785,0.021243819485514348
아일랜드,-0.06559103499028711,-0.1082361642305952,0.02887709119131652,-0.14544271891400837,0.02021363664512347
뉴질랜드,0.09768194212653374,-0.034434503426449874,0.10168740018712652,-0.16652231198566136,0.04767884659330161
오스트리아,0.028896950869171958,-0.027285380805669845,0.05731546852859657,-0.16898205981114622,0.023092414537665584
포르투갈,0.061715699676656015,-0.04438170261575751,0.09368415641649977,-0.12446458293772579,0.01647414782608802
중국,0.09539900203980438,-0.022859646855919957,0.047763730376395655,-0.17513753456017062,-0.0007648585719738135
인도,0.11079559418414628,-0.04876006055157698,0.05485296422543718,-0.15593238524261768,0.06484216612351999
대만,0.10031155741012282,-0.04893208816876137,0.06289743505917582,-0.2003274711013329,0.05481438912441561
한국,0.11972763732370985,-0.016659885193949016,0.072609160904535,-0.1763013309013763,0.053683742268171956
브라질,0.09235894960936981,0.0071645602529061886,0.10996325409540383,-0.11773267832932648,-0.004976550262793254
사우디아라비아,0.1702290802112206,-0.09336668694538985,0.11069854563057475,-0.02475860132668053,0.2753669306665808
남아프리카공화국,0.1471001123081326,0.012003722154469773,0.08981799030763121,-0.12575456946410904,0.058002140800152056
멕시코,0.09204766726406698,-0.012249755201934992,0.0667139590963836,-0.0632924125782395,0.019016403227503705
인도네시아,0.17962912125865188,-0.0004599476692667747,0.11918291294050969,-0.128235997394532,0.06152857377783681
말레이시아,0.11376251179304146,-0.015564310842832954,0.0998888113187066,-0.1425250300229512,0.025462274255140117
아랍에미리트,-0.048398725258977,-0.13729882499753535,-0.0530618011238122,-0.15713439689676748,0.06532305669574211
태국,0.15153158482944404,-0.030287302879387353,0.10001936117081923,-0.10108371605475852,0.03759724433573378
쿠웨이트,-0.1078606525453828,-0.19169828158058702,-0.034167250180921836,-0.037017131085824384,0.036557600206168536
카타르,0.06688432805431163,-0.045001363001142235,-0.0366997958382961,-0.0957873261295142,0.0265198815840565
폴란드,0.008002879167834966,-0.0002650185554249446,0.03918052064734129,-0.1100413902344631,0.017437374873545266
칠레,0.14735503195062186,0.03758563749299875,0.09094880781721981,-0.06936489517926052,0.0072377707046213675
튀르키예,0.0843787136803679,0.044655477294159036,0.0825668981832175,-0.014037641997319052,-0.005781648423337985
그리스,0.03206987403690174,0.01840507593662188,0.044465856677979,-0.0307079918809148,-0.009429580840719948
필리핀,0.07452074730182484,-0.07019093660828404,0.0738606062760218,-0.1138820265782356,0.0169284377258601
헝가리,-0.01198047681938833,-0.027447609825333903,0.05124605638376856,-0.18313976223495107,0.026002229393096966
이집트,0.031195786338043142,-0.012269153848858568,-0.0313225689934353,-0.07967042143024064,-0.05202097252536155
체코,0.05479582001152144,-0.006350856165215074,0.057791105593332136,-0.06331340990883416,0.05226790785014125
콜롬비아,0.12369729557492551,0.06365177439827284,0.06422047870332583,-0.06588208199608013,0.005144187813470629
페루,0.12633019713508417,0.04702206096807403,0.041766453411848425,-0.06720424429900841,-0.09721604111808783
