Date,DM_WEIGHT,EM_WEIGHT
2006-02-28,87.2497,12.7503
2006-03-31,87.4538,12.5462
2006-04-28,87.2388,12.7612
2006-05-31,87.9546,12.0454
2006-06-30,87.6654,12.3346
2006-07-31,87.6429,12.3571
2006-08-31,87.6915,12.3085
2006-09-29,87.4459,12.5541
2006-10-31,87.3038,12.6962
2006-11-30,86.7856,13.2144
2006-12-29,86.5191,13.4809
2007-01-31,86.6407,13.3593
2007-02-28,86.7919,13.2081
2007-03-30,86.5225,13.4775
2007-04-30,86.4164,13.5836
2007-05-31,85.8997,14.1003
2007-06-29,85.1364,14.8636
2007-07-31,84.2538,15.7462
2007-08-31,84.2676,15.7324
2007-09-28,83.4462,16.5538
2007-10-31,82.3611,17.6389
2007-11-30,82.9041,17.0959
2007-12-31,82.1748,17.8252
2008-01-31,82.6857,17.3143
2008-02-29,81.9608,18.0392
2008-03-31,82.3713,17.6287
2008-04-30,81.8812,18.1188
2008-05-30,82.0936,17.9064
2008-06-30,82.221,17.779
2008-07-31,81.9906,18.0094
2008-08-29,82.5437,17.4563
2008-09-30,82.9854,17.0146
2008-10-31,84.2389,15.7611
2008-11-28,84.3585,15.6415
2008-12-31,83.9368,16.0632
2009-01-30,83.5068,16.4932
2009-02-27,83.0176,16.9824
2009-03-31,81.8445,18.1555
2009-04-30,81.267,18.733
2009-05-29,80.7395,19.2605
2009-06-30,80.3561,19.6439
2009-07-31,80.0584,19.9416
2009-08-31,80.7922,19.2078
2009-09-30,80.0156,19.9844
2009-10-30,79.7501,20.2499
2009-11-30,79.536,20.464
2009-12-31,79.0313,20.9687
2010-01-29,79.3515,20.6485
2010-02-26,79.2155,20.7845
2010-03-31,78.9255,21.0745
2010-04-30,78.4488,21.5512
2010-05-31,77.8456,22.1544
2010-06-30,77.7373,22.2627
2010-07-30,77.8911,22.1089
2010-08-31,77.6925,22.3075
2010-09-30,77.2524,22.7476
2010-10-29,77.3668,22.6332
2010-11-30,77.109,22.891
2010-12-31,76.9959,23.0041
2011-01-31,77.9138,22.0862
2011-02-28,78.7674,21.2326
2011-03-31,77.3033,22.6967
2011-04-29,77.6364,22.3636
2011-05-31,77.5023,22.4977
2011-06-30,77.4595,22.5405
2011-07-29,77.3084,22.6916
2011-08-31,77.3643,22.6357
2011-09-30,78.0892,21.9108
2011-10-31,77.6052,22.3948
2011-11-30,78.0513,21.9487
2011-12-30,77.7988,22.2012
2012-01-31,76.8801,23.1199
2012-02-29,76.8052,23.1948
2012-03-30,77.1955,22.8045
2012-04-30,77.0567,22.9433
2012-05-31,76.8763,23.1237
2012-06-29,77.2506,22.7494
2012-07-31,77.1997,22.8003
2012-08-31,77.7216,22.2784
2012-09-28,77.2431,22.7569
2012-10-31,77.4056,22.5944
2012-11-30,77.4882,22.5118
2012-12-31,76.9874,23.0126
2013-01-31,77.6349,22.3651
2013-02-28,77.5632,22.4368
2013-03-29,77.8967,22.1033
2013-04-30,78.4631,21.5369
2013-05-31,78.4711,21.5289
2013-06-28,78.9794,21.0206
2013-07-31,79.7153,20.2847
2013-08-30,79.8067,20.1933
2013-09-30,79.9343,20.0657
2013-10-31,79.6981,20.3019
2013-11-29,79.8466,20.1534
2013-12-31,80.3437,19.6563
2014-01-31,80.7267,19.2733
2014-02-28,80.8884,19.1116
2014-03-31,80.2484,19.7516
2014-04-30,80.3341,19.6659
2014-05-30,80.0285,19.9715
2014-06-30,79.623,20.377
2014-07-31,78.9836,21.0164
2014-08-29,78.5939,21.4061
2014-09-30,79.1226,20.8774
2014-10-31,78.6404,21.3596
2014-11-28,78.8122,21.1878
2014-12-31,78.8926,21.1074
2015-01-30,78.7094,21.2906
2015-02-27,79.2668,20.7332
2015-03-31,79.1378,20.8622
2015-04-30,78.6388,21.3612
2015-05-29,79.058,20.942
2015-06-30,78.7517,21.2483
2015-07-31,80.2035,19.7965
2015-08-31,80.52,19.48
2015-09-30,80.096,19.904
2015-10-30,80.1715,19.8285
2015-11-30,80.552,19.448
2015-12-31,80.0151,19.9849
2016-01-29,79.9864,20.0136
2016-02-29,79.7983,20.2017
2016-03-31,78.8055,21.1945
2016-04-29,79.2607,20.7393
2016-05-31,79.6022,20.3978
2016-06-30,78.067,21.933
2016-07-29,78.0695,21.9305
2016-08-31,77.6469,22.3531
2016-09-30,77.507,22.493
2016-10-31,77.0463,22.9537
2016-11-30,77.6178,22.3822
2016-12-30,78.1165,21.8835
2017-01-31,77.641,22.359
2017-02-28,77.2264,22.7736
2017-03-31,77.2296,22.7704
2017-04-28,77.1809,22.8191
2017-05-31,77.1191,22.8809
2017-06-30,76.7965,23.2035
2017-07-31,76.3804,23.6196
2017-08-31,75.9788,24.0212
2017-09-29,76.54,23.46
2017-10-31,76.1407,23.8593
2017-11-30,76.2966,23.7034
2017-12-29,75.8818,24.1182
2018-01-31,75.2401,24.7599
2018-02-28,75.2297,24.7703
2018-03-30,75.1698,24.8302
2018-04-30,75.5839,24.4161
2018-05-31,75.8418,24.1582
2018-06-29,75.6642,24.3358
2018-07-31,75.808,24.192
2018-08-31,75.8919,24.1081
2018-09-28,76.0532,23.9468
2018-10-31,76.1378,23.8622
2018-11-30,75.3333,24.6667
2018-12-31,74.7304,25.2696
2019-01-31,74.5039,25.4961
2019-02-28,74.9092,25.0908
2019-03-29,74.6327,25.3673
2019-04-30,74.6925,25.3075
2019-05-31,74.4804,25.5196
2019-06-28,74.493,25.507
2019-07-31,74.5595,25.4405
2019-08-30,74.4632,25.5368
2019-09-30,74.7999,25.2001
2019-10-31,74.629,25.371
2019-11-29,74.098,25.902
2019-12-31,73.3029,26.6971
2020-01-31,73.8436,26.1564
2020-02-28,72.9948,27.0052
2020-03-31,73.0163,26.9837
2020-04-30,72.5882,27.4118
2020-05-29,73.3125,26.6875
2020-06-30,72.0434,27.9566
2020-07-31,70.8456,29.1544
2020-08-31,71.3956,28.6044
2020-09-30,70.9636,29.0364
2020-10-30,69.5863,30.4137
2020-11-30,70.7028,29.2972
2020-12-31,69.5103,30.4897
2021-01-29,68.8134,31.1866
2021-02-26,69.1666,30.8334
2021-03-31,69.8446,30.1554
2021-04-30,69.9239,30.0761
2021-05-31,69.6321,30.3679
2021-06-30,69.4556,30.5444
2021-07-30,71.1494,28.8506
2021-08-31,71.0783,28.9217
2021-09-30,71.2666,28.7334
2021-10-29,71.6752,28.3248
2021-11-30,71.4687,28.5313
2021-12-31,71.8434,28.1566
2022-01-31,71.2298,28.7702
2022-02-28,71.1083,28.8917
2022-03-31,71.4064,28.5936
2022-04-29,71.168,28.832
2022-05-31,71.2054,28.7946
2022-06-30,70.2597,29.7403
2022-07-29,71.3866,28.6134
