Metric,Universe,Benchmark,Month,Indicator_Month,Port_Return(%),BM_Return(%),Excess_Return(%),Cum_Port(%),Cum_BM(%),Cum_Excess(%),n_countries
GDP,ALL,MSCI AC World ex USA,2000-07,2000-03,-9.8778,-4.0621,-5.8157,-9.8778,-4.0621,-5.8157,41
GDP,ALL,MSCI AC World ex USA,2000-08,2000-04,5.0587,1.1164,3.9423,-5.3187,-2.991,-2.1026,41
GDP,ALL,MSCI AC World ex USA,2000-09,2000-05,-5.2548,-5.6635,0.4086,-10.2941,-8.4851,-1.7026,41
GDP,ALL,MSCI AC World ex USA,2000-10,2000-06,-5.4299,-3.29,-2.1399,-15.165,-11.496,-3.806,41
GDP,ALL,MSCI AC World ex USA,2000-11,2000-07,-4.4049,-4.603,0.1981,-18.9019,-15.5698,-3.6155,41
GDP,ALL,MSCI AC World ex USA,2000-12,2000-08,-4.081,3.2816,-7.3626,-22.2115,-12.7991,-10.7119,41
GDP,ALL,MSCI AC World ex USA,2001-01,2000-09,0.1229,1.4536,-1.3307,-22.1159,-11.5316,-11.9,41
GDP,ALL,MSCI AC World ex USA,2001-02,2000-10,-5.1556,-7.9959,2.8403,-26.1313,-18.6054,-9.3978,41
GDP,ALL,MSCI AC World ex USA,2001-03,2000-11,-4.4054,-7.3705,2.9651,-29.3855,-24.6046,-6.7113,41
GDP,ALL,MSCI AC World ex USA,2001-04,2000-12,6.6593,6.5358,0.1235,-24.6831,-19.6769,-6.5961,41
GDP,ALL,MSCI AC World ex USA,2001-05,2001-01,-0.576,-3.1157,2.5397,-25.1169,-22.1795,-4.224,41
GDP,ALL,MSCI AC World ex USA,2001-06,2001-02,-5.3365,-4.023,-1.3135,-29.113,-25.3102,-5.482,41
GDP,ALL,MSCI AC World ex USA,2001-07,2001-03,-6.2589,-2.2979,-3.961,-33.5498,-27.0265,-9.2258,41
GDP,ALL,MSCI AC World ex USA,2001-08,2001-04,-2.6645,-2.6749,0.0104,-35.3203,-28.9785,-9.2163,41
GDP,ALL,MSCI AC World ex USA,2001-09,2001-05,-10.223,-10.7665,0.5435,-41.9325,-36.6251,-8.7229,41
GDP,ALL,MSCI AC World ex USA,2001-10,2001-06,0.7729,2.7722,-1.9993,-41.4837,-34.8682,-10.5478,41
GDP,ALL,MSCI AC World ex USA,2001-11,2001-07,2.3993,4.485,-2.0857,-40.0797,-31.947,-12.4135,41
GDP,ALL,MSCI AC World ex USA,2001-12,2001-08,-4.4391,1.2501,-5.6891,-42.7396,-31.0963,-17.3964,41
GDP,ALL,MSCI AC World ex USA,2002-01,2001-09,-6.3881,-4.3415,-2.0466,-46.3975,-34.0878,-19.087,42
GDP,ALL,MSCI AC World ex USA,2002-02,2001-10,3.1047,0.5907,2.5141,-44.7333,-33.6985,-17.0528,42
GDP,ALL,MSCI AC World ex USA,2002-03,2001-11,7.1408,5.5001,1.6407,-40.7868,-30.0518,-15.6919,42
GDP,ALL,MSCI AC World ex USA,2002-04,2001-12,2.4744,-0.011,2.4853,-39.3217,-30.0595,-13.5965,42
GDP,ALL,MSCI AC World ex USA,2002-05,2002-01,4.4683,0.6887,3.7796,-36.6104,-29.5778,-10.3308,42
GDP,ALL,MSCI AC World ex USA,2002-06,2002-02,-5.0697,-4.5115,-0.5582,-39.8241,-32.7549,-10.8313,42
GDP,ALL,MSCI AC World ex USA,2002-07,2002-03,-7.7409,-9.8401,2.0991,-44.4822,-39.3719,-8.9596,42
GDP,ALL,MSCI AC World ex USA,2002-08,2002-04,-0.5751,-0.2438,-0.3313,-44.8015,-39.5197,-9.2612,42
GDP,ALL,MSCI AC World ex USA,2002-09,2002-05,-6.8863,-10.7648,3.8786,-48.6026,-46.0303,-5.7418,42
GDP,ALL,MSCI AC World ex USA,2002-10,2002-06,-2.8141,5.2832,-8.0973,-50.0489,-43.1789,-13.3741,42
GDP,ALL,MSCI AC World ex USA,2002-11,2002-07,4.4991,4.6787,-0.1796,-47.8016,-40.5204,-13.5298,42
GDP,ALL,MSCI AC World ex USA,2002-12,2002-08,-2.6796,-3.3022,0.6226,-49.2003,-42.4846,-12.9914,42
GDP,ALL,MSCI AC World ex USA,2003-01,2002-09,-3.404,-3.5795,0.1755,-50.9295,-44.5433,-12.8387,42
GDP,ALL,MSCI AC World ex USA,2003-02,2002-10,-0.4474,-2.2377,1.7903,-51.1491,-45.7843,-11.2783,42
