정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스닥수익률(벤치마크),초과수익률,초과승리여부
2025-03-13,2024-09-12,A376300,디어유,중형주→대형주,중형주,대형주,0.01246093,0.0049958,-0.00746513,0.00640229,778361,3381521,4983.3,16893.4,11910.1,119.1,1,38700.0,37500.0,-0.031008,-0.009171,-0.021837,0
2025-03-13,2024-09-12,A082270,젬백스,중형주→대형주,중형주,대형주,0.02256721,0.0088882,-0.01367901,0.00579607,778361,3381521,4511.4,30055.6,25544.2,255.44,1,41600.0,39600.0,-0.048077,-0.009171,-0.038906,0
2025-03-13,2024-09-12,A950140,잉글우드랩,중형주→소형주,중형주,소형주,0.00205619,0.00134848,-0.00070771,0.00379493,778361,301085,2953.8,406.0,-2547.8,-25.48,0,7630.0,7880.0,0.032765,-0.009171,0.041936,1
2025-03-13,2024-09-12,A445680,큐리옥스바이오시스템즈,중형주→소형주,중형주,소형주,0.00307504,0.00200018,-0.00107485,0.00460567,778361,301085,3584.9,602.2,-2982.6,-29.83,0,14060.0,14380.0,0.02276,-0.009171,0.03193,1
2025-03-13,2024-09-12,A101360,에코앤드림,대형주→중형주,대형주,중형주,0.00292021,0.00686859,0.00394838,0.00352485,3381521,778361,11919.4,5346.2,-6573.1,-65.73,0,28600.0,27700.0,-0.031469,-0.009171,-0.022298,0
2025-03-13,2024-09-12,A090360,로보스타,소형주→중형주,소형주,중형주,0.00217565,0.00332346,0.00114781,0.00197889,301085,778361,595.8,2586.9,1991.0,19.91,1,25250.0,24450.0,-0.031683,-0.009171,-0.022512,0
2025-03-13,2024-09-12,A166480,코아스템켐온,중형주→소형주,중형주,소형주,0.00168533,0.00105321,-0.00063212,0.00525433,778361,301085,4089.8,317.1,-3772.7,-37.73,0,3780.0,3720.0,-0.015873,-0.009171,-0.006702,0
2025-03-13,2024-09-12,A013120,동원개발,중형주→소형주,중형주,소형주,0.00286375,0.0017833,-0.00108045,0.00340191,778361,301085,2647.9,536.9,-2111.0,-21.11,0,2325.0,2280.0,-0.019355,-0.009171,-0.010184,0
2025-03-13,2024-09-12,A183300,코미코,대형주→중형주,대형주,중형주,0.00267832,0.00718246,0.00450415,0.00353036,3381521,778361,11938.0,5590.6,-6347.5,-63.47,0,44600.0,49250.0,0.10426,-0.009171,0.113431,1
2025-03-13,2024-09-12,A033790,피노,중형주→소형주,중형주,소형주,0.00182645,0.00118537,-0.00064109,0.00369122,778361,301085,2873.1,356.9,-2516.2,-25.16,0,5900.0,6030.0,0.022034,-0.009171,0.031205,1
