정기변경일,직전정기변경일,종목코드,종목명,케이스,이전섹터,신규섹터,이전비중_T1,신규비중_T,비중변화량(Δw)_회귀기준,이전비중_prevRebal,이전AUM_cur(백만원),신규AUM_cur(백만원),이전금액(백만원),신규금액(백만원),차이(백만원),차이(억원),이득여부,전날종가(T-1),당일종가(T),종목수익률,코스피수익률(벤치마크),초과수익률,초과승리여부
2024-03-14,2023-09-14,A012630,HDC,소형주→중형주,소형주,중형주,0.00541237,0.0019622,-0.00345017,0.00436305,642652,5758902,2803.9,11300.1,8496.2,84.96,1,7840.0,8000.0,0.020408,0.009352,0.011056,1
2024-03-14,2023-09-14,A003280,흥아해운,소형주→중형주,소형주,중형주,0.00729294,0.00267007,-0.00462287,0.00461749,642652,5758902,2967.4,15376.6,12409.2,124.09,1,2625.0,2705.0,0.030476,0.009352,0.021124,1
2024-03-14,2023-09-14,A003000,부광약품,중형주→소형주,중형주,소형주,0.00193617,0.00529842,0.00336225,0.00203171,5758902,642652,11700.4,3405.0,-8295.4,-82.95,0,6470.0,6430.0,-0.006182,0.009352,-0.015534,0
2024-03-14,2023-09-14,A010120,LS ELECTRIC,대형주→중형주,대형주,중형주,0.00144792,0.01069095,0.00924303,0.00173759,20915496,5758902,36342.6,61568.1,25225.5,252.25,1,85300.0,86800.0,0.017585,0.009352,0.008233,1
2024-03-14,2023-09-14,A001450,현대해상,대형주→중형주,대형주,중형주,0.00169455,0.01279132,0.01109677,0.00176548,20915496,5758902,36925.9,73664.0,36738.0,367.38,1,33500.0,34850.0,0.040299,0.009352,0.030947,1
2024-03-14,2023-09-14,A249420,일동제약,중형주→소형주,중형주,소형주,0.00187069,0.00516735,0.00329666,0.00257818,5758902,642652,14847.5,3320.8,-11526.7,-115.27,0,15830.0,15880.0,0.003159,0.009352,-0.006193,0
2024-03-14,2023-09-14,A272210,한화시스템,중형주→대형주,중형주,대형주,0.01375517,0.00183219,-0.01192299,0.01070517,5758902,20915496,61650.0,38321.1,-23329.0,-233.29,0,17290.0,17470.0,0.010411,0.009352,0.001059,1
2024-03-14,2023-09-14,A267260,HD현대일렉트릭,중형주→대형주,중형주,대형주,0.02231427,0.00312774,-0.01918653,0.01038333,5758902,20915496,59796.6,65418.1,5621.6,56.22,1,147000.0,156300.0,0.063265,0.009352,0.053913,1
2024-03-14,2023-09-14,A004990,롯데지주,대형주→중형주,대형주,중형주,0.00167096,0.01240456,0.0107336,0.00165172,20915496,5758902,34546.6,71436.7,36890.0,368.9,1,28150.0,28800.0,0.023091,0.009352,0.013739,1
2024-03-14,2023-09-14,A005440,현대지에프홀딩스,소형주→중형주,소형주,중형주,0.0072153,0.00262432,-0.00459097,0.00280259,642652,5758902,1801.1,15113.2,13312.1,133.12,1,4005.0,4100.0,0.02372,0.009352,0.014368,1
2024-03-14,2023-09-14,A241590,화승엔터프라이즈,중형주→소형주,중형주,소형주,0.00185492,0.0053395,0.00348458,0.00195074,5758902,642652,11234.1,3431.4,-7802.7,-78.03,0,7270.0,7600.0,0.045392,0.009352,0.03604,1
2024-03-14,2023-09-14,A014830,유니드,소형주→중형주,소형주,중형주,0.00577927,0.00211444,-0.00366483,0.00497379,642652,5758902,3196.4,12176.8,8980.4,89.8,1,73900.0,76100.0,0.02977,0.009352,0.020418,1
2024-03-14,2023-09-14,A017940,E1,소형주→중형주,소형주,중형주,0.00543011,0.00195179,-0.00347832,0.00482766,642652,5758902,3102.5,11240.2,8137.6,81.38,1,68500.0,69300.0,0.011679,0.009352,0.002327,1
2024-03-14,2023-09-14,A286940,롯데이노베이트,소형주→중형주,소형주,중형주,0.00676074,0.00233248,-0.00442826,0.00467027,642652,5758902,3001.4,13432.6,10431.2,104.31,1,38000.0,36900.0,-0.028947,0.009352,-0.038299,0
2024-03-14,2023-09-14,A033270,유나이티드제약,중형주→소형주,중형주,소형주,0.00161786,0.00450199,0.00288413,0.00192821,5758902,642652,11104.3,2893.2,-8211.1,-82.11,0,23650.0,23900.0,0.010571,0.009352,0.001219,1
2024-03-14,2023-09-14,A097520,엠씨넥스,중형주→소형주,중형주,소형주,0.00184344,0.00520112,0.00335768,0.00215319,5758902,642652,12400.0,3342.5,-9057.5,-90.58,0,24350.0,24950.0,0.024641,0.009352,0.015289,1
2024-03-14,2023-09-14,A005690,파미셀,중형주→소형주,중형주,소형주,0.00158213,0.00425909,0.00267696,0.00206887,5758902,642652,11914.4,2737.1,-9177.3,-91.77,0,6260.0,6120.0,-0.022364,0.009352,-0.031716,0
2024-03-14,2023-09-14,A079550,LIG넥스원,중형주→대형주,중형주,대형주,0.01595329,0.00202003,-0.01393326,0.00794259,5758902,20915496,45740.6,42250.0,-3490.6,-34.91,0,172200.0,165400.0,-0.039489,0.009352,-0.048841,0
2024-03-14,2023-09-14,A357120,코람코라이프인프라리츠,중형주→소형주,중형주,소형주,0.00187905,0.00520489,0.00332585,0.00210935,5758902,642652,12147.5,3344.9,-8802.6,-88.03,0,5040.0,5070.0,0.005952,0.009352,-0.0034,0
2024-03-14,2023-09-14,A077500,유니퀘스트,중형주→소형주,중형주,소형주,0.00083241,0.00217586,0.00134345,0.00192991,5758902,642652,11114.1,1398.3,-9715.8,-97.16,0,9070.0,8610.0,-0.050717,0.009352,-0.060069,0
2024-03-14,2023-09-14,A071320,지역난방공사,소형주→중형주,소형주,중형주,0.00523826,0.00192527,-0.00331299,0.00336507,642652,5758902,2162.6,11087.4,8924.9,89.25,1,39150.0,40500.0,0.034483,0.009352,0.025131,1
