일자,차익거래,,,,,
,당일,,,,,
2026-03-04,341,,,,,
2026-03-03,610,,,,,
2026-02-27,-522,,,,,
2026-02-26,260,,,,,
2026-02-25,-3,,,,,
2026-02-24,-84,,,,,
2026-02-23,118,,,,,
2026-02-20,428,,,,,
2026-02-19,"1,249",,,,,
2026-02-13,-26,,,,,
2026-02-12,-109,,,,,
2026-02-11,-237,,,,,
2026-02-10,-159,,,,,
2026-02-09,-50,,,,,
2026-02-06,-192,,,,,
2026-02-05,-590,,,,,
2026-02-04,-101,,,,,
2026-02-03,411,,,,,
2026-02-02,"-2,104",,,,,
2026-01-30,"1,808",,,,,
2026-01-29,"2,967",,,,,
2026-01-28,"4,883",,,,,
2026-01-27,"3,360",,,,,
2026-01-26,"12,157",,,,,
2026-01-23,"4,173",,,,,
2026-01-22,-943,,,,,
2026-01-21,"1,475",,,,,
2026-01-20,537,,,,,
2026-01-19,-483,,,,,
2026-01-16,-911,,,,,
2026-01-15,-344,,,,,
2026-01-14,-350,,,,,
2026-01-13,-554,,,,,
2026-01-12,-82,,,,,
2026-01-09,3,,,,,
2026-01-08,-690,,,,,
2026-01-07,"-1,182",,,,,
2026-01-06,-60,,,,,
2026-01-05,-998,,,,,
2026-01-02,346,,,,,
2025-12-30,-605,,,,,
2025-12-29,-25,,,,,
2025-12-26,"1,005",,,,,
2025-12-24,460,,,,,
2025-12-23,30,,,,,
2025-12-22,62,,,,,
2025-12-19,"1,035",,,,,
2025-12-18,268,,,,,
2025-12-17,330,,,,,
2025-12-16,154,,,,,
2025-12-15,-923,,,,,
2025-12-12,810,,,,,
2025-12-11,60,,,,,
2025-12-10,-543,,,,,
2025-12-09,-682,,,,,
2025-12-08,-408,,,,,
2025-12-05,380,,,,,
2025-12-04,32,,,,,
2025-12-03,188,,,,,
2025-12-02,594,,,,,
2025-12-01,"1,685",,,,,
2025-11-28,"1,704",,,,,
2025-11-27,-252,,,,,
2025-11-26,447,,,,,
2025-11-25,-32,,,,,
2025-11-24,495,,,,,
2025-11-21,-219,,,,,
2025-11-20,-982,,,,,
2025-11-19,-94,,,,,
2025-11-18,-434,,,,,
2025-11-17,-75,,,,,
2025-11-14,-529,,,,,
2025-11-13,-542,,,,,
2025-11-12,-794,,,,,
2025-11-11,-352,,,,,
2025-11-10,628,,,,,
2025-11-07,302,,,,,
2025-11-06,-261,,,,,
2025-11-05,511,,,,,
2025-11-04,75,,,,,
2025-11-03,599,,,,,
2025-10-31,"1,954",,,,,
2025-10-30,68,,,,,
2025-10-29,"1,078",,,,,
2025-10-28,504,,,,,
2025-10-27,545,,,,,
2025-10-24,513,,,,,
2025-10-23,-82,,,,,
2025-10-22,-145,,,,,
2025-10-21,-255,,,,,
2025-10-20,647,,,,,
2025-10-17,237,,,,,
2025-10-16,-200,,,,,
2025-10-15,669,,,,,
2025-10-14,"-1,178",,,,,
2025-10-13,-397,,,,,
2025-10-10,-859,,,,,
2025-10-02,-509,,,,,
2025-10-01,-135,,,,,
2025-09-30,-230,,,,,
2025-09-29,34,,,,,
2025-09-26,111,,,,,
2025-09-25,-91,,,,,
2025-09-24,153,,,,,
2025-09-23,-102,,,,,
2025-09-22,-288,,,,,
2025-09-19,-238,,,,,
2025-09-18,337,,,,,
2025-09-17,-167,,,,,
2025-09-16,494,,,,,
2025-09-15,-517,,,,,
2025-09-12,335,,,,,
2025-09-11,-621,,,,,
2025-09-10,"1,484",,,,,
2025-09-09,570,,,,,
2025-09-08,168,,,,,
2025-09-05,-404,,,,,
2025-09-04,-185,,,,,
2025-09-03,-194,,,,,
2025-09-02,38,,,,,
2025-09-01,-293,,,,,
2025-08-29,-196,,,,,
2025-08-28,500,,,,,
2025-08-27,-89,,,,,
2025-08-26,"-1,016",,,,,
2025-08-25,-222,,,,,
2025-08-22,3,,,,,
2025-08-21,-317,,,,,
2025-08-20,691,,,,,
2025-08-19,-165,,,,,
2025-08-18,8,,,,,
2025-08-14,-431,,,,,
2025-08-13,-679,,,,,
2025-08-12,-343,,,,,
2025-08-11,-148,,,,,
2025-08-08,-312,,,,,
2025-08-07,-117,,,,,
2025-08-06,635,,,,,
2025-08-05,-514,,,,,
2025-08-04,593,,,,,
2025-08-01,224,,,,,
2025-07-31,-597,,,,,
2025-07-30,-284,,,,,
2025-07-29,-324,,,,,
2025-07-28,71,,,,,
2025-07-25,-60,,,,,
2025-07-24,18,,,,,
2025-07-23,-54,,,,,
2025-07-22,-163,,,,,
2025-07-21,"1,007",,,,,
2025-07-18,430,,,,,
2025-07-17,267,,,,,
2025-07-16,45,,,,,
2025-07-15,-58,,,,,
2025-07-14,-4,,,,,
2025-07-11,-101,,,,,
2025-07-10,-219,,,,,
2025-07-09,-827,,,,,
2025-07-08,-536,,,,,
2025-07-07,-321,,,,,
2025-07-04,4,,,,,
2025-07-03,-179,,,,,
2025-07-02,-395,,,,,
2025-07-01,-332,,,,,
2025-06-30,183,,,,,
2025-06-27,-116,,,,,
2025-06-26,-386,,,,,
2025-06-25,-102,,,,,
2025-06-24,644,,,,,
2025-06-23,-355,,,,,
2025-06-20,-678,,,,,
2025-06-19,-169,,,,,
2025-06-18,-223,,,,,
2025-06-17,-604,,,,,
2025-06-16,508,,,,,
2025-06-13,-314,,,,,
2025-06-12,"-1,200",,,,,
2025-06-11,357,,,,,
2025-06-10,-999,,,,,
2025-06-09,"-1,044",,,,,
2025-06-05,-93,,,,,
2025-06-04,"3,430",,,,,
2025-06-02,-38,,,,,
2025-05-30,-101,,,,,
2025-05-29,468,,,,,
2025-05-28,451,,,,,
2025-05-27,-256,,,,,
2025-05-26,948,,,,,
2025-05-23,-17,,,,,
2025-05-22,-200,,,,,
2025-05-21,210,,,,,
2025-05-20,468,,,,,
2025-05-19,-860,,,,,
2025-05-16,33,,,,,
2025-05-15,-218,,,,,
2025-05-14,98,,,,,
2025-05-13,77,,,,,
2025-05-12,866,,,,,
2025-05-09,118,,,,,
2025-05-08,129,,,,,
2025-05-07,250,,,,,
2025-05-02,510,,,,,
2025-04-30,"-1,629",,,,,
2025-04-29,379,,,,,
2025-04-28,"-1,396",,,,,
2025-04-25,-481,,,,,
2025-04-24,-564,,,,,
2025-04-23,-5,,,,,
2025-04-22,56,,,,,
2025-04-21,"-1,189",,,,,
2025-04-18,-975,,,,,
2025-04-17,669,,,,,
2025-04-16,"-1,358",,,,,
2025-04-15,-534,,,,,
2025-04-14,"-1,057",,,,,
2025-04-11,"-1,650",,,,,
2025-04-10,"1,275",,,,,
2025-04-09,721,,,,,
2025-04-08,"1,335",,,,,
2025-04-07,237,,,,,
2025-04-04,"2,400",,,,,
2025-04-03,55,,,,,
2025-04-02,142,,,,,
2025-04-01,"2,009",,,,,
2025-03-31,"2,144",,,,,
2025-03-28,994,,,,,
2025-03-27,332,,,,,
2025-03-26,737,,,,,
2025-03-25,-684,,,,,
2025-03-24,303,,,,,
2025-03-21,"3,105",,,,,
2025-03-20,582,,,,,
2025-03-19,533,,,,,
2025-03-18,-21,,,,,
2025-03-17,-423,,,,,
2025-03-14,1,,,,,
2025-03-13,"-3,526",,,,,
2025-03-12,-607,,,,,
2025-03-11,"-1,115",,,,,
2025-03-10,-348,,,,,
2025-03-07,39,,,,,
2025-03-06,300,,,,,
2025-03-05,177,,,,,
2025-03-04,966,,,,,
