종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","1194","1229","35","2.93","251662","304013820"
"095570","AJ네트웍스","4940","4960","20","0.40","180901","890216366"
"006840","AK홀딩스","8010","8050","40","0.50","9714","77138585"
"054620","APS","7250","7050","-200","-2.76","427310","3051782910"
"265520","AP시스템","21600","22750","1150","5.32","112989","2506511300"
"211270","AP위성","15420","16130","710","4.60","278739","4437767405"
"139050","BF랩스","2805","2805","0","0.00","0","0"
"027410","BGF","4200","4115","-85","-2.02","181608","741963097"
"282330","BGF리테일","115300","115000","-300","-0.26","64886","7459422856"
"126600","BGF에코머티리얼즈","3700","3690","-10","-0.27","61608","227057167"
"138930","BNK금융지주","18800","18420","-380","-2.02","921541","16892012835"
"001460","BYC","47800","47550","-250","-0.52","3861","181903750"
"001465","BYC우","27100","27550","450","1.66","816","21840450"
"083790","CG인바이츠","1407","1456","49","3.48","272492","391848549"
"001040","CJ","184000","183700","-300","-0.16","244735","44327758750"
"079160","CJ CGV","5100","5030","-70","-1.37","602414","3001304571"
"035760","CJ ENM","64500","66000","1500","2.33","75405","4922588850"
"311690","CJ 바이오사이언스","8060","8030","-30","-0.37","11141","88660180"
"00104K","CJ4우(전환)","160900","159800","-1100","-0.68","18190","2849962300"
"000120","CJ대한통운","114200","119400","5200","4.55","85169","10045150900"
"011150","CJ씨푸드","2695","2675","-20","-0.74","185704","495366870"
"011155","CJ씨푸드1우","14750","14740","-10","-0.07","217","3201420"
"001045","CJ우","88000","87300","-700","-0.80","4385","380304700"
"097950","CJ제일제당","197100","195900","-1200","-0.61","60598","11810181050"
"097955","CJ제일제당 우","131100","131300","200","0.15","4036","527065300"
"051500","CJ프레시웨이","30200","29800","-400","-1.32","56600","1678564775"
"058820","CMG제약","1812","1800","-12","-0.66","1043507","1867491721"
"056730","CNT85","473","486","13","2.75","59688","28235494"
"000480","CR홀딩스","4855","4895","40","0.82","31426","152503390"
"065770","CS","687","702","15","2.18","52710","36846256"
"083660","CSA 코스믹","270","285","15","5.56","456112","126980524"
"000590","CS홀딩스","80000","80900","900","1.13","882","70137100"
"012030","DB","1910","1883","-27","-1.41","1414010","2667494004"
"477760","DB금융스팩12호","2230","2230","0","0.00","0","0"
"005830","DB손해보험","190600","188400","-2200","-1.15","275859","51400173900"
