종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","24480","-3555","-12.68","24518.83","27980","27980","24400","877920","22776640457","216648000000","220669436482","8850000","코스피 200","756.79","-102.61","-11.94"
"491610","1Q CD금리액티브(합성)","103415","10","0.01","103418.24","103415","103425","103410","17641","1824390680","220584195000","220591109571","2133000","KIS 하나 CD금리 총수익지수","11705.50","0.90","0.01"
"0103T0","1Q K소버린AI","8990","-1410","-13.56","8981.73","10135","10135","8955","665845","6326050273","24722500000","23801595809","2750000","iSelect K소버린AI 지수","1772.76","-275.44","-13.45"
"463290","1Q 단기금융채액티브","107725","5","0.00","107717.88","107725","107730","107715","7698","829247716","185610175000","184197573911","1723000","MK 머니마켓 지수(총수익)","14546.17","1.38","0.01"
"0131W0","1Q 단기특수은행채액티브","100765","5","0.00","100760.49","100770","100770","100760","220","22168375","107113195000","107108400409","1063000","KIS 단기특수은행채 지수(총수익)","115.64","0.01","0.01"
"479080","1Q 머니마켓액티브","52905","10","0.02","52900.78","52900","52910","52900","251067","13282431790","882032160000","881961814496","16672000","KIS-하나 MMF 지수(총수익)","119.05","0.01","0.01"
"0026S0","1Q 미국S&P500","12155","0","0.00","12235.00","12200","12250","12145","447078","5454153166","257686000000","243476412588","21200000","S&P 500","6869.50","52.87","0.78"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11585","60","0.52","11616.24","11585","11650","11560","426712","4948396840","259504000000","253234087806","22400000","S&P 500 and Short-Term Treasury 50/50 Blend Index","276.53","1.08","0.39"
"0069M0","1Q 미국나스닥100","12005","-35","-0.29","12115.80","12075","12130","11995","183401","2214390931","116448500000","111465351654","9700000","NASDAQ 100","25093.68","373.60","1.51"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10450","50","0.48","10496.62","10465","10510","10425","314741","3293827563","197505000000","196286706662","18900000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2865.17","21.71","0.76"
"0083S0","1Q 미국메디컬AI","10030","-140","-1.38","10219.41","10165","10215","10005","159059","1610378705","44132000000","43943450908","4400000","KEDI 미국메디컬AI 지수","1813.32","15.24","0.85"
"0004G0","1Q 미국배당TOP30","9700","-25","-0.26","9780.73","9725","9790","9700","34625","336958733","9700000000","9780732095","1000000","Solactive U.S. Dividend TOP 30 Index PR","4323.00","-14.47","-0.33"
"0131V0","1Q 미국우주항공테크","12565","-175","-1.37","12851.02","12740","12845","12365","3179595","40267595946","577361750000","580866301514","45950000","Akros 미국우주항공테크 지수","4487.44","130.21","2.99"
"0094X0","1Q 샤오미밸류체인액티브","9225","35","0.38","9271.01","9200","9360","9085","33072","302584558","16143750000","16224275054","1750000","Solactive-KEDI Xiaomi Focus China Tech Index","1771.40","8.16","0.46"
"0017Y0","1Q 종합채권(AA-이상)액티브","96800","-425","-0.44","96970.36","96990","97245","96800","223","21647250","79279200000","79515698268","819000","KIS 종합채권형 지수(AA-이상)(총수익)","123.05","0.05","0.04"
"0052T0","1Q 중단기회사채(A-이상)액티브","50160","-55","-0.11","50147.21","50205","50205","50160","9","451685","90588960000","95580582785","1806000","KEDI 중단기크레딧플러스채권(AAA~A-)지수(총수익)","118.40","-0.04","-0.03"
"495330","1Q 코리아밸류업","22640","-2995","-11.68","22696.32","25975","26350","22555","359113","8700629718","81504000000","81706760050","3600000","코리아 밸류업 지수","2307.14","-294.83","-11.33"
"492500","1Q 현대차그룹채권(A+이상)&국고통안","51030","-25","-0.05","51042.50","51065","53155","51030","5501","284530700","109000080000","109128859592","2136000","KIS 하나 현대차그룹채권(A+이상)&국고통안 총수익지수","11850.46","-5.49","-0.05"
"473440","ACE 11월만기자동연장회사채AA-이상액티브","10680","0","0.00","10693.05","10695","10695","10675","18494","197529867","87576000000","87682985457","8200000","KIS 11월 만기자동연장회사채(AA-이상) 총수익지수","122.19","0.01","0.01"
"105190","ACE 200","76240","-10795","-12.40","76627.51","82925","85520","76170","2620321","207924586903","1261772000000","1264353910311","16550000","코스피 200","756.79","-102.61","-11.94"
"332500","ACE 200TR","50855","-7195","-12.39","51031.29","55285","56970","50760","400203","21580916350","111881000000","112268833882","2200000","코스피 200 TR","998.22","-135.34","-11.94"
"461270","ACE 26-06 회사채(AA-이상)액티브","11115","0","0.00","11126.21","11110","11130","11110","50108","557156574","161278650000","161441371974","14510000","KIS 크레딧 2606만기형(AA-이상)지수(총수익지수)","124.64","0.01","0.01"
"475260","ACE 2월만기자동연장회사채AA-이상액티브","10605","0","0.00","10609.28","10610","10610","10605","9677","102626550","49949550000","49969714113","4710000","KAP 2월 만기자동연장회사채(AA-이상) 총수익지수","121.12","0.00","0.00"
"385600","ACE 2차전지&친환경차액티브","9400","-1570","-14.31","9429.09","10415","10705","9350","90866","907338163","18800000000","18858179163","2000000","FnGuide 친환경 자동차 밸류체인 지수","1684.50","-285.05","-14.47"
"475270","ACE 5월만기자동연장회사채AA-이상액티브","10585","5","0.05","10583.45","10580","10585","10580","3599","38077500","44245300000","44238825518","4180000","KIS 5월 만기자동연장회사채(AA-이상) 총수익지수","119.74","0.01","0.01"
"475280","ACE 8월만기자동연장회사채AA-이상액티브","10565","0","0.00","10575.02","10575","10575","10565","1876","19823680","73743700000","73813660283","6980000","KAP 8월 만기자동연장회사채(AA-이상) 총수익지수","121.39","0.01","0.01"
"469150","ACE AI반도체포커스","40435","-4635","-10.28","40438.59","42745","46015","40005","3610626","155488939220","349762750000","365969232621","8650000","FnGuide AI반도체 TOP3+ 지수","5069.99","-575.98","-10.20"
