종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","1107","-146","-11.65","58736357280"
"054620","APS","KOSDAQ","금융","6530","-1920","-22.72","120114263130"
"265520","AP시스템","KOSDAQ","기계·장비","19300","-2800","-12.67","290480845300"
"211270","AP위성","KOSDAQ","전기·전자","13700","-2530","-15.59","206627564800"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3375","-475","-12.34","211838284125"
"083790","CG인바이츠","KOSDAQ","일반서비스","1274","-156","-10.91","97963187868"
"035760","CJ ENM","KOSDAQ","오락·문화","60900","-7000","-10.31","1335485478600"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","7420","-880","-10.60","96945728040"
"051500","CJ프레시웨이","KOSDAQ","유통","29600","-2150","-6.77","351398945600"
"058820","CMG제약","KOSDAQ","제약","1675","-206","-10.95","247635656525"
"056730","CNT85","KOSDAQ","건설","458","-30","-6.15","33942923188"
"065770","CS","KOSDAQ","전기·전자","615","-98","-13.74","11937844950"
"083660","CSA 코스믹","KOSDAQ","화학","260","-25","-8.77","16335659340"
"477760","DB금융스팩12호","KOSDAQ","금융","2230","0","0.00","13023200000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2690","-230","-7.88","42567229810"
"025440","DH오토웨어","KOSDAQ","전기·전자","825","-126","-13.25","40244509800"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","142869517920"
"241520","DSC인베스트먼트","KOSDAQ","금융","13320","-3710","-21.79","359640000000"
"180400","DXVX","KOSDAQ","일반서비스","3745","-470","-11.15","368618222840"
"418620","E8","KOSDAQ","IT 서비스","1143","-130","-10.21","22689095211"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","4710","-850","-15.29","40623618120"
"050120","ES큐브","KOSDAQ","유통","2385","-120","-4.79","32350345110"
"214270","FSN","KOSDAQ","IT 서비스","2045","10","0.49","89348011155"
"130500","GH신소재","KOSDAQ","섬유·의류","2340","-260","-10.00","34035421680"
"900290","GRT","KOSDAQ","금융","5460","-140","-2.50","441441000000"
