종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4710","-460","-8.90","213140494890"
"006840","AK홀딩스","KOSPI","기타금융","7860","-370","-4.50","104125829460"
"027410","BGF","KOSPI","기타금융","4000","-295","-6.87","382867164000"
"282330","BGF리테일","KOSPI","유통","111900","-7600","-6.36","1934069081400"
"138930","BNK금융지주","KOSPI","기타금융","17640","-2040","-10.37","5474168862120"
"001460","BYC","KOSPI","섬유·의류","43600","-7100","-14.00","272332140000"
"001465","BYC우","KOSPI","섬유·의류","26300","-1950","-6.90","56646255000"
"001040","CJ","KOSPI","기타금융","187600","-19400","-9.37","5473604824800"
"079160","CJ CGV","KOSPI","오락·문화","4850","-370","-7.09","803074441150"
"00104K","CJ4우(전환)","KOSPI","기타금융","165000","-9000","-5.17","697374480000"
"000120","CJ대한통운","KOSPI","운송·창고","110500","-17300","-13.54","2520764012000"
"011150","CJ씨푸드","KOSPI","음식료·담배","2555","-195","-7.09","91803125015"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","14350","-150","-1.03","2870000000"
"001045","CJ우","KOSPI","기타금융","84200","-11400","-11.92","190310776600"
"097950","CJ제일제당","KOSPI","음식료·담배","190300","-17200","-8.29","2864811595800"
"097955","CJ제일제당 우","KOSPI","음식료·담배","128700","-7100","-5.23","170840627100"
"000480","CR홀딩스","KOSPI","비금속","4690","-255","-5.16","219916398100"
"000590","CS홀딩스","KOSPI","기타금융","77300","-7500","-8.84","89241458600"
"012030","DB","KOSPI","IT 서비스","1699","-181","-9.63","341794512167"
"005830","DB손해보험","KOSPI","보험","175500","-11200","-6.00","12176892000000"
"016610","DB증권","KOSPI","증권","12700","-1820","-12.53","539069140300"
"000990","DB하이텍","KOSPI","전기·전자","77300","-13200","-14.59","3362904652400"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","20200","-2000","-9.01","398531456000"
"015590","DKME","KOSPI","기계·장비","515","0","0.00","122045495160"
"000210","DL","KOSPI","화학","40150","-8150","-16.87","841378742600"
"000215","DL우","KOSPI","화학","22550","-2050","-8.33","38021893250"
"375500","DL이앤씨","KOSPI","건설","41650","-7350","-15.00","1611589397950"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","33450","-4350","-11.51","70644760950"
"37550K","DL이앤씨우","KOSPI","건설","22100","-2650","-10.71","46716858500"
"007340","DN오토모티브","KOSPI","전기·전자","23350","-3150","-11.89","1366228697750"
"004840","DRB동일","KOSPI","화학","5500","-410","-6.94","109615000000"
"155660","DSR","KOSPI","금속","3770","-155","-3.95","60320000000"
"069730","DSR제강","KOSPI","금속","3910","-320","-7.57","56304000000"
"017860","DS단석","KOSPI","화학","15610","-2390","-13.28","274489549320"
"092780","DYP","KOSPI","운송장비·부품","4200","-540","-11.39","55307532000"
