순위,날짜,종목코드,종목명,시장구분,업종명,등락률,KOSPI200_등락률,초과수익률
1,2026-03-04,024060,흥구석유,KOSDAQ,유통,29.98,-12.06,42.04
2,2026-03-04,048530,인트론바이오,KOSDAQ,제약,29.96,-12.06,42.02
3,2026-03-04,117580,대성에너지,KOSPI,전기·가스,29.95,-12.06,42.01
4,2026-03-04,002680,한탑,KOSDAQ,음식료·담배,29.94,-12.06,42.0
5,2026-03-04,000440,중앙에너비스,KOSDAQ,유통,29.9,-12.06,41.96
6,2026-03-04,052770,아이톡시,KOSDAQ,IT 서비스,29.89,-12.06,41.95
7,2026-03-04,014530,극동유화,KOSPI,화학,29.79,-12.06,41.85
8,2026-03-04,004090,한국석유,KOSPI,비금속,29.79,-12.06,41.85
9,2026-03-04,053050,지에스이,KOSDAQ,전기·가스·수도,29.77,-12.06,41.83
10,2026-03-04,152550,한국ANKOR유전,KOSPI,기타금융,29.75,-12.06,41.81
11,2026-03-04,003280,흥아해운,KOSPI,운송·창고,24.68,-12.06,36.74
12,2026-03-04,238090,앤디포스,KOSDAQ,화학,23.26,-12.06,35.32
13,2026-03-04,005860,한일사료,KOSDAQ,음식료·담배,20.45,-12.06,32.51
14,2026-03-04,002360,SH에너지화학,KOSPI,화학,14.58,-12.06,26.64
15,2026-03-04,402490,그린리소스,KOSDAQ,전기·전자,11.1,-12.06,23.16
16,2026-03-04,083470,이엠앤아이,KOSDAQ,화학,9.41,-12.06,21.47
17,2026-03-04,465770,STX그린로지스,KOSPI,운송·창고,8.58,-12.06,20.64
18,2026-03-04,900260,로스웰,KOSDAQ,금융,7.38,-12.06,19.44
19,2026-03-04,002140,고려산업,KOSPI,음식료·담배,7.29,-12.06,19.35
20,2026-03-04,095700,제넥신,KOSDAQ,일반서비스,7.22,-12.06,19.28
21,2026-03-04,357880,SKAI,KOSDAQ,IT 서비스,5.08,-12.06,17.14
22,2026-03-04,001560,제일연마,KOSPI,비금속,4.46,-12.06,16.52
23,2026-03-04,089230,THE E&M,KOSDAQ,IT 서비스,4.24,-12.06,16.3
24,2026-03-04,218150,미래생명자원,KOSDAQ,음식료·담배,3.99,-12.06,16.05
25,2026-03-04,008350,남선알미늄,KOSPI,금속,3.08,-12.06,15.14
26,2026-03-04,001527,동양2우B,KOSPI,비금속,2.93,-12.06,14.99
27,2026-03-04,024740,한일단조,KOSDAQ,운송장비·부품,2.79,-12.06,14.85
28,2026-03-04,036170,에이치엠넥스,KOSDAQ,전기·전자,2.37,-12.06,14.43
29,2026-03-04,317530,캐리소프트,KOSDAQ,오락·문화,1.98,-12.06,14.04
30,2026-03-04,031980,피에스케이홀딩스,KOSDAQ,기계·장비,1.7,-12.06,13.76
31,2026-03-04,002785,진흥기업우B,KOSPI,건설,1.52,-12.06,13.58
32,2026-03-04,031510,오스템,KOSDAQ,운송장비·부품,1.47,-12.06,13.53
33,2026-03-04,297570,알로이스,KOSDAQ,전기·전자,1.13,-12.06,13.19
34,2026-03-04,900300,오가닉티코스메틱,KOSDAQ,금융,0.84,-12.06,12.9
35,2026-03-04,214270,FSN,KOSDAQ,IT 서비스,0.49,-12.06,12.55
36,2026-03-04,075180,새론오토모티브,KOSPI,운송장비·부품,0.48,-12.06,12.54
37,2026-03-04,479880,한국제15호스팩,KOSDAQ,금융,0.24,-12.06,12.3
38,2026-03-04,492220,KB제31호스팩,KOSDAQ,금융,0.1,-12.06,12.16
39,2026-03-04,0093G0,미래에셋비전스팩8호,KOSDAQ,금융,0.0,-12.06,12.06
40,2026-03-04,121800,비덴트,KOSDAQ,전기·전자,0.0,-12.06,12.06
41,2026-03-04,001080,만호제강,KOSPI,금속,0.0,-12.06,12.06
42,2026-03-04,001470,삼부토건,KOSPI,건설,0.0,-12.06,12.06
43,2026-03-04,054180,메디콕스,KOSDAQ,운송장비·부품,0.0,-12.06,12.06
44,2026-03-04,082660,코스나인,KOSDAQ,화학,0.0,-12.06,12.06
45,2026-03-04,046070,코다코,KOSDAQ,운송장비·부품,0.0,-12.06,12.06
46,2026-03-04,099520,DGI,KOSDAQ,전기·전자,0.0,-12.06,12.06
47,2026-03-04,006380,카프로,KOSPI,화학,0.0,-12.06,12.06
48,2026-03-04,002410,범양건영,KOSPI,건설,0.0,-12.06,12.06
49,2026-03-04,002210,동성제약,KOSPI,제약,0.0,-12.06,12.06
50,2026-03-04,035890,서희건설,KOSDAQ,건설,0.0,-12.06,12.06
51,2026-03-04,009440,KC그린홀딩스,KOSPI,기타금융,0.0,-12.06,12.06
52,2026-03-04,024950,삼천리자전거,KOSDAQ,유통,0.0,-12.06,12.06
53,2026-03-04,217620,선샤인푸드,KOSDAQ,일반서비스,0.0,-12.06,12.06
54,2026-03-04,007610,선도전기,KOSPI,전기·전자,0.0,-12.06,12.06
55,2026-03-04,079970,투비소프트,KOSDAQ,IT 서비스,0.0,-12.06,12.06
56,2026-03-04,060230,제이케이시냅스,KOSDAQ,화학,0.0,-12.06,12.06
57,2026-03-04,464680,KB제27호스팩,KOSDAQ,금융,0.0,-12.06,12.06
58,2026-03-04,412540,제일엠앤에스,KOSDAQ,기계·장비,0.0,-12.06,12.06
59,2026-03-04,030350,드래곤플라이,KOSDAQ,IT 서비스,0.0,-12.06,12.06
60,2026-03-04,043090,더테크놀로지,KOSDAQ,유통,0.0,-12.06,12.06
61,2026-03-04,469480,IBKS제24호스팩,KOSDAQ,금융,0.0,-12.06,12.06
62,2026-03-04,019490,엑시큐어하이트론,KOSPI,전기·전자,0.0,-12.06,12.06
63,2026-03-04,004380,삼익THK,KOSPI,기계·장비,0.0,-12.06,12.06
64,2026-03-04,008110,대동전자,KOSPI,전기·전자,0.0,-12.06,12.06
65,2026-03-04,020760,일진디스플,KOSPI,전기·전자,0.0,-12.06,12.06
66,2026-03-04,465320,교보15호스팩,KOSDAQ,금융,0.0,-12.06,12.06
67,2026-03-04,482520,교보16호스팩,KOSDAQ,금융,0.0,-12.06,12.06
68,2026-03-04,0041B0,교보18호스팩,KOSDAQ,금융,0.0,-12.06,12.06
69,2026-03-04,246250,에스엘에스바이오,KOSDAQ,일반서비스,0.0,-12.06,12.06
70,2026-03-04,339950,아이비김영,KOSDAQ,일반서비스,0.0,-12.06,12.06
71,2026-03-04,008600,윌비스,KOSPI,유통,0.0,-12.06,12.06
72,2026-03-04,452980,신한제11호스팩,KOSDAQ,금융,0.0,-12.06,12.06
73,2026-03-04,106520,노블엠앤비,KOSDAQ,의료·정밀기기,0.0,-12.06,12.06
74,2026-03-04,041590,플래스크,KOSDAQ,건설,0.0,-12.06,12.06
75,2026-03-04,474930,신한제13호스팩,KOSDAQ,금융,0.0,-12.06,12.06
76,2026-03-04,474660,신한제12호스팩,KOSDAQ,금융,0.0,-12.06,12.06
77,2026-03-04,001840,이화공영,KOSDAQ,건설,0.0,-12.06,12.06
78,2026-03-04,140910,에이리츠,KOSPI,부동산,0.0,-12.06,12.06
79,2026-03-04,195990,에이비프로바이오,KOSDAQ,기계·장비,0.0,-12.06,12.06
80,2026-03-04,066790,씨씨에스,KOSDAQ,오락·문화,0.0,-12.06,12.06
81,2026-03-04,204210,스타에스엠리츠,KOSPI,부동산,0.0,-12.06,12.06
82,2026-03-04,234920,자이글,KOSDAQ,전기·전자,0.0,-12.06,12.06
83,2026-03-04,005110,한창,KOSPI,유통,0.0,-12.06,12.06
84,2026-03-04,012510,더존비즈온,KOSPI,IT 서비스,0.0,-12.06,12.06
85,2026-03-04,007575,일양약품우,KOSPI,제약,0.0,-12.06,12.06
