날짜,KOSPI200_등락률,업종명,KOSDAQ,KOSPI,합계
2026-03-03,-7.24,전기·전자,231,41,272
2026-03-03,-7.24,IT 서비스,195,20,215
2026-03-03,-7.24,화학,103,99,202
2026-03-03,-7.24,제약,119,49,168
2026-03-03,-7.24,기계·장비,140,25,165
2026-03-03,-7.24,유통,94,61,155
2026-03-03,-7.24,일반서비스,122,33,155
2026-03-03,-7.24,금속,68,55,123
2026-03-03,-7.24,금융,116,0,116
2026-03-03,-7.24,운송장비·부품,59,50,109
2026-03-03,-7.24,음식료·담배,48,46,94
2026-03-03,-7.24,의료·정밀기기,80,5,85
2026-03-03,-7.24,기타금융,0,83,83
2026-03-03,-7.24,오락·문화,46,13,59
2026-03-03,-7.24,건설,26,31,57
2026-03-03,-7.24,섬유·의류,18,28,46
2026-03-03,-7.24,비금속,13,23,36
2026-03-03,-7.24,종이·목재,10,19,29
2026-03-03,-7.24,부동산,3,25,28
2026-03-03,-7.24,운송·창고,4,21,25
2026-03-03,-7.24,기타제조,14,7,21
2026-03-03,-7.24,증권,0,16,16
2026-03-03,-7.24,통신,8,5,13
2026-03-03,-7.24,보험,0,12,12
2026-03-03,-7.24,전기·가스,0,9,9
2026-03-03,-7.24,"농업, 임업 및 어업",2,2,4
2026-03-03,-7.24,은행,0,2,2
2026-03-03,-7.24,전기·가스·수도,2,0,2
2026-03-03,-7.24,출판·매체복제,2,0,2
